target,is_slang,target_context,uri
shaking,1,im shaking this fan edit is sending me into orbit,synthetic://generated/shaking/0
shaking,0,passengers felt the plane shaking through severe turbulence over the rockies,synthetic://generated/shaking/1
shaking,0,she put her hand on his shaking shoulder to comfort him quietly,synthetic://generated/shaking/2
shaking,1,im shaking the way she dragged him on live tv,synthetic://generated/shaking/3
shaking,1,im actually shaking taylor just dropped a surprise album at midnight,synthetic://generated/shaking/4
shaking,0,the priest's hand was shaking slightly as he held the chalice during mass,synthetic://generated/shaking/5
shaking,1,ok im shaking the way this drama is unfolding on the timeline,synthetic://generated/shaking/6
shaking,1,im shaking my edits are finally getting recognized by the official account,synthetic://generated/shaking/7
shaking,1,im legit shaking she remembered my name after one party,synthetic://generated/shaking/8
shaking,0,the leaves were shaking gently in the early autumn breeze,synthetic://generated/shaking/9
shaking,0,the old wooden floor was shaking under the weight of all the dancers,synthetic://generated/shaking/10
shaking,1,no joke im shaking my favorite author just liked my fan art,synthetic://generated/shaking/11
shaking,0,the nurse noticed her patient was shaking and immediately checked his blood sugar,synthetic://generated/shaking/12
shaking,0,i could see his shoulders shaking as he tried to hold back tears,synthetic://generated/shaking/13
shaking,1,guys im shaking the new trailer just dropped and looks insane,synthetic://generated/shaking/14
shaking,1,im honestly shaking that quote went viral and now my notifications are wild,synthetic://generated/shaking/15
shaking,1,im shaking bc i finally got tickets to the eras tour after months of trying,synthetic://generated/shaking/16
shaking,0,she noticed her grandfather's hands shaking and worried about early parkinson's,synthetic://generated/shaking/17
shaking,0,her hands were shaking from the cold as she fumbled with the keys,synthetic://generated/shaking/18
shaking,1,no but actually im shaking this is the crossover i never knew i needed,synthetic://generated/shaking/19
shaking,0,the washing machine starts shaking loudly during the spin cycle,synthetic://generated/shaking/20
shaking,0,after the explosion residents reported their windows shaking from blocks away,synthetic://generated/shaking/21
shaking,1,bestie i am shaking crying throwing up at this plot twist,synthetic://generated/shaking/22
shaking,1,bro im shaking i cannot believe they cast him as the lead,synthetic://generated/shaking/23
shaking,0,i felt the whole apartment shaking when the train passed underneath,synthetic://generated/shaking/24
shaking,1,no bc i'm shaking rn this collab is everything i ever wanted,synthetic://generated/shaking/25
shaking,0,the engine started shaking violently so i pulled over to check the mounts,synthetic://generated/shaking/26
shaking,0,the bridge was shaking violently as the heavy trucks rumbled across it,synthetic://generated/shaking/27
shaking,0,the doctor noted her patient's leg was shaking involuntarily during the exam,synthetic://generated/shaking/28
shaking,0,make sure you stop shaking the cocktail once frost forms on the outside of the tin,synthetic://generated/shaking/29
shaking,0,the mechanic said the steering wheel shaking at high speeds was a balance issue,synthetic://generated/shaking/30
shaking,1,im shaking this fit is unreal where did you find that jacket,synthetic://generated/shaking/31
shaking,0,you should keep shaking the bottle of dressing until the oil and vinegar emulsify,synthetic://generated/shaking/32
shaking,0,construction workers reported the scaffold shaking dangerously in the high winds,synthetic://generated/shaking/33
shaking,1,im shaking sobbing this is the best news i've heard all year,synthetic://generated/shaking/34
shaking,1,im shaking rn this is the funniest tweet i've seen all week,synthetic://generated/shaking/35
shaking,1,no literally i am shaking why did nobody tell me this sooner,synthetic://generated/shaking/36
shaking,1,im shaking bestie this twist ruined me i need a moment,synthetic://generated/shaking/37
shaking,0,the puppy was shaking after we brought him in from the rain,synthetic://generated/shaking/38
shaking,1,not me shaking over a fictional character but here we are,synthetic://generated/shaking/39
shaking,0,her voice was shaking when she gave her speech at the wedding,synthetic://generated/shaking/40
shaking,1,im shaking screaming crying my comfort show got renewed for another season,synthetic://generated/shaking/41
shaking,1,im shaking sobbing how is this real life i got the internship,synthetic://generated/shaking/42
shaking,0,the deer stood frozen its ears shaking slightly as it listened for predators,synthetic://generated/shaking/43
shaking,1,i'm literally shaking she just followed me back on instagram,synthetic://generated/shaking/44
shaking,1,babes im shaking she announced the tour dates and my city made the cut,synthetic://generated/shaking/45
shaking,0,the dog kept shaking water everywhere after his bath in the yard,synthetic://generated/shaking/46
shaking,0,after a few minutes of vigorous shaking the cream began to turn into butter,synthetic://generated/shaking/47
shaking,1,im shaking this restaurant tiktok went viral and now there's a two hour wait,synthetic://generated/shaking/48
shaking,0,the camera footage shows the suspect's hands shaking as he tried to unlock the door,synthetic://generated/shaking/49
