uri,target_context,is_slang,synthetic
synthetic,lmao i can't believe he actually wore that to the wedding,1,1
synthetic,she texted me at 3am just to send a meme lmao,1,1
synthetic,bro really thought he was gonna win that argument lmao,1,1
synthetic,lmao my cat just knocked over the entire christmas tree,1,1
synthetic,imagine paying that much for a coffee lmao,1,1
synthetic,i tripped going up the stairs in front of my crush lmao kill me,1,1
synthetic,lmao the way he denied everything even with the receipts right there,1,1
synthetic,my mom found my finsta lmao i'm done for,1,1
synthetic,lmao y'all are unserious if you think that's a good take,1,1
synthetic,he sent me a 40 minute voice memo lmao i'm not listening to that,1,1
synthetic,the professor straight up forgot we had class today lmao,1,1
synthetic,lmao why are you mad about a video game,1,1
synthetic,i just spent two hours on a worksheet that was due last week lmao,1,1
synthetic,lmao bro deleted the tweet so fast,1,1
synthetic,she said no thank you and walked away lmao iconic,1,1
synthetic,i ordered a salad and they sent me fries instead lmao not complaining,1,1
synthetic,lmao that's the most unhinged thing i've read today,1,1
synthetic,he posted a thirst trap then deleted it 5 minutes later lmao,1,1
synthetic,lmao the dog stole my sandwich right off the table,1,1
synthetic,wait you actually believed that lmao i was joking,1,1
synthetic,lmao the audacity of this guy thinking he can show up uninvited,1,1
synthetic,my boss asked if i was busy and i said no lmao rookie mistake,1,1
synthetic,lmao the way she just walked out mid meeting,1,1
synthetic,i love how everyone in the comments is roasting him lmao,1,1
synthetic,lmao that fit is genuinely a crime against fashion,1,1
synthetic,the waiter brought us the wrong order three times lmao,1,1
synthetic,lmao i ran out of gas on the way to a job interview,1,1
synthetic,he tried to flex his new car and it broke down lmao,1,1
synthetic,lmao please tell me you didn't actually send that text,1,1
synthetic,i thought it was decaf lmao now i'm vibrating,1,1
synthetic,lmao the chef confused salt for sugar and we all suffered,1,1
synthetic,they put pineapple on the pizza without asking lmao bold move,1,1
synthetic,lmao the meeting could've been an email and you know it,1,1
synthetic,i forgot my password again lmao this is the third time today,1,1
synthetic,lmao that ending was so bad it ruined the whole show for me,1,1
synthetic,he showed up to the gym in jeans lmao what is happening,1,1
synthetic,lmao my little brother just beat me at chess again,1,1
synthetic,she replied with just a thumbs up emoji lmao that's rude,1,1
synthetic,lmao the dramatic music in this scene is doing the most,1,1
synthetic,i got rejected by a job i didn't even apply to lmao impressive,1,1
synthetic,lmao bro really wrote a paragraph for a yes or no question,1,1
synthetic,my wifi cut out right as i was about to win lmao,1,1
synthetic,lmao the cashier carded me and i'm 34,1,1
synthetic,he keeps liking my old instagram photos lmao please stop,1,1
synthetic,lmao i just realized i've been pronouncing that wrong my whole life,1,1
synthetic,the autocorrect changed my message to something cursed lmao,1,1
synthetic,lmao why does this recipe call for 14 cloves of garlic,1,1
synthetic,i told her i was on a diet then ordered a milkshake lmao,1,1
synthetic,lmao the cat is judging me from across the room again,1,1
synthetic,he asked me out via a google form lmao what era are we in,1,1
synthetic,lmao that movie was so bad i fell asleep twice,1,1
synthetic,got pulled over for going 3 over the limit lmao really,1,1
synthetic,lmao the way the dog tilted his head when i said treat,1,1
synthetic,she unfollowed me on instagram but still watches my stories lmao,1,1
synthetic,lmao my landlord raised rent and then asked me to clean the hallway,1,1
synthetic,i wore two different shoes to work today lmao didn't notice till lunch,1,1
synthetic,lmao i love how he thinks he invented sarcasm,1,1
synthetic,they canceled the show after one episode lmao what a flop,1,1
synthetic,lmao my grandma texts in all caps and i'm scared every time,1,1
synthetic,he asked siri to break up with his girlfriend lmao no spine,1,1
synthetic,lmao the entire group project got an F because of one guy,1,1
synthetic,i tried to take a cute selfie and blinked in all 47 shots lmao,1,1
synthetic,lmao she ghosted him then liked his linkedin post a year later,1,1
synthetic,the alarm clock fell off the nightstand and broke lmao karma,1,1
synthetic,lmao why is everyone acting like this is breaking news,1,1
synthetic,he typed lmao after every sentence and i couldn't tell if he was crying or laughing,1,1
synthetic,lmao you sent that to the wrong person and you know it,1,1
