uri,target_context,is_slang,synthetic
synthetic,lol you really thought that was gonna work huh,1,1
synthetic,i forgot my keys in the fridge again lol,1,1
synthetic,lol bro you are not built for this game,1,1
synthetic,she said she's on her way an hour ago lol,1,1
synthetic,imagine paying twenty bucks for a coffee lol no thanks,1,1
synthetic,lol my cat literally knocked the whole plant over while staring at me,1,1
synthetic,the boss replied with just a thumbs up emoji lol that's a yikes,1,1
synthetic,i tried to cook rice in the microwave lol never again,1,1
synthetic,lol everyone in the comments is dragging him for that fit,1,1
synthetic,you really showed up two hours late and asked for food lol,1,1
synthetic,ok lol that's actually kind of impressive ngl,1,1
synthetic,lol the way the dog just walked off mid trick,1,1
synthetic,i can't believe i used to think bell bottoms were ugly lol,1,1
synthetic,lol bestie that outfit is sending me,1,1
synthetic,he texted me good morning at 4pm lol bye,1,1
synthetic,lol why are tickets already sold out it's been ten minutes,1,1
synthetic,i swear the algorithm just shows me cooking fails now lol,1,1
synthetic,lol you cannot be serious right now,1,1
synthetic,tried to flex on me with a 2014 iphone lol ok buddy,1,1
synthetic,lol i mean it wasn't great but i've seen worse,1,1
synthetic,no but actually lol that meme broke me,1,1
synthetic,lol my professor literally said google it and walked out,1,1
synthetic,she ghosted me then liked my post three weeks later lol,1,1
synthetic,lol the way you keep dodging the question is wild,1,1
synthetic,i ordered a salad and they sent me a brownie lol thanks i guess,1,1
synthetic,lol that ref needs glasses immediately,1,1
synthetic,my mom found my finsta lol pray for me,1,1
synthetic,lol everyone clapped when he tripped on stage no one helped,1,1
synthetic,i can't take this meeting seriously anymore lol,1,1
synthetic,lol they really made a whole movie about that,1,1
synthetic,wait did you actually drive there at 3am lol you're insane,1,1
synthetic,lol the audacity to text me after blocking my friend,1,1
synthetic,i just spent forty minutes choosing a netflix show lol,1,1
synthetic,lol stop gaslighting me it literally said it on the receipt,1,1
synthetic,anyway lol back to studying i guess,1,1
synthetic,lol your playlist is a personality test in itself,1,1
synthetic,the cashier said have a nice day and i said you too love you lol,1,1
synthetic,lol i tried to be productive today and ended up napping for four hours,1,1
synthetic,he proposed in the parking lot of a wendy's lol romance is dead,1,1
synthetic,lol that ai art has like seven fingers on one hand,1,1
synthetic,ok but unironically lol that's actually genius,1,1
synthetic,lol i accidentally replied all to the entire company chain,1,1
synthetic,the dm was just hey lol like sir read the room,1,1
synthetic,lol my fantasy team is so cooked this week,1,1
synthetic,i can't believe i paid for delivery and they forgot the fries lol,1,1
synthetic,lol that plot twist came out of absolutely nowhere,1,1
synthetic,she's giving main character energy lol respect,1,1
synthetic,lol the new update is somehow worse than the old one,1,1
synthetic,i was today years old when i learned that lol,1,1
synthetic,lol the seller really listed a broken phone as like new condition,1,1
synthetic,bro got rizz lol can't even lie,1,1
synthetic,lol who told you that haircut was a good idea,1,1
synthetic,i texted my crush a typo and now i want to disappear lol,1,1
synthetic,lol the bus driver waited for the old lady that's so wholesome,1,1
synthetic,got rejected from the job in under an hour lol new record,1,1
synthetic,lol i can't with this weather it was sunny ten minutes ago,1,1
synthetic,honestly lol i'd watch a whole show about that guy's commute,1,1
synthetic,lol bro thinks he's in a movie with that walk,1,1
synthetic,she replied k after i wrote a paragraph lol amazing,1,1
synthetic,lol i googled the symptoms and now i'm convinced i'm dying,1,1
synthetic,lol the boss said work life balance then emailed at 11pm,1,1
synthetic,i opened my camera and the front facing destroyed me lol,1,1
synthetic,lol y'all are wild for hyping that song it's mid,1,1
synthetic,spent my whole paycheck on concert tickets lol worth it,1,1
synthetic,lol the way she just walked out mid argument is iconic,1,1
synthetic,ok lol fine i'll admit you were right that one time,1,1
synthetic,lol the wifi died right as i was about to win,1,1
synthetic,i set five alarms and still slept through all of them lol,1,1
synthetic,lol the dog ate my homework is actually true this time i promise,1,1
