uri,target_context,is_slang,synthetic
synthetic,the jazz quartet featured a vibe player alongside the upright bass,0,1
synthetic,milt jackson made the vibe a central instrument in modern jazz,0,1
synthetic,she practiced scales on her vibe every morning before school,0,1
synthetic,the vibe sits between the marimba and the xylophone in tonal range,0,1
synthetic,our percussion ensemble needs a new vibe for the spring recital,0,1
synthetic,gary burton revolutionized four-mallet technique on the vibe,0,1
synthetic,the orchestra borrowed a vibe from the local university for the concert,0,1
synthetic,a vintage deagan vibe can sell for thousands of dollars at auction,0,1
synthetic,he tuned the motor on his vibe to get a slower tremolo speed,0,1
synthetic,the bars of the vibe are typically made from aluminum alloy,0,1
synthetic,mallet players often double on marimba and vibe in pit orchestras,0,1
synthetic,the composer wrote a haunting solo for vibe and harp,0,1
synthetic,without dampening the vibe rings out for several seconds after each strike,0,1
synthetic,she covered her vibe with a fitted case before loading it into the van,0,1
synthetic,bobby hutcherson played the vibe on countless blue note sessions,0,1
synthetic,the resonators under the vibe amplify and sustain each note,0,1
synthetic,repairing a bent vibe bar requires specialized tools and patience,0,1
synthetic,jazz students should listen to at least one vibe record per week,0,1
synthetic,the vibe was positioned stage left next to the drum kit,0,1
synthetic,a four mallet grip lets you play full chords on the vibe,0,1
synthetic,the vibe motor hummed quietly during the slow ballad,0,1
synthetic,terry gibbs played fast bebop lines on the vibe with just two mallets,0,1
synthetic,the school sold its old vibe to help fund a new piano,0,1
synthetic,he composed a small concerto for vibe and chamber orchestra,0,1
synthetic,collectors prize the older musser vibe for its warm tone,0,1
synthetic,the vibe is sometimes called the vibraharp in older catalogs,0,1
synthetic,learning the vibe requires good ear training and a strong sense of rhythm,0,1
synthetic,she used soft yarn mallets to get a mellow sound from the vibe,0,1
synthetic,the whole party had such a chill vibe that i didn't want to leave,1,1
synthetic,her instagram feed gives off this cottagecore vibe i'm obsessed with,1,1
synthetic,i can't vibe with people who don't tip their servers,1,1
synthetic,the new cafe downtown has a really cozy vibe perfect for studying,1,1
synthetic,something about that guy gave me a weird vibe right away,1,1
synthetic,we've been vibing all summer but he still won't define the relationship,1,1
synthetic,the vibe in the office completely shifted after the layoffs,1,1
synthetic,this playlist matches the rainy sunday vibe i'm going for,1,1
synthetic,i'm just here for good food and good vibe nothing else,1,1
synthetic,her outfit had a y2k vibe that was honestly iconic,1,1
synthetic,the restaurant looked nice but the vibe was a little off,1,1
synthetic,we don't really vibe but we work well together on projects,1,1
synthetic,that movie had such a melancholy vibe i thought about it for days,1,1
synthetic,sending good vibe your way for the interview tomorrow,1,1
synthetic,the apartment listing said quiet building with a homey vibe,1,1
synthetic,something about his energy just doesn't vibe with mine,1,1
synthetic,the whole vibe of the wedding was effortless and romantic,1,1
synthetic,i love the vibe of this neighborhood on saturday mornings,1,1
synthetic,vibe check on the new manager he seems a little intense,1,1
synthetic,the band's set had a dreamy shoegaze vibe all the way through,1,1
synthetic,can we just vibe for a minute before talking about work stuff,1,1
synthetic,the vibe shifted the moment her ex walked into the bar,1,1
synthetic,this candle gives my bedroom such a relaxing vibe in the evenings,1,1
synthetic,no thanks i'm not feeling the vibe of that group chat tonight,1,1
synthetic,her whole aesthetic has a really clean minimalist vibe,1,1
synthetic,i passed because the vibe of the interview was just weird,1,1
synthetic,they vibe so well together you'd think they'd been friends for years,1,1
synthetic,the coffee shop had a great vibe until they started blasting top 40,1,1
synthetic,not to be dramatic but this whole day has bad vibe written on it,1,1
synthetic,i'm just trying to vibe and not think about deadlines this weekend,1,1
synthetic,the vibe at the concert was electric from the very first song,1,1
synthetic,the trailer gave off such a horror vibe i had to look away,1,1
synthetic,lionel hampton's vibe solos still influence percussionists today,0,1
synthetic,the vibe and the marimba both belong to the mallet percussion family,0,1
synthetic,during the bridge the pianist switched over to the vibe,1,1
