uri,target_context,is_slang,synthetic
synthetic,girl you are so delulu if you think he's gonna text you back after three months,1,1
synthetic,i'm fully delulu about getting front row tickets but manifesting works sometimes,1,1
synthetic,being delulu is the solulu honestly that's my new life motto,1,1
synthetic,my coworker is delulu thinking she'll get promoted after missing every deadline,1,1
synthetic,stop being delulu he literally has a girlfriend and a kid,1,1
synthetic,i went full delulu and convinced myself the barista was flirting with me,1,1
synthetic,anyone who thinks rent will go down next year is straight up delulu,1,1
synthetic,kpop stans staying delulu about their bias being single is honestly an art form,1,1
synthetic,i'm not delulu i'm just optimistic okay there's a difference,1,1
synthetic,the way she's delulu about that situationship is actually concerning at this point,1,1
synthetic,tell me you're delulu without telling me you're delulu i'll start,1,1
synthetic,he's delulu if he thinks i'm paying for dinner after that comment,1,1
synthetic,honestly a little delulu energy is what gets me through monday mornings,1,1
synthetic,my therapist said i need to be less delulu and more realistic about dating,1,1
synthetic,the fans are delulu thinking this team is making playoffs with that defense,1,1
synthetic,i love how delulu we all get during taylor swift eras tour ticket sales,1,1
synthetic,she's delulu in the best way always thinks something amazing is about to happen,1,1
synthetic,calling yourself delulu doesn't make the behavior cute it just makes you self aware,1,1
synthetic,bro thinks he's gonna go pro after one good game what a delulu take,1,1
synthetic,my delulu era involves believing i'll wake up tomorrow with abs,1,1
synthetic,you'd have to be delulu to buy a house in this market right now,1,1
synthetic,the comment section is full of delulu fans defending his terrible behavior,1,1
synthetic,i'm choosing to stay delulu about my chances of winning the lottery,1,1
synthetic,she went from cute crush to fully delulu in about two weeks flat,1,1
synthetic,anyone else getting delulu vibes from his last instagram story or just me,1,1
synthetic,my mom told me i'm delulu for thinking i'll find a parking spot downtown,1,1
synthetic,the whole fandom is delulu if they think a reunion tour is happening,1,1
synthetic,i'm delulu enough to believe my plant will survive even though i forget to water it,1,1
synthetic,ngl being a little delulu helps with confidence during job interviews,1,1
synthetic,she's giving major delulu princess energy with that whole prince charming rant,1,1
synthetic,you sound delulu rn please go drink some water and reread those messages,1,1
synthetic,the delulu pipeline started when i matched with him and ended when he ghosted,1,1
synthetic,everyone in this group chat is delulu about how this trip is gonna go,1,1
synthetic,imagine being so delulu you think your ex misses you after they blocked you,1,1
synthetic,i'm delulu and proud my vision board is gonna manifest itself eventually,1,1
synthetic,she has delulu tendencies but they make her really fun at parties,1,1
synthetic,if you think this startup is the next google you're absolutely delulu,1,1
synthetic,the delulu to solulu pipeline is real and i'm walking proof of it,1,1
synthetic,y'all are delulu acting like this album is better than her last one,1,1
synthetic,i had to delulu myself into thinking the gym would be empty on a monday,1,1
synthetic,going through my delulu phase rn please don't ruin it with logic and facts,1,1
synthetic,he's delulu thinking those red flags are just personality quirks honestly,1,1
synthetic,my friend group has a strict no delulu allowed policy during breakup recovery,1,1
synthetic,she stays delulu because reality is genuinely too much to handle some days,1,1
synthetic,investors are getting delulu about ai stocks and it's going to crash hard,1,1
synthetic,i was so delulu in college thinking i'd have my life together by 25,1,1
synthetic,the audacity of his delulu little speech at the office holiday party,1,1
synthetic,stop gaslighting yourself into being delulu about that man he showed you who he is,1,1
synthetic,i need to channel my inner delulu girl and apply for that dream job anyway,1,1
synthetic,every fan base thinks their team is winning the championship it's collective delulu behavior,1,1
synthetic,she's delulu but in like a sweet inspirational way not a concerning one,1,1
synthetic,the way these influencers are delulu about their reach is genuinely hilarious,1,1
synthetic,i'm done being delulu about him and i'm putting all that energy into my career,1,1
synthetic,tiktok therapists keep saying being delulu is actually a healthy coping mechanism,1,1
synthetic,you have to be delulu to think traffic at 5pm will be reasonable,1,1
synthetic,my delulu moment of the day was assuming the package would arrive on time,1,1
synthetic,lowkey the delulu mindset got me through some really tough years tbh,1,1
synthetic,she's not lying she's just being delulu there's a slight but important distinction,1,1
synthetic,the comments under his apology video are full of delulu fans defending him,1,1
synthetic,i refuse to engage with anyone this delulu about basic economics this early,1,1
synthetic,my horoscope said to be delulu this week so i texted my ex don't judge,1,1
synthetic,being delulu about the weather forecast is how i ended up soaked at the festival,1,1
synthetic,she's living her delulu dream life and honestly good for her,1,1
synthetic,the only thing keeping me sane is my delulu belief that things will work out,1,1
synthetic,you're delulu if you think i'm waking up at 5am for that hike,1,1
synthetic,his delulu plan to quit his job and become a dj is actually wild,1,1
synthetic,we are collectively delulu as a generation and i think that's beautiful actually,1,1
synthetic,i need a delulu intervention because i just liked his post from 2019,1,1
synthetic,the marketing team is delulu thinking this rebrand will save the company,1,1
synthetic,stop being so delulu and just text him back before he loses interest,1,1
synthetic,she went into her delulu era and came out engaged so maybe she was onto something,1,1
