uri,target_context,is_slang,synthetic
synthetic,this new drake track absolutely slaps i've had it on repeat all morning,1,1
synthetic,the goalie slaps the puck away from the net just in time,0,1
synthetic,ngl that homemade pizza slaps harder than anything from a restaurant,1,1
synthetic,she slaps mosquitoes off her arm every few seconds during the hike,0,1
synthetic,bro this lo-fi playlist slaps when you're trying to focus,1,1
synthetic,the carpenter slaps a layer of glue on the board before clamping,0,1
synthetic,honestly the new menu at that taco place slaps for the price,1,1
synthetic,he slaps the table whenever he laughs which is kind of annoying,0,1
synthetic,the soundtrack to this indie game slaps way harder than it has any right to,1,1
synthetic,the seal slaps its flippers together to get the trainer's attention,0,1
synthetic,every song on the album slaps no skips at all,1,1
synthetic,the chef slaps the dough onto the marble counter and starts kneading,0,1
synthetic,this iced coffee recipe slaps especially with the cinnamon on top,1,1
synthetic,the boxer slaps his gloves together before stepping into the ring,0,1
synthetic,that bass drop slaps so hard my neighbors filed a complaint,1,1
synthetic,she slaps a sticker on her laptop for every country she visits,0,1
synthetic,the remix slaps even harder than the original which is rare,1,1
synthetic,he slaps his forehead in disbelief when he realizes he forgot the tickets,0,1
synthetic,the new ramen spot downtown slaps and the broth is unreal,1,1
synthetic,the angry customer slaps the receipt down and demands a refund,0,1
synthetic,this opening verse slaps so much i had to rewind it,1,1
synthetic,the wave slaps against the side of the boat as we drift further out,0,1
synthetic,yo the trailer music for that movie slaps for real,1,1
synthetic,the masseuse slaps the client's back to loosen the muscles,0,1
synthetic,his mixtape slaps and i'm not even usually into trap music,1,1
synthetic,she slaps butter into a bowl and starts whipping it for the frosting,0,1
synthetic,the cheap gas station snacks slap way more than they should,1,1
synthetic,the lifeguard slaps a wristband on every kid entering the deep end,0,1
synthetic,this beat slaps so hard i forgot what i was doing,1,1
synthetic,the magician slaps the deck down and reveals the chosen card,0,1
synthetic,ok but that thrift store fit slaps you have to admit,1,1
synthetic,the bartender slaps a coaster down before sliding the drink across,0,1
synthetic,their merch actually slaps i bought two hoodies on impulse,1,1
synthetic,the goalkeeper slaps the ball over the crossbar in a desperate save,0,1
synthetic,this vegan burger slaps so much i forgot it wasn't beef,1,1
synthetic,she playfully slaps his arm when he makes a corny joke,0,1
synthetic,the new season's soundtrack slaps and adds so much to the show,1,1
synthetic,the painter slaps a thick coat of primer on the old fence,0,1
synthetic,honestly the dollar store iced tea slaps don't sleep on it,1,1
synthetic,he slaps a bandage on the cut and keeps working in the yard,0,1
synthetic,fr that lofi study mix slaps when i'm grinding through papers,1,1
synthetic,the kangaroo slaps the ground with its tail before hopping off,0,1
synthetic,the cover art slaps almost as hard as the album itself,1,1
synthetic,the toddler slaps the keyboard and somehow opens a settings window,0,1
synthetic,this old school playlist slaps every single time i put it on,1,1
synthetic,the umpire slaps the dust off home plate between innings,0,1
synthetic,the new album slaps so much i pre-ordered the vinyl already,1,1
synthetic,she slaps sunscreen on her shoulders before heading back to the beach,0,1
synthetic,ngl this dollar pizza slaps after a long shift,1,1
synthetic,the masseur slaps oil onto his hands and starts the deep tissue work,0,1
synthetic,their debut ep slaps which is wild for a first release,1,1
synthetic,the wrestler slaps his own chest to hype up the crowd,0,1
synthetic,this hot sauce slaps but i can only handle a few drops,1,1
synthetic,he slaps the snooze button for the third time this morning,0,1
synthetic,lowkey the school cafeteria pasta slaps on tuesdays,1,1
synthetic,the cook slaps the steak onto the hot grill and steps back,0,1
synthetic,their live performance slaps even more than the studio version,1,1
synthetic,the beaver slaps its tail on the water as a warning to others,0,1
synthetic,ok this drugstore mascara slaps for under ten bucks,1,1
synthetic,the angry coach slaps the clipboard against his leg and yells at the ref,0,1
synthetic,every track on side b slaps which almost never happens,1,1
synthetic,she slaps a price tag on each item before stocking the shelf,0,1
synthetic,this korean corn dog slaps and the cheese pull is insane,1,1
synthetic,the fisherman slaps the trout on the cutting board to clean it,0,1
synthetic,that intro slaps so hard it deserves to be a song on its own,1,1
synthetic,he slaps the steering wheel in frustration when the light turns red again,0,1
synthetic,the bootleg merch actually slaps better than the official stuff,1,1
synthetic,the trainer slaps the horse's flank gently before mounting up,0,1
synthetic,this dessert at the diner slaps and it's somehow only four dollars,1,1
synthetic,the wind slaps the screen door shut every few minutes during the storm,0,1
synthetic,no joke this gas station coffee slaps in the morning,1,1
synthetic,she slaps her cards on the table and announces she won the hand,0,1
