target,is_slang,target_context,uri
rent free,1,that one tweet from 2019 still lives rent free in my brain every single day,synthetic://generated/rent free/0
rent free,1,you're letting one bad review live rent free in your head touch some grass,synthetic://generated/rent free/1
rent free,1,the moment she dropped the mic lives rent free in my head every award season,synthetic://generated/rent free/2
rent free,1,that awkward handshake between the two presidents is rent free in my mind,synthetic://generated/rent free/3
rent free,1,that podcast episode has been rent free in my mind ever since i listened,synthetic://generated/rent free/4
rent free,1,the wedding speech where the bro roasted the groom lives rent free fr,synthetic://generated/rent free/5
rent free,1,that one outfit she wore in 2014 still lives rent free in my mind,synthetic://generated/rent free/6
rent free,1,the way the chef yelled at the contestant lives rent free for me forever,synthetic://generated/rent free/7
rent free,1,imagine letting random strangers online live rent free in your head like that,synthetic://generated/rent free/8
rent free,1,the vine where the kid yells at the camera lives rent free in my head,synthetic://generated/rent free/9
rent free,1,you keep ranting about this celebrity they're living rent free in your skull,synthetic://generated/rent free/10
rent free,1,this taylor swift bridge has been rent free in my head for three days straight,synthetic://generated/rent free/11
rent free,1,that commercial jingle has been playing rent free in my mind all week long,synthetic://generated/rent free/12
rent free,1,the bridge of that song has been rent free in my head since release day,synthetic://generated/rent free/13
rent free,1,the ending of that movie lives rent free in my brain it was unhinged,synthetic://generated/rent free/14
rent free,1,her debut album has been living rent free in my playlist and my head,synthetic://generated/rent free/15
rent free,1,this one line from the book has been rent free in my mind for years,synthetic://generated/rent free/16
rent free,1,you've been thinking about her for weeks she's clearly living rent free up there,synthetic://generated/rent free/17
rent free,1,i swear that ad campaign has been rent free in my head for like a year,synthetic://generated/rent free/18
rent free,1,that one tiktok dance has been living rent free in my head since march,synthetic://generated/rent free/19
rent free,1,the way he dunked at the buzzer lives rent free in my head until next season,synthetic://generated/rent free/20
rent free,1,his weird laugh from that interview has been living rent free in my brain,synthetic://generated/rent free/21
rent free,1,that meme has been rent free in my head since tuesday and i need help,synthetic://generated/rent free/22
rent free,1,her reaction face from the reunion has been living rent free in my mind,synthetic://generated/rent free/23
rent free,1,bro you keep bringing him up he's living rent free in your head,synthetic://generated/rent free/24
rent free,1,that one comment on my post is living rent free and i need to log off,synthetic://generated/rent free/25
rent free,1,i can't stop replaying that goal it's been rent free in my head all week,synthetic://generated/rent free/26
rent free,1,you tweet about him every day he's literally rent free in your mind,synthetic://generated/rent free/27
rent free,1,him saying it's giving rich auntie lives rent free in my mind every day,synthetic://generated/rent free/28
rent free,1,her side eye in that photo has been living rent free in my brain all month,synthetic://generated/rent free/29
rent free,1,that cake fail from the bakery show has been rent free in my head,synthetic://generated/rent free/30
rent free,1,the proposal fail at the baseball game lives rent free in my head fr,synthetic://generated/rent free/31
rent free,1,that audio of her laughing has been rent free in my head since it went viral,synthetic://generated/rent free/32
rent free,1,the way he said i'm just a girl on live lives rent free in me,synthetic://generated/rent free/33
rent free,1,this scene from the show is rent free in my head and i've only watched once,synthetic://generated/rent free/34
rent free,1,this dress from the met gala has been living rent free in my mind,synthetic://generated/rent free/35
rent free,1,that quote about being delulu has been living rent free in my head lol,synthetic://generated/rent free/36
rent free,1,the iconic runway fall lives rent free in my mind every fashion week,synthetic://generated/rent free/37
rent free,1,the trailer for the next season has been living rent free since the drop,synthetic://generated/rent free/38
rent free,1,the kid yelling deez nuts on live tv lives rent free in my brain still,synthetic://generated/rent free/39
rent free,1,the cat jumping off the table video lives rent free i think about it daily,synthetic://generated/rent free/40
rent free,1,the line about the pasta living rent free in my head is so unserious,synthetic://generated/rent free/41
rent free,1,her acceptance speech is living rent free in my head and i'm fine with it,synthetic://generated/rent free/42
rent free,1,the show finale plot twist has been living rent free in my brain since sunday,synthetic://generated/rent free/43
rent free,1,the pizza rat clip lives rent free in my head whenever i ride the subway,synthetic://generated/rent free/44
rent free,1,the chorus of that song lives rent free in my head and i'm not even mad,synthetic://generated/rent free/45
rent free,1,the way he tripped on stage is living rent free in my head honestly,synthetic://generated/rent free/46
rent free,1,people who hate watch every video are letting the creator live rent free,synthetic://generated/rent free/47
rent free,1,she lives rent free in his mind clearly because he subtweets her constantly,synthetic://generated/rent free/48
rent free,1,him saying that was crazy work has been living rent free in my head lately,synthetic://generated/rent free/49
