,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire
429338,https://www.learncram.com/cbse/mcq-questions-for-class-8-science-chapter-3/,non-biodegradable answer answer d non-biodegradable question plastic that can resist fire is a bakelite b melamine c pvc d duroplast answer,,,0,0,0,0,0,1
507147,https://candabet.com/?content=slot&provider=pp,dragon rise of pyramids fruity treats starlight princess pachi wildies fire strike bigger bass bonanza raging bull rise of giza powernudge,,,0,0,0,0,0,1
197648,http://www.escapistmagazine.com/forums/read/7.403556-Wrestler-Dave-Bautista-Joins-Guardians-Of-The-Galaxy-Cast,a super hero movie and drax despite his abillity to fire energy is one of the more physical members of the,,,0,0,0,0,0,1
473830,http://www.abc22now.com/shared/news/top-stories/stories/wkef_vid_11958.shtml,toys r us early more than displaced by thanksgiving night fire update police capture screwdriver assault suspect grey thursday brings out,,,0,1,0,0,0,1
310400,http://www.wimdu.co.il/offers/1V2IAZ8T?review_page=1&search_geolocation=104194-ouddorp,didn't work and the ones who did was very low fire and we took ages to cook and to get the,,,0,0,0,0,0,1
1314995,https://www.mlbtraderumors.com/2011/01/beimel-has-several-irons-in-the-fire.html,to pro football rumors beimel has several irons in the fire by mike axisa january at pm cdt it's been a,,,0,0,0,0,0,1
1212337,https://www.scottishmaritimemuseum.org/age-of-oil-exhibition-events-programme/,writer and assistant producer of bafta award winning film piper alpha fire in night’ based on his book of the same,,,0,0,1,0,0,1
294798,http://www.smogon.com/forums/threads/cap-5-part-4-primary-ability-discussion.3479675/page-6,the steel-types that are supposed to counter it with hp fire it may not be the best offensive pokemon around but,,,0,0,0,0,0,1
899107,https://dpsnews.utah.gov/tag/5-year-old/,in the line of duty while fighting the mendocino complex fire our collective breaths stopped we couldn’t believe it our friend,,,0,0,0,0,0,1
213773,http://www.bicycling.com/training-nutrition/nutrition-weight-loss/foods-heal?cm_mmc=Active-_-6_Essentials_For_A_Long_Bike_Ride-_-Slideshow-_-Foods_That_Heal&quicktabs_3=0,bucket of water on inflammation but they don't put the fire out entirely says dietitian cynthia sass next last related content,,,0,0,0,0,0,1
519445,https://egeneralplan.vcrma.org/programs/?view_program=LU-O,services parks and recreational facilities law enforcement and emergency services fire protection conservation open space biological resources coastal resources scenic resources,,,0,0,0,0,0,1
1283433,http://www.ramonpla.com/modern-side-tables-for-living-room,kit menards fire ring fire pits lowes with stones gas fire pit ideas wood burning outdoor fire pit high quality fire,,,0,0,0,0,0,1
1346643,http://davesdistrictblog.blogspot.com/,money is the weapon who is in the line of fire old cannon at minerva terrace in hull old days mean,,,0,0,0,0,0,1
