uri,target_context,is_slang,synthetic
synthetic,the greek letter alpha is the first in the alphabet and is used widely in math and physics,0,1
synthetic,bro really thinks he's an alpha because he skipped breakfast and lifted twice today,1,1
synthetic,alpha particles consist of two protons and two neutrons emitted during radioactive decay,0,1
synthetic,every guy at the gym is pretending to be an alpha while filming themselves in the mirror,1,1
synthetic,the new build is still in alpha so expect a lot of bugs and missing features,0,1
synthetic,he walked in like he was the alpha of the friend group and got humbled in two seconds,1,1
synthetic,researchers measured alpha brain waves in the subjects during the relaxation phase of the study,0,1
synthetic,my coworker keeps quoting some alpha mindset podcast and it's getting hard to listen to,1,1
synthetic,the fund manager talked about generating alpha relative to the s and p 500 benchmark,0,1
synthetic,thinks he's an alpha just because he ordered black coffee and refused the muffin,1,1
synthetic,the alpha helix is a common secondary structure found in many proteins,0,1
synthetic,telling women you're an alpha on a first date is the fastest way to be ghosted,1,1
synthetic,she set her significance level alpha to 0.05 before running the hypothesis test,0,1
synthetic,real alpha behavior is paying your taxes on time and replying to your mother's texts,1,1
synthetic,in dnd our group's alpha is the rogue who keeps stealing from shop owners,0,1
synthetic,social media keeps trying to convince teenage boys they need to grindset into an alpha,1,1
synthetic,the company released an alpha version of the app to a small group of internal testers,0,1
synthetic,calling yourself an alpha while living in your mom's basement is peak comedy,1,1
synthetic,we observed alpha decay in the americium sample during the afternoon lab session,0,1
synthetic,he says he's an alpha but the second his boss yelled at him he went silent,1,1
synthetic,the alpha channel in the image determines the transparency of each pixel,0,1
synthetic,that guy on tiktok preaching alpha energy clearly hasn't talked to a woman in months,1,1
synthetic,alpha centauri is the closest star system to our own at about 4.37 light years away,0,1
synthetic,stop trying to act like an alpha at the office it's making everyone uncomfortable,1,1
synthetic,the linear regression assumes alpha represents the intercept of the fitted line,0,1
synthetic,you can spot a fake alpha by how loud he is when nobody is challenging him,1,1
synthetic,alpha radiation can be blocked by a sheet of paper but is dangerous if inhaled,0,1
synthetic,the entire alpha sigma grindset community is just guys cosplaying as movie villains,1,1
synthetic,they're hosting a closed alpha test next month for users who signed up early,0,1
synthetic,watching a so called alpha melt down in traffic because someone honked at him,1,1
synthetic,the cronbach alpha for the survey came out to 0.82 indicating good internal consistency,0,1
synthetic,he calls himself an alpha but cries every time his fantasy team loses,1,1
synthetic,biologists once described the dominant wolf in a pack as the alpha but the theory has been revised,0,1
synthetic,modern dating advice from alpha gurus is basically just being rude and calling it confidence,1,1
synthetic,alpha is also commonly used to denote angular acceleration in physics equations,0,1
synthetic,real alpha move was when my dog stole the steak off the counter and showed no remorse,1,1
synthetic,the alpha receptors in the smooth muscle respond to norepinephrine binding,0,1
synthetic,every dude in finance thinks he's an alpha because he wakes up at five and does cold plunges,1,1
synthetic,alpha hydroxy acids are common ingredients in exfoliating skincare products,0,1
synthetic,his whole personality is being an alpha and it makes hanging out exhausting,1,1
synthetic,the alpha male trope in nature documentaries is mostly outdated science at this point,0,1
synthetic,redditors arguing in the comments about who is more alpha is the saddest thing on the internet,1,1
synthetic,alpha numeric passwords should include both letters and numbers for better security,0,1
synthetic,he gave me a firm handshake and I knew he had been studying alpha tutorials online,1,1
synthetic,the team submitted the alpha build for review before the friday deadline,0,1
synthetic,saying you're an alpha is like wearing a sign that says please ignore me,1,1
synthetic,the company logo features the greek letter alpha intertwined with an omega,0,1
synthetic,got into an argument with my brother about whether our dad is an alpha or a beta and we are both grown adults,1,1
synthetic,alpha amylase breaks down starch into smaller sugars during digestion,0,1
synthetic,imagine spending hundreds on a course that promises to turn you into an alpha,1,1
synthetic,the satellite was named after the alpha constellation visible from the southern hemisphere,0,1
synthetic,she said he gave off serious alpha energy and I almost spit out my drink,1,1
synthetic,in statistics alpha denotes the probability of making a type one error,0,1
synthetic,thinks being rude to the waiter makes him an alpha when it just makes him a jerk,1,1
synthetic,the alpha state of meditation is associated with calm and focused awareness,0,1
synthetic,my little brother is going through an alpha phase and won't stop quoting andrew tate,1,1
synthetic,the alpha software was distributed only to a handful of engineers for early feedback,0,1
synthetic,no real alpha actually calls himself an alpha that's just rule number one,1,1
synthetic,alpha lipoic acid is sometimes taken as a supplement for its antioxidant properties,0,1
synthetic,guys watching alpha content all day end up unable to talk to anyone in person,1,1
synthetic,we measured alpha emission rates from the sample using a scintillation detector,0,1
synthetic,her boyfriend tried to do some alpha dominance thing at dinner and her dad just laughed at him,1,1
synthetic,the project moved from alpha to beta after the team fixed the major crashing bugs,0,1
synthetic,alpha grindset videos always feature shirtless men yelling next to luxury cars they probably rented,1,1
synthetic,alpha glucose and beta glucose differ in the orientation of the hydroxyl group on carbon one,0,1
synthetic,telling everyone you're an alpha at the office party is a fast track to hr,1,1
synthetic,the alpha test phase will last about three weeks before we open it to more users,0,1
synthetic,he watched one alpha podcast and now he refuses to apologize for anything ever,1,1
synthetic,in finance jargon generating alpha means beating the market on a risk adjusted basis,0,1
synthetic,the alpha mindset crowd peaked when they started selling minerals to make you more masculine,1,1
synthetic,alpha synuclein aggregation plays a role in the development of parkinson's disease,0,1
synthetic,she dumped him after he kept lecturing her about alpha and sigma behavior at brunch,1,1
