,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll,vibes,washed, ick
1371126,http://www.chetthedog.com/chet-the-dog/scents-and-sensibility,us we like bones and just turn away during the ick scenes but how we long for the old days of,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
488545,http://www.debbieschlussel.com/44554/wknd-box-office-my-week-w-marilyn-the-descendants-the-skin-i-live-in/,preverts are covering up their perversions by being filmmakers today ick i will skip it and i was gonna see it,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1412557,http://simplycooked.blogspot.co.uk/2015/11/how-to-cook-and-enjoy-broccoli-stems.html,any vegetables that you think are ick connect with simply cooked on facebook http www facebook com simplycooked posted by sarah,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
367246,https://support.hp.com/emea_middle_east-en/product/samsung-cjx-1050w-inkjet-all-in-one-printer-series/18477872/manuals,issues on an hp computer or printer click here z ick kgte aqo o ka hp-detect-load-my-device-portlet actions title loading z ick,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
258307,http://filmexperience.blogspot.com/2006/04/pfeiffer-forever.html,on ladyhawke cutting room what lies within great talent film ick on what lies beneath the flick filosopher on catwoman's gyno-power,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
778553,https://www.montmartreoosterhesselen.nl/make_wood_ash_lye/5549/en/.html,approx full with filtered water closed up the jar and shook it to mix everything up pretty icky looking wood ash,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
618748,https://rosevalorbradford.com/2022/03/01/news-real-reel/,fact they got over the co-to-the-vid faster than i did ick and then hypes up a totally sketch and risky experimental,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1293622,http://pathstoknowledge.science/2012/02/23/the-climate-science-criminal-aniled-minds/,crimes against humanity homophobic human ape humbled by nature hypnosis ick ideas crazy enough to have a chance ignorance to knowledge,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1389031,https://cynthiamurphywrites.wordpress.com/2016/04/,a heart monitor a drip four drains full of absolute ick coming from various areas of my body and the worst,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
828623,https://floridasawfestival.com/article/outstanding-volunteering-jailhouse-with-title-vhs-from-1997/1400,love learning fun facts about my animal friends well like ick for instance he's a fish did you know that many,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
655696,http://cakewrecks.blogspot.com/2010/05/baby-cake-gets-cut-down-to-size.html?showComment=1274711198089,not give you nightmares - and this thing puts the ick in squicky ok enough warnings since i'm sure they're having,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
602229,https://spiritofradio.ca/forum/viewtopic.php?f=9&t=234&p=4345,doing the same old omd sound as back then top ick digit's guardian - old new music search entry quote post,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1146487,https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0103889,n it was to r ig id ly s t ick to e i t h e r the i d,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
246292,https://www.emptynest1.net/2012/09/hodger-podges.html?showComment=1348662613272,fall in sedona i'm with you i very rarely say ick mostly gross or yuck i love fashion i may not,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51736,https://saintandrewstwinflame.com/2021/11/22/a-message-from-the-galactic-federation-nov-2021/,david icke eric snowden fbi cia expose crimes julian assange karen hudes paul hellyer canada cabal new world order antichrists then,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1193414,http://www.archive.org/stream/selangorjournal03unkngoog/selangorjournal03unkngoog_djvu.txt,inslrumeulnn picket iiiinil er one re -uly with thu-ir baskets ick and bo --ii but ronu few years before or in,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
790903,https://support.hp.com/nz-en/document/c05300446,this length description buttonname else description buttonname if each z ick kgte aqo o ka hp-feedback-input-portlet actions title loading z ick,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
836309,https://www.supraphon.com/about-us/28-the-bartered-bride-at-the-domovina-studio,collaboration with prominent western labels including polygram and emi vina ick worked at supraphon up until the middle of the s,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1329167,http://www.tvguide.com/tvshows/the-doctors-2008/episode-74-season-1/the-doctors/295097,you despise season episode ask our doctors season episode the ick factor more embarrassing problems solved season episode the doctors take,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
162820,http://booksbikesboomsticks.blogspot.com/2009/01/how-cold-it-it.html,gun school heroes history hmmm horton hears a hoosier hunting ick idjits ignorance is no excuse for a law indy zoo,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1194233,https://support.hp.com/rs-en/document/c03423683,share advice with other hp product owners visit now z ick kgte aqo o ka h hp-feedback-banner-portlet actions title loading z,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
233946,http://www.mybookishways.com/2012/12/giveaway-sealed-with-a-curse-by-cecy-robson.html,really bad and the author never shies away from the ick factor cecy robson has a very very fertile imagination when,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1271574,https://humoroutcasts.com/tag/courd/,falling out of trees over jane goodall oscar the sarcastic ick ushers in wisdom for dummies top menu writers a f,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
591447,https://www.tacomaworld.com/threads/urd-tcai-on-a-2012-tacoma.213899/,making me all jelly with all your mods looks f'ckin sick comatose hi apr apr at pm s icklvlan op cpt,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
987578,https://newbabynewpaltz.com/products/kickee-pants-print-long-sleeve-kimono-double-ruffle-romper-thistle-chamomile,the myth of the pioneer woman thoughts on gratitude tick ick sick tis the season for mastitis rtf toddler time- staying,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
495482,http://www.lite975.com/Chores--Dark-Knight-Rises--Toy-Memory-and-so-much-more/11131418?artistData=Pomplamoose&titleData=Jingle%20Bells,lots of vitamin c to help ward off the wintertime ick tha goes around not their words of course my words,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
147088,http://blog.cawanpink.net/2008/12/had-blast.html,while i was looking at an a kde desktop - ick i hate it no matter how much i tried to,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51650,https://www.ick.com/a-legend-worth-celebrating-the-unparalleled-legacy-of-roger-corman-2/,worth celebrating the unparalleled legacy of roger corman all things ick toggle navigation all things ick daily ick things that disgust,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
847838,http://www.mdpi.com/2072-6651/5/12/2488,revealed to be dominated by extremely diverse inhibitor cystine knot ick knottin peptides accounting for of the full-length toxin precursors recovered,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
669107,http://voices.washingtonpost.com/celebritology/2008/10/friday_list_the_best_john_hugh.html,would ever be interested in that awful andrew mccarthy ick ick ick posted by rs october pm report abuse ferris bueller,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
383059,http://scienceblogs.com/mikethemadbiologist/2006/07/27/antibiotics-and-industry-press/,yontif healthcare hiv homelessness housing human genetics humor hunger hypotheses ick immigration inflation influenza insects internet iphone uphone we all like,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
