uri,target_context,is_slang,synthetic
synthetic,i yeeted my homework across the room when i finally finished it at 3am,1,1
synthetic,bro just yeeted his controller after losing that ranked match,1,1
synthetic,she yeeted the empty pizza box into the trash from like ten feet away,1,1
synthetic,my cat yeeted itself off the bookshelf and somehow stuck the landing,1,1
synthetic,i accidentally yeeted my phone into the pool trying to take a selfie,1,1
synthetic,the goalie yeeted that ball into the stands no chill whatsoever,1,1
synthetic,got mad at my essay and yeeted my laptop onto the bed,1,1
synthetic,he yeeted the wrapper at the trash can and missed by a mile,1,1
synthetic,the toddler just yeeted his sippy cup across the restaurant lol,1,1
synthetic,i yeeted my keys somewhere in the house and now i can't find them,1,1
synthetic,she yeeted that ex out of her life real quick after the texts came out,1,1
synthetic,the coach yeeted his clipboard after that bad call by the ref,1,1
synthetic,i yeeted the spider into the next dimension i was not about to deal with that,1,1
synthetic,my mom yeeted my old toys into a donation box without asking me,1,1
synthetic,he yeeted the basketball from half court and somehow it went in,1,1
synthetic,i yeeted that email into my drafts and forgot to send it for two weeks,1,1
synthetic,the dog yeeted his toy at me like he wanted me to play fetch,1,1
synthetic,tournament was rough we got yeeted in the first round,1,1
synthetic,she yeeted her resume at every company in the city and got three offers,1,1
synthetic,i yeeted that boring chapter and skipped to the good part,1,1
synthetic,bro got yeeted from the lobby for being toxic in chat,1,1
synthetic,i yeeted my alarm clock at the wall this morning and now it doesn't work,1,1
synthetic,the bouncer literally yeeted that guy out the front door,1,1
synthetic,we yeeted all our problems aside and just enjoyed the vacation,1,1
synthetic,she yeeted a snowball at me and ran away laughing,1,1
synthetic,i yeeted my plate into the sink and stormed off like a child,1,1
synthetic,they yeeted that storyline so hard the writers must have forgotten it existed,1,1
synthetic,my brother yeeted my switch off the couch and the screen cracked,1,1
synthetic,the kid yeeted his backpack into the bus aisle the second he sat down,1,1
synthetic,i yeeted my diet the moment i saw the dessert menu,1,1
synthetic,she yeeted her ex's hoodie out the window during the breakup,1,1
synthetic,we yeeted the couch up three flights of stairs somehow without breaking anything,1,1
synthetic,i yeeted that group chat after they started arguing about politics again,1,1
synthetic,the quarterback yeeted that pass downfield and it landed perfectly in the receiver's hands,1,1
synthetic,she yeeted her bouquet so hard at the wedding it hit the chandelier,1,1
synthetic,i yeeted my budget out the window once i walked into that bookstore,1,1
synthetic,the streamer yeeted his keyboard after the third loss in a row,1,1
synthetic,i yeeted my socks into the laundry basket like i was making a free throw,1,1
synthetic,got yeeted off the team for missing too many practices honestly fair,1,1
synthetic,she yeeted her notebook into her bag and bolted out of class,1,1
synthetic,i yeeted that idea the second i saw how much it would cost,1,1
synthetic,he yeeted the frisbee so far we couldn't even find it in the grass,1,1
synthetic,the boss yeeted my proposal back at me with a thousand red marks,1,1
synthetic,i yeeted myself out of bed at noon and immediately regretted it,1,1
synthetic,the chef yeeted that pizza dough into the air like a pro,1,1
synthetic,she yeeted her phone across the couch when she saw the notification,1,1
synthetic,i yeeted all my exes' photos into the recycle bin and emptied it,1,1
synthetic,they yeeted that update without testing it and now nothing works,1,1
synthetic,the linebacker yeeted that running back into next week on the kickoff,1,1
synthetic,i yeeted my umbrella into the trunk and of course it started pouring,1,1
synthetic,she yeeted her drink at his face and walked out of the bar,1,1
synthetic,i yeeted my responsibilities for the weekend and binged that new show,1,1
synthetic,he yeeted the trash bag into the dumpster from the porch like a champ,1,1
synthetic,the mods yeeted half the comments on that post for being unhinged,1,1
synthetic,i yeeted my sweater off the moment i walked inside because it was so hot,1,1
synthetic,she yeeted that whole subplot in her rewrite and the book got way better,1,1
synthetic,i yeeted my plans for the night and ordered takeout instead,1,1
synthetic,the dog yeeted itself into the pool before i could even take its leash off,1,1
synthetic,i yeeted my old laptop into a drawer and bought a new one,1,1
synthetic,she yeeted her keys to me from across the parking lot somehow i caught them,1,1
synthetic,the fans yeeted their hats onto the ice after the hat trick,1,1
synthetic,bro really yeeted his career by posting that video,1,1
synthetic,i yeeted that whole bag of chips in like five minutes don't judge,1,1
synthetic,they yeeted him from the discord server for spamming memes,1,1
synthetic,she yeeted the receipt into her purse and never looked at it again,1,1
synthetic,i yeeted my coat onto the chair and collapsed onto the bed,1,1
synthetic,we yeeted the idea of hiking once we saw the weather forecast,1,1
synthetic,the wind yeeted my hat halfway down the block before i could catch it,1,1
synthetic,i yeeted my sandwich at the seagull and immediately regretted it,1,1
synthetic,she yeeted her bag onto the overhead bin and squeezed into the window seat,1,1
synthetic,i yeeted that thought right out of my head before i could spiral,1,1
