uri,target_context,is_slang,synthetic
synthetic,honestly the new marvel movie was so mid i fell asleep halfway through,1,1
synthetic,the temperature usually peaks in mid afternoon so plan your run accordingly,0,1
synthetic,everyone hyped this restaurant up but the pasta was straight up mid,1,1
synthetic,she gave birth in mid january after a difficult pregnancy,0,1
synthetic,bro called my outfit mid then showed up in cargo shorts and crocs,1,1
synthetic,the company expects to release the product in mid 2025,0,1
synthetic,their new album is honestly kinda mid compared to the last one,1,1
synthetic,the mid section of the bridge needs urgent repairs according to engineers,0,1
synthetic,stop saying every game is mid you literally rate everything 5 out of 10,1,1
synthetic,she plays mid for her college soccer team and just made captain,0,1
synthetic,ngl the burger was mid but the fries were actually fire,1,1
synthetic,we hiked through the forest until mid morning before stopping for a snack,0,1
synthetic,calling beyonce mid is the most chronically online take i've ever read,1,1
synthetic,the mid range pricing makes this laptop attractive for students on a budget,0,1
synthetic,his rizz is mid at best he just looks confident on camera,1,1
synthetic,she fired the shot from mid court and somehow it went in,0,1
synthetic,y'all be calling everything mid it's giving food critic energy,1,1
synthetic,the engine sits in the mid position which gives the car better balance,0,1
synthetic,i waited two hours for this concert and it was completely mid,1,1
synthetic,the mid term elections often determine the direction of national policy,0,1
synthetic,his hot take that pizza is mid got him absolutely roasted online,1,1
synthetic,the patient experienced symptoms starting in the mid thoracic region,0,1
synthetic,drake's last few albums have been mid and i'm tired of pretending otherwise,1,1
synthetic,during the mid eighteenth century several european powers expanded their colonial holdings,0,1
synthetic,lowkey this whole tiktok trend is mid and overhyped,1,1
synthetic,stir the batter and add the eggs in the mid stage of mixing,0,1
synthetic,people keep gassing this anime but the second season is so mid,1,1
synthetic,the runner pulled ahead in the mid section of the race,0,1
synthetic,every restaurant on this list is mid except maybe the ramen spot,1,1
synthetic,the building features a mid century modern design with clean horizontal lines,0,1
synthetic,tell me why my coworker thinks beyonce concerts are mid girl be so for real,1,1
synthetic,she works as a mid level manager at a logistics company downtown,0,1
synthetic,honestly i thought it would slap but it ended up being mid,1,1
synthetic,the storm intensified in mid atlantic waters before tracking north,0,1
synthetic,your fit is mid bro stop posting outfit checks,1,1
synthetic,we will reconvene in mid september after the summer break,0,1
synthetic,this season of the show went from peak to mid in like three episodes,1,1
synthetic,the surgeon made a small incision in the mid abdominal area,0,1
synthetic,tell him his cooking is mid i'm not eating that again,1,1
synthetic,the rocket reached mid orbit before completing its primary maneuver,0,1
synthetic,everyone gassed this game up but combat feels mid and clunky,1,1
synthetic,you'll find the office on the mid floor between reception and the cafeteria,0,1
synthetic,her vocals are good but her songwriting is honestly mid,1,1
synthetic,the mid line of the field is marked clearly with white paint,0,1
synthetic,saying pulp fiction is mid is a wild thing to put in writing,1,1
synthetic,demand typically rises through the mid quarter as retailers prepare for holidays,0,1
synthetic,y'all hyping up mid restaurants again like we don't have taste buds,1,1
synthetic,place the bookmark in the mid section so you don't lose your spot,0,1
synthetic,this whole tier list is cooked half these characters are mid,1,1
synthetic,the river runs deepest in the mid channel where the current is strongest,0,1
synthetic,kanye fans are coping the new tracks are mid let's be honest,1,1
synthetic,interest rates remained stable through the mid period of the fiscal year,0,1
synthetic,no shade but your playlist is mid bro put some real music on,1,1
synthetic,the mid range frequencies sounded muddy on the cheaper headphones we tested,0,1
synthetic,the entire spider man trilogy is mid except the first one come at me,1,1
synthetic,she scored the goal from a perfectly placed mid field pass,0,1
synthetic,if you think dune part two is mid you might not like cinema,1,1
synthetic,we'll meet at the mid point of the trail and continue together,0,1
synthetic,lowkey starbucks coffee has always been mid people just like the branding,1,1
synthetic,the mid sized sedan offers better fuel economy than its larger competitors,0,1
synthetic,bro really told me my mixtape was mid to my face,1,1
synthetic,the storm formed in the mid pacific and weakened before reaching land,0,1
synthetic,the new iphone is mid every year and people still buy it,1,1
synthetic,in mid november the leaves had fully turned across the valley,0,1
synthetic,calling messi mid should be a bannable offense on this forum,1,1
synthetic,the mid week deadline gives us less time than usual to finish the report,0,1
synthetic,every restaurant tiktok recommends ends up being mid in real life,1,1
synthetic,the diagram highlights the mid brain and its role in motor control,0,1
synthetic,i'm not even hating but this game is mid and overpriced,1,1
synthetic,she paused mid sentence to check her phone before continuing the lecture,0,1
synthetic,everything on this menu looks mid i'm just gonna get fries,1,1
synthetic,construction began in mid march and is expected to wrap up by fall,0,1
synthetic,twitter chefs love calling every viral recipe mid then posting their own,1,1
synthetic,the mid sole of the running shoe provides extra cushioning during long runs,0,1
synthetic,his standup special was mid and the crowd work saved it,1,1
synthetic,she works the mid shift at the hospital from three to eleven,0,1
