uri,target_context,is_slang,synthetic
synthetic,messi is absolutely goated no debate,1,1
synthetic,this pizza place is goated i've been coming here since high school,1,1
synthetic,bro that comeback was goated i replayed it like ten times,1,1
synthetic,lebron is goated whether you like it or not,1,1
synthetic,the new album is goated every track slaps,1,1
synthetic,this ramen recipe is straight up goated,1,1
synthetic,honestly the original trilogy is still goated nothing beats it,1,1
synthetic,shoutout to my mom she's goated for making breakfast every morning,1,1
synthetic,that teacher was actually goated she made calculus fun,1,1
synthetic,kobe will always be goated to me sorry not sorry,1,1
synthetic,the chick fil a sauce is goated and you can't change my mind,1,1
synthetic,this episode is goated peak television fr,1,1
synthetic,yo that play was goated the defender had no chance,1,1
synthetic,ngl the soundtrack to this game is goated,1,1
synthetic,tom brady is goated even if you hate the patriots,1,1
synthetic,my new headphones are goated worth every penny,1,1
synthetic,the original iphone was goated for its time,1,1
synthetic,this barber is goated he never misses on a fade,1,1
synthetic,breaking bad finale was goated change my mind,1,1
synthetic,she's goated for showing up with coffee unprompted,1,1
synthetic,stephen king is goated when it comes to horror writing,1,1
synthetic,the chef's special tonight was goated i'm telling everyone about it,1,1
synthetic,you're goated bro thanks for covering my shift,1,1
synthetic,this dorm hack is goated saved me so much space,1,1
synthetic,ronaldo is goated and messi is too can both be true,1,1
synthetic,the matrix was goated until they made the sequels,1,1
synthetic,honestly target brand snacks are goated for the price,1,1
synthetic,my grandma's apple pie is goated nothing else compares,1,1
synthetic,that goal was goated absolutely unreal finish,1,1
synthetic,kendrick is goated this generation no one is touching him,1,1
synthetic,the playstation 2 is goated greatest console ever made,1,1
synthetic,this professor is goated he actually explains stuff clearly,1,1
synthetic,spider verse animation is goated nothing looks like it,1,1
synthetic,trader joe's frozen aisle is goated try the orange chicken,1,1
synthetic,you're goated for sharing your notes before the exam,1,1
synthetic,this thrift find is goated five bucks for a vintage tee,1,1
synthetic,ratatouille is goated and i'll fight anyone who disagrees,1,1
synthetic,the dad from bluey is goated honestly a role model,1,1
synthetic,serena is goated period end of story,1,1
synthetic,this coffee shop wifi is goated never lags during my zoom calls,1,1
synthetic,duolingo streak is goated kept me consistent for 400 days,1,1
synthetic,the linkin park hybrid theory album is still goated,1,1
synthetic,ngl the bus driver this morning was goated waited for me running,1,1
synthetic,that movie ending was goated i was speechless,1,1
synthetic,shaq in his prime was goated nobody could guard him,1,1
synthetic,the new update is goated they finally fixed the matchmaking,1,1
synthetic,ben and jerry's phish food is goated and i won't apologize,1,1
synthetic,this thread is goated saving it for later,1,1
synthetic,she's goated at karaoke literally sounded like the studio version,1,1
synthetic,honestly the show villain was goated more compelling than the hero,1,1
synthetic,this charger is goated 100% in like twenty minutes,1,1
synthetic,ghibli films are goated forever no cgi can compete,1,1
synthetic,the lakers bench is actually goated this season,1,1
synthetic,michael phelps is goated of olympics period,1,1
synthetic,this pen is goated for note taking smooth ink and no smudges,1,1
synthetic,you're goated for bringing snacks to study group,1,1
synthetic,the og pokemon games are goated nothing hits like red and blue,1,1
synthetic,anthony bourdain was goated rip the legend,1,1
synthetic,this dog is goated he greets everyone at the door,1,1
synthetic,my therapist is goated changed my life honestly,1,1
synthetic,the sopranos is goated greatest tv show ever made,1,1
synthetic,khabib retiring undefeated was goated behavior,1,1
synthetic,this airbnb host is goated left us homemade cookies,1,1
synthetic,the original halo trilogy is goated i'll die on this hill,1,1
synthetic,viola davis is goated she elevates every scene she's in,1,1
synthetic,this sunscreen is goated lightweight and no white cast,1,1
synthetic,honestly the bench warmer who hit that three was goated,1,1
synthetic,costco rotisserie chicken is goated for five bucks,1,1
synthetic,this playlist is goated for late night drives,1,1
synthetic,the librarian at my school is goated she always recs the best books,1,1
synthetic,naruto shippuden opening 1 is goated and you know it,1,1
synthetic,this hotel breakfast buffet is goated literally everything was fresh,1,1
