uri,target_context,is_slang,synthetic
synthetic,my whole feed is just dudes gooning over some new ai girlfriend app and it's depressing,1,1
synthetic,the enforcer was suspended three games for gooning on the opposing captain after the whistle,0,1
synthetic,bro spent his entire saturday gooning instead of going to his cousin's wedding,1,1
synthetic,the league has cracked down on gooning and most teams no longer roster a dedicated fighter,0,1
synthetic,i swear half this discord server is just gooning to anime profile pictures,1,1
synthetic,old time hockey was full of bench clearing brawls and shameless gooning,0,1
synthetic,the kids these days have invented new slang for gooning every other week,1,1
synthetic,his coach told him to cut the gooning and start playing actual hockey if he wanted a contract,0,1
synthetic,imagine gooning so hard you miss your own job interview that's wild,1,1
synthetic,the documentary explores the culture of gooning in the minor leagues during the seventies,0,1
synthetic,she caught her boyfriend gooning at three in the morning and dumped him on the spot,1,1
synthetic,modern fans have grown tired of gooning and want more skill based play,0,1
synthetic,twitch chat was begging him to stop gooning and finish the raid,1,1
synthetic,his role on the team was basically gooning whenever a star player got hit too hard,0,1
synthetic,every algorithm on the internet is engineered to keep men gooning for hours,1,1
synthetic,the referee handed out match penalties to both players for excessive gooning,0,1
synthetic,he posted a meme about gooning and his mom found it on his phone,1,1
synthetic,gooning was a legitimate career path in the bush leagues back then according to the memoir,0,1
synthetic,no shot you skipped my birthday party because you were gooning all night,1,1
synthetic,the goalie criticized the league for tolerating gooning behind the play,0,1
synthetic,this generation is cooked man everyone is just gooning and doom scrolling,1,1
synthetic,the analyst pointed out how rare gooning has become since the new rulebook,0,1
synthetic,she walked in on her roommate gooning to a tiktok edit and screamed,1,1
synthetic,philadelphia fans used to celebrate gooning as part of the broad street bullies identity,0,1
synthetic,i lost a friend to the gooning epidemic he won't even leave his apartment anymore,1,1
synthetic,after years of gooning his way through games he finally learned to handle the puck,0,1
synthetic,the subreddit got banned for being basically a gooning support group,1,1
synthetic,the old coach actually encouraged gooning whenever the team was down by two,0,1
synthetic,stop gooning and answer your phone your mother is worried sick,1,1
synthetic,gooning in the playoffs is a recipe for losing because of all the power plays,0,1
synthetic,twitter is unhinged today everybody is gooning over that one ai generated character,1,1
synthetic,the brawl earned him a reputation for gooning that followed him his entire career,0,1
synthetic,my new years resolution was to stop gooning but i made it about six hours,1,1
synthetic,junior leagues have rules specifically targeting gooning and instigator penalties,0,1
synthetic,he's been gooning so much his hand is literally cramping up he told me,1,1
synthetic,the commissioner promised to eliminate gooning from the sport by the next season,0,1
synthetic,people in the comments were gooning over a literal cartoon frog it was so weird,1,1
synthetic,his fourth line role was mostly gooning and killing penalties when needed,0,1
synthetic,the gooning meme has completely taken over reddit in the past six months,1,1
synthetic,european leagues never really embraced gooning the way north american hockey did,0,1
synthetic,bro really thought gooning all weekend was a good substitute for studying for finals,1,1
synthetic,the hall of fame debate around him centers on whether his gooning overshadowed his goals,0,1
synthetic,if you're gooning right now please close this tab and go drink some water,1,1
synthetic,his style of play involved a lot of gooning in the corners and along the boards,0,1
synthetic,i can't believe gooning became a mainstream word that my dad knows now,1,1
synthetic,gooning behind the play has decreased thanks to overhead cameras catching everything,0,1
synthetic,the entire chat was just gooning at the streamer's outfit for two straight hours,1,1
synthetic,the assistant coach was fired for instructing the rookies on the finer points of gooning,0,1
synthetic,this app is designed to maximize gooning and it should honestly be illegal,1,1
synthetic,you don't see much gooning in the women's league which makes for cleaner hockey,0,1
synthetic,every guy i know is gooning to some virtual influencer it's actually dystopian,1,1
synthetic,his transition from gooning enforcer to skilled veteran took nearly a decade,0,1
synthetic,the boys are in the basement gooning again don't bother going down there,1,1
synthetic,the rink announcer joked about gooning during a particularly chippy second period,0,1
synthetic,discord mods banned the word gooning because it was being spammed in every channel,1,1
synthetic,scouts will overlook gooning if a prospect has actual offensive upside,0,1
synthetic,he confessed on stream that he had been gooning for six hours straight and nobody was surprised,1,1
synthetic,the bench boss tolerated gooning only when his star player was being targeted,0,1
synthetic,twelve year olds on roblox are using the word gooning and i need to log off forever,1,1
synthetic,the historian argued that gooning peaked during the broad street bullies era,0,1
synthetic,if you spend less time gooning you might actually get a girlfriend in real life,1,1
synthetic,the suspension came down quickly after his gooning incident went viral on social media,0,1
synthetic,the only thing more embarrassing than gooning is bragging about gooning online,1,1
synthetic,fans booed loudly every time the visiting enforcer started gooning near the net,0,1
synthetic,he claimed he was studying but the browser history showed hours of gooning,1,1
synthetic,gooning has no place in a youth league focused on development and fun,0,1
synthetic,the gooning discourse on this app has reached completely insane levels lately,1,1
synthetic,the documentary interviewed several retired players who were known for gooning in their prime,0,1
synthetic,she said her ex was always gooning when he should have been listening to her,1,1
synthetic,the broadcasters criticized the gooning that broke out at the end of the third period,0,1
synthetic,literally everyone in this group chat is gooning instead of helping me move,1,1
synthetic,his nickname came from years of gooning against bigger opponents in junior hockey,0,1
