model,slot,target,year,choice,is_target,count,n_valid
claude-sonnet-4-6,exp3_alpha,alpha,2013,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2014,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2015,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2016,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2017,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2018,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2019,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2020,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2021,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2022,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2023,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2024,alpha,1,30,30
claude-sonnet-4-6,exp3_alpha,alpha,2025,alpha,1,30,30
claude-sonnet-4-6,exp3_aura,aura,2013,aura,1,19,30
claude-sonnet-4-6,exp3_aura,aura,2013,vibe,0,11,30
claude-sonnet-4-6,exp3_aura,aura,2014,aura,1,11,30
claude-sonnet-4-6,exp3_aura,aura,2014,vibe,0,19,30
claude-sonnet-4-6,exp3_aura,aura,2015,aura,1,10,30
claude-sonnet-4-6,exp3_aura,aura,2015,vibe,0,20,30
claude-sonnet-4-6,exp3_aura,aura,2016,aura,1,8,30
claude-sonnet-4-6,exp3_aura,aura,2016,vibe,0,22,30
claude-sonnet-4-6,exp3_aura,aura,2017,aura,1,10,30
claude-sonnet-4-6,exp3_aura,aura,2017,vibe,0,20,30
claude-sonnet-4-6,exp3_aura,aura,2018,aura,1,10,30
claude-sonnet-4-6,exp3_aura,aura,2018,vibe,0,20,30
claude-sonnet-4-6,exp3_aura,aura,2019,aura,1,3,30
claude-sonnet-4-6,exp3_aura,aura,2019,vibe,0,27,30
claude-sonnet-4-6,exp3_aura,aura,2020,vibe,0,30,30
claude-sonnet-4-6,exp3_aura,aura,2021,vibe,0,30,30
claude-sonnet-4-6,exp3_aura,aura,2022,aura,1,8,30
claude-sonnet-4-6,exp3_aura,aura,2022,rizz,0,20,30
claude-sonnet-4-6,exp3_aura,aura,2022,vibe,0,2,30
claude-sonnet-4-6,exp3_aura,aura,2023,aura,1,10,30
claude-sonnet-4-6,exp3_aura,aura,2023,rizz,0,20,30
claude-sonnet-4-6,exp3_aura,aura,2024,aura,1,10,30
claude-sonnet-4-6,exp3_aura,aura,2024,rizz,0,20,30
claude-sonnet-4-6,exp3_aura,aura,2025,aura,1,10,30
claude-sonnet-4-6,exp3_aura,aura,2025,rizz,0,20,30
claude-sonnet-4-6,exp3_bro,bro,2013,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2014,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2015,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2016,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2017,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2018,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2019,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2020,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2021,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2022,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2023,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2024,bro,1,30,30
claude-sonnet-4-6,exp3_bro,bro,2025,bro,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2013,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2014,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2015,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2016,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2017,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2018,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2019,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2020,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2021,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2022,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2023,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2024,gaslight,1,30,30
claude-sonnet-4-6,exp3_gaslight,gaslight,2025,gaslight,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2013,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2014,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2015,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2016,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2017,glow-up,1,30,30
claude-sonnet-4-6,exp3_glow_up,glow-up,2018,glow-up,1,30,30
