uri,target_context,is_slang,synthetic
synthetic,you good fam i can spot you twenty bucks if you need it,1,1
synthetic,the whole fam is flying in for grandma's eightieth birthday next weekend,0,1
synthetic,nah fam that take is wild i can't agree with you on this one,1,1
synthetic,we rented a big cabin so the fam could spend christmas together this year,0,1
synthetic,trust me fam this new ramen spot downtown is actually elite,1,1
synthetic,my fam has been farming this land for four generations now,0,1
synthetic,ayo fam drop the link to that hoodie you wore in the last vlog,1,1
synthetic,the entire fam pitched in to help pay for my brother's tuition,0,1
synthetic,lmao fam you really thought that argument was gonna land huh,1,1
synthetic,thanksgiving with the whole fam is always chaotic but i love it,0,1
synthetic,wassup fam just dropped a new track on soundcloud go check it out,1,1
synthetic,she introduced her boyfriend to the fam over sunday dinner last night,0,1
synthetic,yo fam this discord server has been dead for like three weeks straight,1,1
synthetic,the fam gathered around the fireplace to open presents on christmas morning,0,1
synthetic,appreciate you fam thanks for always having my back when things get rough,1,1
synthetic,she's been estranged from her fam ever since the inheritance dispute years ago,0,1
synthetic,fam i am telling you this dude is lying about everything in that interview,1,1
synthetic,we took a fam photo in front of the old farmhouse like we do every summer,0,1
synthetic,fam if you don't subscribe to my channel by the end of this video we're done,1,1
synthetic,my fam moved from texas to california when i was just a kid,0,1
synthetic,no cap fam this game is the worst purchase i've made all year,1,1
synthetic,the whole fam is vegetarian so we had to redo the entire menu for the wedding,0,1
synthetic,i got you fam send me your venmo and i'll cover the uber,1,1
synthetic,her fam owns a small bakery on the corner of fifth and main,0,1
synthetic,real talk fam this album slaps from start to finish no skips,1,1
synthetic,we lost the house but at least the fam made it out safely from the fire,0,1
synthetic,fam stop gaslighting me i literally saw the receipts on twitter yesterday,1,1
synthetic,the fam decided to scatter dad's ashes off the coast he loved so much,0,1
synthetic,be honest fam does this fit go hard or am i tripping right now,1,1
synthetic,my fam came over from poland in the early nineteen hundreds,0,1
synthetic,deadass fam i've been grinding this raid for six hours and still no drop,1,1
synthetic,she sends money home to the fam in manila every single month without fail,0,1
synthetic,good morning fam hope y'all are having a blessed and productive monday,1,1
synthetic,the fam reunion is scheduled for the second saturday of july this summer,0,1
synthetic,fam i swear if she texts him one more time i'm gonna lose it,1,1
synthetic,the fam said grace before digging into the giant turkey on the table,0,1
synthetic,shoutout to my fam in the chat thanks for sticking around through the lag,1,1
synthetic,growing up in a big italian fam meant sunday dinners were basically sacred,0,1
synthetic,honestly fam i think we should just cancel the whole trip at this point,1,1
synthetic,my fam still gets together every easter for a giant brunch at my aunt's place,0,1
synthetic,let's gooo fam we just hit ten thousand followers on instagram tonight,1,1
synthetic,the fam was devastated when grandpa passed away peacefully in his sleep last week,0,1
synthetic,fam this restaurant charged me twelve dollars for a tiny side of fries,1,1
synthetic,she's the youngest in her fam and gets babied by all her older brothers,0,1
synthetic,lowkey fam i think we got scammed by that travel agent in cancun,1,1
synthetic,our fam tradition is to bake christmas cookies the night before the holiday,0,1
synthetic,fam don't lie you also screamed when that jumpscare hit in the trailer,1,1
synthetic,the entire fam showed up to support him at his graduation ceremony yesterday,0,1
synthetic,yo fam who else is pulling an all nighter for finals tomorrow morning,1,1
synthetic,after the divorce my fam never really felt the same on holidays,0,1
synthetic,bet fam i'll see you at the cookout this saturday around three,1,1
synthetic,the fam patriarch always insisted on saying a long blessing before every meal,0,1
synthetic,fam i'm telling y'all this skincare routine actually changed my life in two weeks,1,1
synthetic,the fam in the photo are all wearing matching sweaters in front of the tree,0,1
synthetic,fam why is rent in this city so absolutely ridiculous right now,1,1
synthetic,my fam roots go back to a small fishing village in southern italy,0,1
synthetic,iykyk fam this throwback hits different at three in the morning,1,1
synthetic,she introduced her fiance to the fam during a small dinner last weekend,0,1
synthetic,fam stop hitting snooze and get to the gym you said you wanted to bulk up,1,1
synthetic,the entire fam volunteered at the local soup kitchen on thanksgiving morning,0,1
synthetic,alright fam that's a wrap for today's stream catch y'all tomorrow at eight,1,1
synthetic,her fam disapproved of the marriage at first but eventually came around,0,1
synthetic,facts fam this generation does not understand the struggle of dial up internet,1,1
synthetic,the fam gathered at the hospital waiting for news about the surgery,0,1
synthetic,okay fam hear me out the pineapple on pizza debate is actually overrated now,1,1
synthetic,every summer the whole fam piles into the minivan and drives down to florida,0,1
synthetic,fam i can't believe they actually canceled the show after only one season,1,1
synthetic,the fam business has been passed down for three generations of bakers,0,1
synthetic,what's poppin fam just got back from tour and the energy was insane,1,1
synthetic,she invited the whole fam over to celebrate her promotion at the firm,0,1
