target,is_slang,target_context,uri
woke,0,"her natural beauty. Popular loose curls with the effect of not comb the hair: the bride looks like she just woke up. Also, do not lose their positions trendy styling of the previous season - beams are often weave braid that",http://articlewedding.com/wedding-preparations/ideas-for-wedding/wedding-trends-2016-2.html
woke,0,"down with us. The three of us began to discuss how we could serve God as a team. Then I woke up. Not sure what that means. If God is in it, I guess we will see! Love you brother!",http://weseds.blogspot.com/2011/12/friend-going-through-deep-valley.html
woke,0,"fun supporting roles from Michael Sheen and Laurence Fishburne as well. The film poses the moral dilemma: What if you woke up totally alone on a spaceship because of a glitch, and it still had 90 more years to go before",http://jbmanas.com/2016/12/25/a-very-merry-sci-fi-holiday-doctor-who-passengers-and-more/
woke,0,"shot from P.K. Subban in the second period, the Bruins found themselves in a 2-0 hole. That’s when the Bruins woke up, and woke up to the tune of four unanswered second period goals. Dougie Hamilton, Brad Marchand, Patrice Bergeron, who",http://www.bruinsdaily.com/2013/03/28/bruins-see-deja-vu-in-loss-to-canadiens/
woke,0,"unconscious) techniques, and in extreme cases, to use the staff to knock out the opponent. They hoped that when he woke up, the opponent would realize that his fighting was unnecesary, and understand that killing others is bad. At worst, when",https://www.usashaolintemple.com/chanbuddhism-shaolinstaff/
woke,0,"have to take that seriously. This is something that only takes a second. So when that happened, I went and woke Reed up out of bed, which I've done a few times, and we sat down and talked. And we basically",http://www.christianpost.com/news/interview-duck-dynastys-jase-robertson-talks-about-evangelizing-to-a-prank-caller-and-being-mistaken-for-the-geico-caveman-in-good-call-119577/
woke,0,"see the water marks? This is how I have been feeling lately, only replace water with anxiety. Continue reading I woke up with an ear infection! YAY – said no one ever. This post is a little different from what I",https://theconfessionsofaworkingmum.com/category/health-2/
woke,0,"the race. I got them on antibiotics and they were feeling MUCH better by wednesday thank goodness. But then, I woke up in the middle of the night with my throat killing me. I was really beginning to think it wasn't",http://jendenichols.blogspot.com/2012/10/grindstone-100-my-first-mtn-100-my.html?showComment=1349820824683
woke,0,"did. I napped until about 10 when Sam woke up. Ingrid told me my contractions would probably stall when Sam woke up and she was right. We made breakfast and decided to go for a walk. We walked a couple blocks,",https://www.nicolestreeterphotography.com/single-post/2017/12/31/charlottes-birth-story-a-healing-homebirth
woke,0,only had enough cash to pay 46% of our guarantee…ouch! We drove all night to Idaho after the show. I woke up when we stopped for breakfast at a truck stop near Boise. I took the wheel after we were done.,http://theposies.net/press/ken-stringfellows-studio-log-199596/
