uri,target_context,is_slang,synthetic
synthetic,that clutch play at the end was absolutely poggers i can't believe he hit that shot,1,1
synthetic,chat was spamming poggers in twitch the moment she landed the no-scope,1,1
synthetic,ngl finding a shiny on my first encounter is poggers,1,1
synthetic,the new update dropped early today which is honestly poggers for everyone waiting,1,1
synthetic,bro got a free pizza coupon at checkout that's poggers,1,1
synthetic,poggers moment when the teacher cancelled the surprise quiz,1,1
synthetic,watching him solo the raid boss was the most poggers thing i've seen all week,1,1
synthetic,she finally got accepted into her dream school and i'm like poggers congrats,1,1
synthetic,the dlc looks poggers i'm preordering it tonight,1,1
synthetic,everyone in the lobby typed poggers after that insane comeback,1,1
synthetic,honestly the soundtrack for this anime is poggers from start to finish,1,1
synthetic,got the limited edition skin in two pulls poggers,1,1
synthetic,found twenty bucks in my old jacket today which is pretty poggers,1,1
synthetic,the speedrun world record just got beaten again poggers for the community,1,1
synthetic,i was struggling all match then dropped a 30 bomb in the final round poggers,1,1
synthetic,my mom said i could skip chores today and that's a poggers situation,1,1
synthetic,this stream is poggers the vibes are immaculate,1,1
synthetic,we hit the championship finals for the first time ever poggers,1,1
synthetic,the new merch drop is poggers i need that hoodie asap,1,1
synthetic,got promoted to platinum after grinding all weekend feeling poggers,1,1
synthetic,saw the eclipse live today and chat would have been spamming poggers,1,1
synthetic,kinda poggers that they added crossplay support finally,1,1
synthetic,the dev team listened to feedback and patched the bug poggers,1,1
synthetic,passing my driving test on the first try was so poggers,1,1
synthetic,yo your setup is actually poggers what monitor is that,1,1
synthetic,the giveaway winner got announced and it was me poggers,1,1
synthetic,free shipping on everything this weekend that's a poggers deal,1,1
synthetic,we just hit 10k subs on the channel poggers thank you all,1,1
synthetic,his reaction when he opened the rare card was peak poggers content,1,1
synthetic,the boss dropped the legendary on the first attempt poggers run,1,1
synthetic,finally beat the level after 200 tries poggers feeling,1,1
synthetic,they announced a sequel and i'm fully poggers right now,1,1
synthetic,the food truck gave me an extra taco for free poggers energy,1,1
synthetic,concert tickets actually went down in price this year which is poggers,1,1
synthetic,imagine pulling that off in ranked absolutely poggers play,1,1
synthetic,my package arrived two days early poggers move from the courier,1,1
synthetic,the patch notes are poggers they nerfed the cheese strat finally,1,1
synthetic,she said yes when i asked her out today poggers day fr,1,1
synthetic,got the day off because the power went out at work poggers,1,1
synthetic,the lan event is back this year which is honestly poggers,1,1
synthetic,his aim today is poggers he hasn't missed a single shot,1,1
synthetic,they brought back the old map rotation poggers news for veterans,1,1
synthetic,i didn't expect to clutch that 1v4 but it was poggers,1,1
synthetic,the new feature lets you save replays which is so poggers,1,1
synthetic,my favorite streamer just hit affiliate status poggers congrats to him,1,1
synthetic,got an a on the essay i wrote in one night poggers behavior,1,1
synthetic,they fixed the matchmaking finally and it's been poggers since,1,1
synthetic,scoring the winning goal in overtime was the most poggers moment of my life,1,1
synthetic,the chat went wild with poggers spam when he revealed the collab,1,1
synthetic,saw the trailer and yeah this game is gonna be poggers,1,1
synthetic,drew my main from the gacha banner with one ticket left poggers,1,1
synthetic,my crush followed me back on insta poggers w today,1,1
synthetic,the weather is finally nice enough to play outside poggers vibes,1,1
synthetic,they gave us pizza in the meeting today which is pretty poggers,1,1
synthetic,absolute poggers run from the speedrunner with that frame perfect trick,1,1
synthetic,she carried the entire team to victory poggers performance honestly,1,1
synthetic,free coffee at the cafe because i was the hundredth customer poggers,1,1
synthetic,the band announced a tour stop in my city poggers,1,1
synthetic,we found a secret room in the dungeon poggers exploration,1,1
synthetic,him pulling out the obscure tech in tournament was so poggers,1,1
synthetic,they extended the deadline by a week which is poggers for me,1,1
synthetic,no homework over the holidays poggers professor,1,1
synthetic,getting an interview at the company i applied to is genuinely poggers,1,1
synthetic,the soundtrack release date got announced poggers i've been waiting forever,1,1
synthetic,managed to fix my pc without taking it to a shop poggers,1,1
synthetic,they added a hard mode and the boss design is poggers,1,1
synthetic,my dog finally learned to roll over poggers moment for him,1,1
synthetic,honestly bro that backflip into the pool was poggers respect,1,1
synthetic,the steam summer sale is poggers i'm broke now,1,1
