uri,target_context,is_slang,synthetic
synthetic,i'm about to yeet this controller across the room if i lose one more match,1,1
synthetic,she just yeeted her phone into the pool by accident,1,1
synthetic,bro why did you yeet the remote when i asked for it nicely,1,1
synthetic,i had to yeet myself out of that meeting before he started another rant,1,1
synthetic,watch me yeet this empty can straight into the recycling bin,1,1
synthetic,he yeeted the football so hard it cleared the entire fence,1,1
synthetic,if my boss emails me one more time i'm gonna yeet my laptop into the ocean,1,1
synthetic,my cat just yeeted a sock off the dresser like it personally offended her,1,1
synthetic,just yeet the receipts in the drawer we'll deal with taxes later,1,1
synthetic,the goalie yeeted the ball halfway down the field with one kick,1,1
synthetic,yeet that expired milk before it stinks up the whole fridge,1,1
synthetic,i accidentally yeeted my airpod into a storm drain on my way to class,1,1
synthetic,she yeeted herself onto the couch the second she got home from work,1,1
synthetic,the toddler yeeted his peas across the kitchen and giggled like a maniac,1,1
synthetic,tell him to yeet that ugly couch on the curb so we can get a new one,1,1
synthetic,i could yeet a paper airplane farther than that quarterback can throw,1,1
synthetic,my mom yeeted my old comic books while i was at college and i'm still mad,1,1
synthetic,yeet me out of this group chat i can't take another notification,1,1
synthetic,he yeeted his hat into the crowd after the encore and everyone went feral,1,1
synthetic,stop trying to yeet your homework into the trash and actually finish it,1,1
synthetic,i'm gonna yeet this whole resume into the void and apply somewhere else,1,1
synthetic,the dog yeeted the squeaky toy across the yard and chased after it screaming,1,1
synthetic,she yeeted the bouquet so hard it almost knocked over the wedding photographer,1,1
synthetic,i wanted to yeet my alarm clock through the window this morning,1,1
synthetic,bro just yeet the pizza box in the trash already it's been there for days,1,1
synthetic,he yeeted a snowball at his brother and then bolted before getting hit back,1,1
synthetic,the meme of that cow being yeeted off a cliff in minecraft still lives in my head,1,1
synthetic,i'm about to yeet myself off this balcony if my wifi disconnects one more time,1,1
synthetic,she yeeted her ex's hoodie out the apartment window during their breakup,1,1
synthetic,you really gonna yeet that whole bag of chips down in one sitting huh,1,1
synthetic,the kid yeeted his juice box at his sister and got grounded immediately,1,1
synthetic,yeet me into the sun i just embarrassed myself in front of my crush,1,1
synthetic,i yeeted my keys into the couch cushions and now i can't find them anywhere,1,1
synthetic,the pitcher yeeted that fastball so hard the batter didn't even swing,1,1
synthetic,if you don't like the salad just yeet it i won't be offended,1,1
synthetic,we yeeted the old mattress off the truck and called it a day,1,1
synthetic,she yeeted her shoes across the room the second she walked through the door,1,1
synthetic,my brother yeeted the controller after losing in smash and the screen cracked,1,1
synthetic,just yeet the leftovers to the dog he eats anything,1,1
synthetic,i'll yeet you across the parking lot if you keep talking about that movie,1,1
synthetic,he yeeted himself into the pool fully clothed because someone dared him,1,1
synthetic,the seagull yeeted my fries out of my hand and i screamed in the middle of the boardwalk,1,1
synthetic,go ahead and yeet that draft in the trash we're starting over from scratch,1,1
synthetic,i swear if my coworker pings me again i'm gonna yeet this headset across the office,1,1
synthetic,she yeeted the frisbee with so much force it landed two yards over,1,1
synthetic,yeet the bad vibes outta this room we are manifesting a good week,1,1
synthetic,he yeeted his backpack onto the bed and immediately collapsed next to it,1,1
synthetic,i tried to yeet the basketball into the hoop and missed by like ten feet,1,1
synthetic,she literally yeeted her engagement ring at him after seeing the texts,1,1
synthetic,yeet that drama out of my timeline i'm trying to enjoy my morning coffee,1,1
synthetic,the bouncer yeeted that dude out of the club faster than i could blink,1,1
synthetic,i wanted to yeet myself when he showed up to dinner with his new girlfriend,1,1
synthetic,my little cousin yeeted a pillow at me and started a full on living room war,1,1
synthetic,yeet that nasty energy drink i'm not letting you finish it before bed,1,1
synthetic,he just casually yeeted a baby carrot at the chalkboard during the lecture,1,1
synthetic,i'm gonna yeet this overdue library book in the return slot and run,1,1
synthetic,she yeeted her dog's tennis ball into the lake and now they're both swimming,1,1
synthetic,yeet me back to bed i wasn't ready for a monday this aggressive,1,1
synthetic,the wedding dj told everyone to yeet their hands in the air during the chorus,1,1
synthetic,he yeeted a paper ball at the trash can and missed by two feet,1,1
synthetic,just yeet the whole project i'm not editing it for the fourth time,1,1
synthetic,i tried to yeet the laundry basket up the stairs and tripped halfway,1,1
synthetic,she yeeted the eviction notice into the shredder and made coffee like nothing happened,1,1
synthetic,yeet the salt over your shoulder for good luck or whatever superstition that was,1,1
synthetic,we yeeted glow sticks into the crowd at the show and the lighting was insane,1,1
synthetic,stop trying to yeet pennies into the fountain you'll get banned from the mall,1,1
synthetic,he yeeted his graduation cap so high it got stuck in a tree,1,1
synthetic,i need to yeet my whole closet and start over with stuff that actually fits,1,1
synthetic,she yeeted a tortilla onto the ceiling for that tiktok trend and it stuck,1,1
synthetic,i'd rather yeet myself into traffic than sit through another team building exercise,1,1
synthetic,yeet whatever's in that mystery tupperware i don't even wanna open it,1,1
