,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick
939320,http://www.ninfosman.com/insolites/les-100-meilleures-videos-de-youtube/,of effectively identify high-value investment items d b df being sick after taking azithromycin ao t drug information sheet what side,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
252574,https://fototails.wordpress.com/2012/01/02/a-letter-on-my-doorstep-portraits-are-more-than-paper/?like_comment=716&_wpnonce=556475ad48&replytocom=944,much the last year of his life he was very sick now i have no recent pictures of him take your,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1162010,http://www.letsgopens.com/scripts/phpBB3/viewtopic.php?p=2428825&sid=5d2ae1e89de47cca484289239c41af75,on wed may am big easy pens fan wrote btw sick goal by dupius he had about a square space to,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
586966,http://www.e90post.com/forums/showthread.php?t=181376&page=2,join date sep location bay area itrader wheels are freaking sick the pictures never do them justice www dvstyle net www,,,0,0,0,0,0,0,1,0,0,0,1,0,0,1
470790,http://fatburning.herbalyzer.com/profile-comments-general-info-description-rate-profile-buy.html,when i weighted myself and found that out i felt sick thanks to your lipo- a good multivitamin and a diet,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1130571,https://deanandsam.livejournal.com/225696.html?view=comments,- previous share flag next location home on laptop mood sick music paramore when it rains twilight links monkeys concert jackson,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
55847,http://ru.all-parasites.com/en/virusy/orz-u-vzroslyh-simptomy-profilaktika-i-lechenie-1964.html,as i mentioned above transmitted mainly by droplets from a sick person after introduction into the body it occurs propagation of,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
334354,https://www.stmichaelsgrfld.org/,first holy communion confirmation holy orders marriage anointing of the sick religious education adult religious education rite of christian initiation of,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
171892,http://digital.ncdcr.gov/cdm/compoundobject/collection/p15016coll1/id/11728/rec/19,h in his course and send the fecbleb he i sick better land ihere cveryh h i is the year invites,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
289137,http://animenorth.com/live/index.php?option=com_content&view=article&id=134%3Aapr-4-2011&catid=53%3Ajapanese-guests&Itemid=155,organization if you would like to know more about the sick kids foundation please visit http www sickkidsfoundation com home for,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
983847,https://www.stmaryscrescent.com/thirtieth-sunday-in-ordinary-time-4/,staff parish history join our parish sacraments anointing of the sick baptism confirmation first eucharist holy orders marriage reconciliation faith formation,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
668418,http://www.evike.com/product_info.php?products_id=24174&reviews_id=106271,don't listen to the kids on facebook this mask is hella sick however it's a little small even though this is,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1
822275,http://www.medfrontiers.com/opinion.html,jointly by ariad and merck called deforolimus anna was too sick and too young to be admitted into the clinical trial,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
93846,https://madnewsuk.com/page/681/,read sick’s blog here good luck with your future endeavours sick uk event ladies pamper events february indigostrawberry ladies pamper events,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
898362,https://stfparish.com/event/815-am-mass-2/2026-05-21/,liturgy sacraments baptism reconciliation eucharist confirmation marriage anointing of the sick holy orders liturgy mass times sunday mass recordings daily mass,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1
292870,http://www.wakeworld.com/MB/Discus/messages/65919/323645.html,com img by rjizz deltawakerider on tuesday may - pm sick good to see a deep water start if u shore,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
210085,http://www.naturallycurly.com/curltalk/non-hair-discussion/1710-say-i-dare-you-2035.html,by legends maybe you're right but it still makes me sick seeing example after example of people doing nothing when someone,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
486124,http://www.pureamericasgottalent.com/tag/kadan-bart-rockett/,up from most to least brian justin crum i’m really sick of this guy’s poor me i just need someone to,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1037832,http://www.jammerall.com/products/High-Power-Portable-GPS-%28GPS-L1%7B47%7DL2%7B47%7DL3%7B47%7DL4%7B47%7DL5%29-Jammer.html,your privacy and security is guaranteed product description are you sick of being tracked like a criminal this certain device is,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1422789,http://www.biology-online.org/biology-forum/about11606.html?p=151563&hilit=AMP,friends and my wife is black but i confess i’m sick of these pseudo scientists with this fraternal line of thought,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
340392,https://tingministries.com/2017/10/31/not-only-in-word-but-also-in-deeds-masha-and-marichka/,cold today and now and for this reason they got sick marichka needs medicines to ensure that her baby girl will,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
610832,http://bigcitydriver.com/2012/07/truck-driver-salary-average-truck-driver-pay-per-mile/comment-page-1/?replytocom=10413,the site says they offer all kinds of benefits paid sick days etc thank you ken skaggs may reply i never,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
446912,https://bonequesthifi.com/749,- hardclumping grilldos you won't believe how little effort this sick idiot gives explicit bonequest - - hardclumping grilldos this sick,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1
238963,http://patriotupdate.com/obama-disagrees-with-supreme-court-decision/,tuesday december obama tells americans how to pray this is sick tuesday december war on xmas christmas in washington’ is cancelled,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
814171,http://museumvictoria.com.au/discoverycentre/infosheets/johan-van-oldenbarnevelt/?reply=23475&sort=newest&googleminiexclude=1,the dormitory style of sleeping quarters when one child got sick it very quickly spread to those close by and i,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
926346,http://donnashepherd.blogspot.com/2009/08/coloring-pages-sent-in.html,onwords opening eyes opening hearts heavenly humor write on con sick and tired no more ruthie live strength for teachers blog,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
662657,http://www.drug3k.com/forum_health/Infectious-Diseases/Does-the-FLU-shot-hurt-If-so-how-bad-for-how-long-56925.htm,home ill today after being sick her mother has been sick and it appears she has got the same thing through,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
570683,https://collective-spark.xyz/tag/global-food-security/,early earth unvaxxed parents in western australia banned from visiting sick children in hospital cdc director says vaccines can’t prevent transmission’,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1231188,https://quotesgram.com/funny-quotes-about-reality/,on a boat that's bobbing up and down you feel sick the whale isn't there on demand karl pilkington share funny,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
968689,https://federaldisabilityretirement.wordpress.com/tag/mental-conditions-postal-service-incapacity-opm-pension/,federal lawyer early out from post office medical incapacity excessive sick leave postal employee lawyer experienced fers medical retirement attorney advice,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15983,http://chocolatechillimango.com/2012/09/23/double-strawberry-macarons-au-naturale/,week at professional whey affiliate spotlight athletic iq are you sick of following a restrictive diet athletic iq can help you,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
576031,http://imglance.com/2015/05/10/3-tools-and-smart-tactics-to-understand-your-audience,beyond traffica crash course in google analytics for anyone who’s sick of staring at their dashboard feeling like an idiothow to,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1123021,https://www.edgarcountywatchdogs.com/2017/08/atlanta-public-library-inked-200000-union-hall-installment-purchase-contract-in-dec-2014/,of the biggest hearted people i know what makes me sick is the fact that this town should be standing behind, False,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1150568,https://jahuss.com/ja-huss-books/savage-saints/,books standalones game of gods series sacred trinity sick world savage falls rook ronin bossy brothers creeping beautiful the turning series,,,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1201110,http://littledogrescue.com/dogs/sick-bay/index_files/archive-mar-2005.html,application donate contact mar little dog rescue orange county ca sick bay jul feb loren filed in loren this is loren,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1161496,https://bandwagoning.wordpress.com/tag/whoa/,baby back bender black cray dubstep epic futurama im in sick whoa apr post navigation create a free website or blog,,,0,0,0,0,1,0,1,0,0,0,0,0,0,1
191263,https://www.yahoo.com/news/vandal-york-cemeterys-flags-groundhog-155534027.html?soc_src=mediacontentsharebuttons&ref=gs,her skeptics get over it we didcosmo politics is so sick you have people that will support someone that has never,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1268355,https://www.petoppia.com/home-remedies-for-sick-cats/,regarding its care especially when you think they may be sick you should always consult your vet if you are not,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
509292,https://emofree.com/npno/pain/burns/burn-no-blisters-article.html,surrogate eft calms kicking and screaming students surrogate eft helps sick toddler eft assists year old in giving up thumb sucking,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1
908025,http://nj.gov/education/finance/fp/ufb/2011/reports/29-2480.html,contracted number of annual vacation days contracted number of annual sick days contracted number of annual personal days contracted number of,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1405578,https://music.apple.com/us/album/you-owe-me/1445725433,a playlist they turned that playlist into an official album sick boy which shows off their songwriting skills production prowess and,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27413,http://digital.ncdcr.gov/cdm/compoundobject/collection/p249901coll22/id/18925/show/189520/rec/11,parents shall be notified immediately if their child becomes too sick to remain in care visual supervision for all children who,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
456956,https://961theeagle.com/that-man-who-found-shrimp-tails-and-other-gross-items-in-his-cereal-is-married-to-topanga-from-boy-meets-world/,eaten since i feel sick i keep saying i feel sick but not physically i feel sick mentally my plan is,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
279988,http://classonline.org.uk/blog/item/what-would-a-further-25bn-of-spending-cuts-mean-for-child-poverty,the office for budget responsibility agreed with the ifs that sick and disabled people are likely to bear the brunt what,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1
167239,http://doctorandy.blogspot.com/2005_05_01_archive.html,if you try it and get low blood sugar or sick or whatever posted by dr andy am comments monday may,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45101,https://www.vbandvv.com/news,first two weeks are unpaid though they might qualify for sick pay for the remaining weeks the employer must pay at,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1083550,https://www.harthosp.org/vascularlab/LearnAboutConditionsandProcedures/default.aspx?chunkiid=602989,usual activities about minutes during the test you may feel sick or lightheaded you may also feel that your heart is,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1278626,https://www.kjrh.com/news/national/cdc-upgrades-travel-notices-for-south-korea-italy-iran-amid-covid-19-outbreaks,travel in advance with your healthcare provider avoid contact with sick people don’t touch your face with unwashed hands and to,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1126999,https://thefamilypracticeantrim.co.uk/practice-policies.aspx?t=4,appointments telephone advice home visits did not attend - dna sick and unable to work treatment room appointments practice nurse prescriptions,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1
