uri,target_context,is_slang,synthetic
synthetic,his unboxing video hit a million views in less than two days,1,1
synthetic,please be careful when unboxing the glassware so nothing breaks during transit,0,1
synthetic,every tech bro on youtube is doing the same overhyped unboxing schtick now,1,1
synthetic,the warehouse staff spent the morning unboxing pallets of seasonal inventory,0,1
synthetic,i live for that asmr unboxing energy where they whisper over the bubble wrap,1,1
synthetic,after unboxing the new printer i realized the toner cartridge was missing,0,1
synthetic,her unboxing of the limited edition sneakers basically broke twitter last night,1,1
synthetic,the museum interns were carefully unboxing artifacts donated from a private estate,0,1
synthetic,drop the unboxing already bro we've been waiting since the announcement,1,1
synthetic,i started unboxing the kitchen supplies before realizing the movers brought the wrong crate,0,1
synthetic,the unboxing community is just consumerism cosplaying as content these days,1,1
synthetic,while unboxing the antique clock he noticed a small crack near the base,0,1
synthetic,mkbhd's unboxing aesthetic basically invented the genre and nobody can match it,1,1
synthetic,the technician finished unboxing the server racks before beginning the installation,0,1
synthetic,kids these days would rather watch an unboxing than open their own gifts,1,1
synthetic,we spent saturday unboxing wedding gifts and writing thank you cards,0,1
synthetic,ngl the unboxing was more entertaining than the actual product review,1,1
synthetic,be sure to document any damage while unboxing the shipment for insurance purposes,0,1
synthetic,her whole brand is luxury unboxing content for the girlies on tiktok,1,1
synthetic,the lab assistant was unboxing new microscope slides ahead of monday's experiment,0,1
synthetic,that unboxing slapped harder than any review i've watched all year,1,1
synthetic,after unboxing the chandelier we discovered two crystals had come loose,0,1
synthetic,the algorithm keeps shoving funko pop unboxing videos into my feed and i hate it,1,1
synthetic,the chef began unboxing the imported truffles for tonight's tasting menu,0,1
synthetic,doing an unboxing for fifteen minutes of plastic wrap should be illegal honestly,1,1
synthetic,the volunteers were unboxing donations of canned food at the community pantry,0,1
synthetic,her unboxing has like fifty cuts and a sponsored segment in the first minute,1,1
synthetic,i was unboxing my grandmother's china when i noticed her old letters underneath,0,1
synthetic,kids on youtube made millions just unboxing toys and now influencer culture is unrecognizable,1,1
synthetic,the apple store employee helped us with unboxing the new ipad in store,0,1
synthetic,this unboxing has main character energy and i'm here for it,1,1
synthetic,while unboxing the deliveries he checked each item against the packing list,0,1
synthetic,no shade but the unboxing felt longer than the actual gameplay footage,1,1
synthetic,the gallery staff were unboxing paintings flown in from a private collection in milan,0,1
synthetic,lowkey obsessed with that unboxing she did with the silk gloves on,1,1
synthetic,after unboxing the new oven we realized it wouldn't fit in the kitchen alcove,0,1
synthetic,an unboxing without a satisfying reveal at the end is basically content fraud,1,1
synthetic,she spent the afternoon unboxing christmas ornaments from the attic,0,1
synthetic,his unboxing got demonetized because the box itself was apparently controversial somehow,1,1
synthetic,be patient when unboxing the marble countertop since the surface scratches easily,0,1
synthetic,the unboxing trend peaked years ago and the algorithm refuses to admit it,1,1
synthetic,the pharmacist was unboxing a new shipment of vaccines that arrived this morning,0,1
synthetic,watching a 22 minute unboxing of headphones at 2am is a personal red flag,1,1
synthetic,after unboxing the engine parts the mechanic noticed one gasket was missing,0,1
synthetic,unboxing season is real and my wallet is bleeding because of it,1,1
synthetic,while unboxing the porcelain dolls she catalogued each piece for the auction,0,1
synthetic,that unboxing aged like milk after the product got recalled two weeks later,1,1
synthetic,i'll be unboxing the equipment as soon as the freight truck arrives,0,1
synthetic,the unboxing meta has shifted from tech to skincare hauls and i'm not mad,1,1
synthetic,the new tenants spent the weekend unboxing furniture and assembling shelves,0,1
synthetic,her unboxing is the only one i watch unmuted because her voice is calming,1,1
synthetic,the curator paused while unboxing the relic to take photographs for the record,0,1
synthetic,that subscription box unboxing series literally launched her entire career,1,1
synthetic,the technicians were unboxing the seismic sensors before deploying them along the fault line,0,1
synthetic,imagine spending three hours editing an unboxing of a fifteen dollar gadget,1,1
synthetic,while unboxing the medical equipment we double checked the sterilization seals,0,1
synthetic,the unboxing community needs to chill with the staged reactions every single time,1,1
synthetic,the bakery owner was unboxing a vintage mixer she found at an estate sale,0,1
synthetic,bro really made an unboxing for a phone case and called it premium content,1,1
synthetic,after unboxing the new monitor the it guy ran a quick diagnostic test,0,1
synthetic,the unboxing genre walked so the haul tiktok could run,1,1
synthetic,we documented the unboxing of the time capsule on local news for the town anniversary,0,1
synthetic,her unboxing era is over and now she only does soft reviews,1,1
synthetic,the staff finished unboxing the convention swag the night before doors opened,0,1
synthetic,every unboxing on this channel feels like a fever dream lately,1,1
synthetic,the librarian was carefully unboxing rare manuscripts donated from the archive,0,1
synthetic,an unboxing without ring lights and a marble desk is not a real unboxing apparently,1,1
synthetic,the museum guards watched as conservators began unboxing the egyptian sculpture,0,1
synthetic,the unboxing format is dying and influencers are scrambling for the next hook,1,1
synthetic,she was unboxing her late father's vinyl collection one record at a time,0,1
