uri,target_context,is_slang,synthetic
synthetic,bro that kickflip down the stairs was actually sick,1,1
synthetic,i've been sick with the flu for almost a week now,0,1
synthetic,she pulled up in a sick new whip last night,1,1
synthetic,my little brother got sick after eating too much candy at the party,0,1
synthetic,that guitar solo at the end is so sick i had to replay it,1,1
synthetic,the doctor said i was too sick to travel this weekend,0,1
synthetic,yo your setup is sick what monitor are you using,1,1
synthetic,i had to call out of work because i felt really sick this morning,0,1
synthetic,the graphics in this game are sick on the new console,1,1
synthetic,many children fell sick during the outbreak last winter,0,1
synthetic,that fit is sick where'd you cop the jacket,1,1
synthetic,she stayed home from school because she was sick with a fever,0,1
synthetic,the trailer dropped and it looks absolutely sick can't wait,1,1
synthetic,the patient remained sick for several weeks before recovering fully,0,1
synthetic,that no-look pass was sick i can't believe he made it,1,1
synthetic,i think the leftover sushi made me sick last night,0,1
synthetic,your edit is sick the transitions are super clean,1,1
synthetic,he's been sick on and off all year and the doctors can't figure it out,0,1
synthetic,that drift around the corner was actually sick,1,1
synthetic,she felt sick to her stomach after the long boat ride,0,1
synthetic,bruh the new album is sick from start to finish,1,1
synthetic,many soldiers returned home sick from the conditions in the trenches,0,1
synthetic,those shoes are sick i need a pair like that,1,1
synthetic,the cat has been sick for a few days so we took her to the vet,0,1
synthetic,the way he reversed the uno card was sick,1,1
synthetic,i used three sick days last month because of the cold going around,0,1
synthetic,the bass drop is sick turn it up,1,1
synthetic,she was too sick to attend her own birthday dinner,0,1
synthetic,that's a sick paint job on the bike props to the artist,1,1
synthetic,the elderly often get sick more easily during the colder months,0,1
synthetic,ngl your room is sick the led lights tie it all together,1,1
synthetic,my coworker came in sick and now half the office is coughing,0,1
synthetic,that combo at the end of the round was sick,1,1
synthetic,she's been sick in bed all weekend with a nasty stomach bug,0,1
synthetic,the lighting in this photo is sick what camera did you use,1,1
synthetic,the smell of the fish market made him feel sick,0,1
synthetic,your handwriting is sick it looks like a font,1,1
synthetic,hospitals were overwhelmed with sick patients during the pandemic,0,1
synthetic,that backflip off the dock was sick,1,1
synthetic,i'm calling in sick today because my throat is killing me,0,1
synthetic,this beat is sick can you send me the link,1,1
synthetic,she nursed her sick mother for years before she passed,0,1
synthetic,the new lebron commercial is sick honestly,1,1
synthetic,kids tend to get sick more often when they first start daycare,0,1
synthetic,that goal from midfield was sick what a striker,1,1
synthetic,i feel sick whenever i ride in the back seat of a car,0,1
synthetic,yo the new playstation controller looks sick,1,1
synthetic,he's been sick with pneumonia and is finally on the mend,0,1
synthetic,those custom plates are sick man,1,1
synthetic,the company offers ten paid sick days per year to all employees,0,1
synthetic,that boxing combo was sick the head movement was insane,1,1
synthetic,she felt sick after spinning around on the carnival ride,0,1
synthetic,the way you wrapped up that essay was sick honestly,1,1
synthetic,many livestock fell sick after drinking from the contaminated stream,0,1
synthetic,that custom keyboard is sick the keycaps go hard,1,1
synthetic,he had to leave the meeting early because he felt sick,0,1
synthetic,the new marvel suit design is sick i'm not gonna lie,1,1
synthetic,the smell of bleach always makes me feel a little sick,0,1
synthetic,bro your dunk in the highlight reel was sick,1,1
synthetic,she was sick for most of the cruise and stayed in the cabin,0,1
synthetic,this lego build is sick how long did it take you,1,1
synthetic,you can't come to work when you're that sick with a contagious virus,0,1
synthetic,that anime opening is sick the animation is so smooth,1,1
synthetic,he's been visiting his sick grandfather every weekend at the hospital,0,1
synthetic,the new tattoo is sick the linework is super clean,1,1
synthetic,i ate something bad and now i'm sick to my stomach,0,1
synthetic,that vinyl pressing is sick the artwork came out fire,1,1
synthetic,the charity provides food and shelter for the sick and homeless,0,1
