uri,target_context,is_slang,synthetic
synthetic,my little brother keeps yelling 67 at the dinner table and nobody knows what it means,1,1
synthetic,the recipe calls for baking at 350 degrees for about 67 minutes total,0,1
synthetic,every time the teacher says any number close to 67 the entire class loses it,1,1
synthetic,she turned 67 last weekend and her grandkids threw her a huge surprise party,0,1
synthetic,bro just said 67 in the middle of his presentation and i almost passed away laughing,1,1
synthetic,the package weighed exactly 67 pounds which made shipping more expensive than expected,0,1
synthetic,if i hear one more kid say 67 with that hand motion i'm quitting teaching,1,1
synthetic,interstate 67 runs through several counties before connecting to the larger highway system,0,1
synthetic,the way he just whispered 67 under his breath had the whole locker room dying,1,1
synthetic,only 67 students signed up for the elective so the class might get cancelled,0,1
synthetic,literally every middle schooler is yelling 67 and doing the weird hand thing it's so annoying,1,1
synthetic,the building is 67 stories tall and offers a panoramic view of the entire downtown area,0,1
synthetic,my students wrote 67 on every single math test today and i finally lost it,1,1
synthetic,the survey found that 67 percent of respondents preferred working from home at least part time,0,1
synthetic,67 is the new skibidi i swear gen alpha brain rot is unstoppable at this point,1,1
synthetic,he scored 67 points in the championship game which broke a long standing school record,0,1
synthetic,when the coach said the score was 67 to something the whole bench started giggling,1,1
synthetic,approximately 67 species of birds have been documented in this wildlife refuge,0,1
synthetic,i don't even know what 67 means but my nephew won't stop saying it during dinner,1,1
synthetic,the original document was written in 67 ad according to historians who studied the manuscript,0,1
synthetic,saying 67 with the right inflection is apparently the funniest thing ever to a ten year old,1,1
synthetic,the vintage car was a 67 mustang fastback in cherry condition that he restored himself,0,1
synthetic,kid walked into my store yelled 67 and ran out i'm so confused right now,1,1
synthetic,we drove 67 miles to get to the campsite before realizing we forgot the tent,0,1
synthetic,the 67 trend has officially replaced rizz as the most annoying thing in my classroom,1,1
synthetic,the temperature dropped to 67 degrees overnight which felt unusually cool for july,0,1
synthetic,i was at the grocery store and some kid just screamed 67 at the cashier,1,1
synthetic,her grandmother lived to be 67 years old before her health started to decline,0,1
synthetic,67 is genuinely the dumbest brainrot phrase but somehow i find myself saying it too,1,1
synthetic,the apartment is listed at 67 main street right next to the old bakery,0,1
synthetic,every basketball video on tiktok has someone yelling 67 in the comments for no reason,1,1
synthetic,approximately 67 employees were affected by the recent restructuring at the regional office,0,1
synthetic,my coworker just dropped a 67 in the team meeting and i nearly choked on my coffee,1,1
synthetic,the boat measured 67 feet from bow to stern and could comfortably sleep eight passengers,0,1
synthetic,calling someone 67 in 2024 hits different when you know the lore behind the song,1,1
synthetic,the manuscript contained 67 pages of detailed notes from his expedition through the rainforest,0,1
synthetic,i can't believe 67 became a whole thing on tiktok this fast it's only been weeks,1,1
synthetic,the recipe yields about 67 small cookies depending on how you space them on the tray,0,1
synthetic,him just standing there saying 67 with the hand motion is my new favorite meme,1,1
synthetic,the trail is 67 kilometers long and takes most hikers about four days to complete,0,1
synthetic,67 is plaguing my classroom and i have officially banned the number from all assignments,1,1
synthetic,she was 67 when she finally retired from teaching after nearly four decades in the profession,0,1
synthetic,everyone in the comments is just spamming 67 and the algorithm is eating it up,1,1
synthetic,the city collected 67 tons of recyclables during the annual neighborhood cleanup event,0,1
synthetic,my professor said 67 in lecture today and i swear the whole class snickered,1,1
synthetic,the antique clock from 1867 still chimes every hour just as it did 67 years ago,0,1
synthetic,i told my mom about the 67 trend and she just stared at me like i'd lost it,1,1
synthetic,we need 67 chairs for the wedding reception so please double check the rental order,0,1
synthetic,bro really hit me with a 67 mid conversation and i had to leave the call,1,1
synthetic,the report found 67 violations across the inspected facilities last fiscal year,0,1
synthetic,saying 67 unprompted is now a personality trait among kids born after 2010 apparently,1,1
synthetic,the historic building dates back to 1867 which makes it nearly 67 years older than the courthouse,0,1
synthetic,watching adults try to understand why kids think 67 is funny is the best content,1,1
synthetic,she placed 67 in the marathon out of nearly five hundred competitors which she was proud of,0,1
synthetic,the 67 meme makes absolutely zero sense and that's exactly why it's everywhere right now,1,1
synthetic,the company reported 67 million in quarterly revenue beating analyst expectations again,0,1
synthetic,i finally figured out what 67 means and honestly i wish i hadn't bothered,1,1
synthetic,the patient was 67 years old with a history of high blood pressure and mild diabetes,0,1
synthetic,kids these days will literally say 67 in any context and think they're being hilarious,1,1
synthetic,we still have 67 boxes left to unpack before the move is officially complete,0,1
synthetic,67 was funny the first time but now i hear it 400 times a day and i'm done,1,1
synthetic,exactly 67 votes separated the two candidates in the closest mayoral race in city history,0,1
synthetic,the way that kid said 67 with full conviction had me wheezing on the bus,1,1
synthetic,the textbook covers 67 distinct theories of human development across its many chapters,0,1
synthetic,67 is the gen alpha equivalent of bofa and i refuse to engage with it anymore,1,1
synthetic,the elevation gain on this trail is roughly 67 meters which is manageable for most beginners,0,1
synthetic,every time someone says any number i can hear the 67 kids in the background,1,1
