target,is_slang,target_context,uri
goals,1,you two are couple goals fr stop being so cute,synthetic://generated/goals/0
goals,0,setting realistic goals is key to maintaining motivation over the long term,synthetic://generated/goals/1
goals,1,morning routine goals i wish i had the discipline to wake up at 5,synthetic://generated/goals/2
goals,1,those nails are goals where did you get them done,synthetic://generated/goals/3
goals,1,their road trip pics are goals i need an adventure like that,synthetic://generated/goals/4
goals,0,tracking your fitness goals with an app keeps you accountable,synthetic://generated/goals/5
goals,0,writing down your goals every morning can really help with productivity,synthetic://generated/goals/6
goals,0,both teams failed to register any goals in a defensive battle,synthetic://generated/goals/7
goals,0,research shows that writing down your goals makes you more likely to achieve them,synthetic://generated/goals/8
goals,0,the keeper saved two penalty goals to keep his side in the match,synthetic://generated/goals/9
goals,1,this latte art is honestly barista goals,synthetic://generated/goals/10
goals,1,that prom dress is goals oh my god,synthetic://generated/goals/11
goals,0,therapists often help clients articulate clearer goals for personal growth,synthetic://generated/goals/12
goals,1,mom and daughter goals the matching outfits are too cute,synthetic://generated/goals/13
goals,1,this kitchen renovation is giving me serious goals vibes,synthetic://generated/goals/14
goals,0,the women's team scored eight goals across two friendly matches this week,synthetic://generated/goals/15
goals,1,her morning routine is literally goals i need to start waking up earlier,synthetic://generated/goals/16
goals,1,best friend goals i swear they've been inseparable since middle school,synthetic://generated/goals/17
goals,0,the workshop helps participants break down big goals into manageable steps,synthetic://generated/goals/18
goals,0,haaland scored both goals in the second half to secure the win,synthetic://generated/goals/19
goals,0,we need to align our team goals with the broader company strategy,synthetic://generated/goals/20
goals,1,his work ethic is goals i could never be that disciplined,synthetic://generated/goals/21
goals,0,the coach reviewed the missed goals with the players during practice,synthetic://generated/goals/22
goals,1,dog mom goals look at how well behaved her golden is,synthetic://generated/goals/23
goals,0,the company announced ambitious sustainability goals for the next decade,synthetic://generated/goals/24
goals,1,this thanksgiving spread is goals my mom would be impressed,synthetic://generated/goals/25
goals,0,we discussed our quarterly goals during the meeting this morning,synthetic://generated/goals/26
goals,1,siblings goals my brother would never bring me coffee like that,synthetic://generated/goals/27
goals,0,she scored two goals in the championship game and earned mvp honors,synthetic://generated/goals/28
goals,1,his work from home setup is goals my desk looks tragic compared,synthetic://generated/goals/29
goals,0,the educator helps students set semester goals during the first week of class,synthetic://generated/goals/30
goals,1,her hair is goals i've been growing mine out for two years,synthetic://generated/goals/31
goals,0,long term financial goals require careful planning and consistent saving habits,synthetic://generated/goals/32
goals,1,her skincare routine is goals honestly how does she glow like that,synthetic://generated/goals/33
goals,0,before each session players review individual goals with their coach,synthetic://generated/goals/34
goals,1,your bookshelf is literal goals i'm so jealous,synthetic://generated/goals/35
goals,0,she revised her goals after realizing the timeline was unrealistic,synthetic://generated/goals/36
goals,1,vacation goals i wish i was on that beach right now,synthetic://generated/goals/37
goals,0,the nonprofit set fundraising goals of two million dollars for the campaign,synthetic://generated/goals/38
goals,0,the policy aims to meet emissions reduction goals set by the paris accord,synthetic://generated/goals/39
goals,1,her closet is goals omg i need that wardrobe immediately,synthetic://generated/goals/40
goals,1,her energy is goals i want to be that bubbly all the time,synthetic://generated/goals/41
goals,0,the striker has been on a hot streak netting six goals in four games,synthetic://generated/goals/42
goals,1,his dad is goals the way he supports everything she does,synthetic://generated/goals/43
goals,1,their wedding photos are absolute goals i'm crying,synthetic://generated/goals/44
goals,0,the strikers combined for sixty goals during their three years together at the club,synthetic://generated/goals/45
goals,0,barcelona conceded only twelve goals all season which is impressive,synthetic://generated/goals/46
goals,0,the team scored three goals in the first half of the match,synthetic://generated/goals/47
goals,1,body goals honestly she's been killing it at the gym,synthetic://generated/goals/48
goals,0,the team conceded no goals in five consecutive matches a club record,synthetic://generated/goals/49
goals,1,honestly grandma goals she's still hiking at 78,synthetic://generated/goals/50
goals,1,the way she handled that interview is goals i need her confidence,synthetic://generated/goals/51
