,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick
615716,https://www.logosdictionary.org/index.php?code=5629551&from=DE,ceramic arts chemical related technologies chemistry child rearing care of sick chile china china adjacent areas chordata christian church in africa,,,0,0,0,0,0,0,1
27413,http://digital.ncdcr.gov/cdm/compoundobject/collection/p249901coll22/id/18925/show/189520/rec/11,parents shall be notified immediately if their child becomes too sick to remain in care visual supervision for all children who,,,0,0,0,0,0,0,1
673208,http://www.wheatberry.org/?id=190,nutritional qualities it’s no wonder so many people are getting sick from eating so much white flour all the time a,,,0,0,0,0,0,0,1
137804,https://www.parkingshopdirect.com/index.php?route=product/product&manufacturer_id=34&product_id=465,now ask question quickview top seller push bar to open fire exit sign - rigid push bar to open fire exit,,,0,0,0,0,0,1,1
889056,http://stripedspatula.com/2014/11/17/apple-orange-cranberry-sauce/,simmers within - minutes the berries will have burst and cooked down into a thick gorgeously-colored sauce pop it into the,,,0,0,0,0,0,0,1
1216960,https://www.firetoys.co.uk/spinning/poi-spinning/fire-poi.html?poi_chain_length=287,with the professional in mind other top of the range fire poi include large monkey fist wicks plaited and straight fire,,,0,0,0,0,0,1,1
1194315,http://lrhlamission.blogspot.com/2015/12/so-blessed.html,of the day in bed i do not like being sick and especially not as a missionary i felt better on,,,0,0,0,0,0,0,1
405826,http://belowthebeltway.com/2008/05/23/a-meeting-at-corvallis-a-book-review/,volume of the change trilogy that began with dies the fire comes to a satisfying rollicking action backed end and there’s,,,0,0,0,0,0,1,1
574192,http://www.metalshop.cz/tricka/tricka-metal/p/tricko-panske-terror-stay-free-buckaneer-1108/,peppers rise against rolling stones sabaton satyricon sepultura sex pistols sick of it all six feet under slayer slipknot sonata arctica,,,0,0,0,0,0,0,1
1367957,https://fototails.wordpress.com/2012/01/02/a-letter-on-my-doorstep-portraits-are-more-than-paper/?like_comment=711&_wpnonce=abb248d9f3&replytocom=1106,night to cancer he was fine on christmas day felt sick on boxing day and was on life support by the,,,0,0,0,0,0,0,1
1101809,https://mygate.com/blog/neighbourhood/patparganj/,of thai and chinese cuisine the popular dishes include jasmine tea vegetable dimsums wonton soup chicken dimsums virgin mojito and deserts,,,0,0,0,0,0,0,1
1315876,http://talliroland.blogspot.ca/2017/01/a-new-place.html,covered books chick lit books floor to ceiling books gaskella lit chick lizzy's literary life love reading blog ms bookish other,,,0,0,0,0,0,0,1
676243,https://westtravelclub.com.au/stories/a-taste-of-singapore-our-guide-to-the-citys-street-food,a red chili sauce dip and the rice is ideally cooked in chicken stock with ginger and pandan leaves you can,,,0,0,0,0,0,0,1
10806,https://pushover.net/apps,service that sends mobile push notifications on ip address changes sick beard by aaron bieber sick beard is the ultimate pvr,,,0,0,0,0,0,0,1
739351,http://jobabcock.com/project/6709/,chicken of the sea tuna s w organic diced tomatoes fire roasted diced tomatoes girl scout cookies girl scouts barnum’s animals,,,0,0,0,0,0,1,1
57111,https://www.dailymail.co.uk/news/article-9999059/NYC-open-vaccination-sites-citywide-extended-hours-provide-booster-shoots.html,the devastating moment daughter chloe first found out she was sick through her friends at school sofia carson defends new film,,,0,0,0,0,0,0,1
