uri,target_context,is_slang,synthetic
synthetic,bro put on some phonk before we hit the gym,1,1
synthetic,drift videos on youtube always have that same phonk beat playing,1,1
synthetic,i can't focus on homework unless aggressive phonk is blasting in my headphones,1,1
synthetic,this phonk remix of the tokyo drift theme is actually fire,1,1
synthetic,she made a whole tiktok edit using slowed phonk and it went viral,1,1
synthetic,the cowbells in this phonk track are hitting different today,1,1
synthetic,i started producing phonk in fl studio last summer and now i can't stop,1,1
synthetic,memphis rap samples are basically the backbone of every phonk song you've heard,1,1
synthetic,drift phonk and house phonk are not the same thing please stop arguing,1,1
synthetic,kordhell and dvrst kinda dominate the modern phonk scene right now,1,1
synthetic,i made a phonk playlist just for late night driving and it's unreal,1,1
synthetic,the bass on this phonk drop nearly blew my car speakers,1,1
synthetic,phonk hit a peak around 2022 when every car edit on tiktok used it,1,1
synthetic,you can tell it's phonk the second those distorted 808s come in,1,1
synthetic,my little brother thinks all phonk sounds the same and he might be right honestly,1,1
synthetic,spotify keeps recommending me phonk after one drift edit and i'm not complaining,1,1
synthetic,old school phonk from the 2010s on soundcloud just hits different,1,1
synthetic,i need a phonk version of this song immediately,1,1
synthetic,the gym was playing phonk over the speakers and everyone was lifting harder,1,1
synthetic,phonk producers love sampling those raspy memphis vocals from the 90s,1,1
synthetic,if you hear cowbells and distorted vocals it's probably phonk,1,1
synthetic,i swear every gta roleplay video uses the same phonk track,1,1
synthetic,this dude makes phonk in his bedroom and somehow has 2 million monthly listeners,1,1
synthetic,she added phonk to her workout playlist and pr'd her deadlift the next day,1,1
synthetic,the way phonk blew up on tiktok was genuinely insane to witness,1,1
synthetic,phonk feels like the modern version of trap memes from 2015,1,1
synthetic,my dad walked in while i was playing phonk and asked what war was starting,1,1
synthetic,i can't believe phonk became the soundtrack of every sigma male edit,1,1
synthetic,drift phonk specifically uses that aggressive cowbell pattern over distorted bass,1,1
synthetic,house phonk borrows the four on the floor kick from house music obviously,1,1
synthetic,every phonk song needs at least one murky chopped vocal sample to feel legit,1,1
synthetic,i made a beat that's kinda phonk kinda trap and my friends loved it,1,1
synthetic,the algorithm decided i only listen to phonk now and i guess that's my life,1,1
synthetic,phonk really originated from southern memphis rap producers in the 90s,1,1
synthetic,this phonk track has like 80 million streams which is wild for an underground genre,1,1
synthetic,nothing pumps me up before a match like aggressive phonk in my earbuds,1,1
synthetic,my whole fyp is anime edits with phonk in the background,1,1
synthetic,is it just me or does all phonk start sounding the same after 10 songs,1,1
synthetic,phonk fans are way more passionate about cowbells than any other genre listener,1,1
synthetic,you cannot make me believe phonk is anything other than tiktok background music,1,1
synthetic,spotify says phonk was one of the fastest growing genres last year,1,1
synthetic,my cousin only listens to phonk now and he drives like a maniac because of it,1,1
synthetic,i was today years old when i learned phonk came from the word funk,1,1
synthetic,phonk is basically what happens when memphis rap meets a distortion pedal,1,1
synthetic,this car meet had nothing but phonk blasting from every other s14,1,1
synthetic,i fell asleep with phonk playing and my dreams were not okay,1,1
synthetic,her workout reel had aggressive phonk and like 4 million views overnight,1,1
synthetic,i don't even like phonk that much but i keep saving every track i hear,1,1
synthetic,phonk youtubers all use the same three cowbell loops and we let them,1,1
synthetic,russian and brazilian producers really run the phonk scene these days,1,1
synthetic,the underground brazilian phonk scene is doing things you wouldn't believe,1,1
synthetic,every time i hear phonk my foot just naturally presses harder on the gas,1,1
synthetic,phonk on a long road trip at 2am is honestly a religious experience,1,1
synthetic,this is the first phonk track i've heard with actual melodic vocals,1,1
synthetic,phonk producers should be paid royalties by every car edit channel on youtube,1,1
synthetic,she said phonk is too aggressive and i told her that's the entire point,1,1
synthetic,i tried to introduce my mom to phonk and she banned it from the house,1,1
synthetic,phonk and drum and bass had a baby and somehow it slaps,1,1
synthetic,you haven't really experienced phonk until you've heard it in a tuned civic at midnight,1,1
synthetic,my running playlist is 90 percent phonk and 10 percent regret,1,1
synthetic,phonk really doesn't get the respect it deserves as a legit subgenre,1,1
synthetic,soundcloud was the original birthplace of modern phonk before tiktok ruined it,1,1
synthetic,i started a phonk account on instagram and gained 10k followers in a month,1,1
synthetic,the dj dropped some phonk at the rave and the pit absolutely lost it,1,1
synthetic,phonk feels like the soundtrack to every shadow boxing session in my mirror,1,1
