uri,target_context,is_slang,synthetic
synthetic,i'm finna head to the store real quick you want anything,1,1
synthetic,bro i'm finna pass out if this meeting goes any longer,1,1
synthetic,she finna drop the album next friday and i'm not ready,1,1
synthetic,if y'all keep playing i'm finna leave the group chat fr,1,1
synthetic,we finna pull up to the cookout around six so be ready,1,1
synthetic,im finna take a nap dont text me for like three hours,1,1
synthetic,he finna get fired if he keeps showing up late like that,1,1
synthetic,i'm finna order pizza because i refuse to cook tonight,1,1
synthetic,y'all finna make me cry talking about your grandmas like that,1,1
synthetic,this traffic finna make me late to my own birthday dinner,1,1
synthetic,i'm finna start charging rent for all the time my dog spends on my bed,1,1
synthetic,bro finna propose at the concert and i can't wait to see her reaction,1,1
synthetic,im finna stop replying if he keeps acting like that honestly,1,1
synthetic,we finna run it back next weekend if everyone's free,1,1
synthetic,she finna be so mad when she sees what they did to her car,1,1
synthetic,im finna lock in and finish this essay before midnight watch,1,1
synthetic,y'all finna witness the worst karaoke performance of your lives,1,1
synthetic,i'm finna delete this app i swear it's ruining my sleep,1,1
synthetic,he finna catch these hands if he talks about my mom again,1,1
synthetic,im finna grab some coffee before this 8am lecture knocks me out,1,1
synthetic,we finna be in line for hours just to get this drop,1,1
synthetic,im finna start a podcast nobody asked for but here we go,1,1
synthetic,she finna walk down that aisle and we all gon cry,1,1
synthetic,bro im finna throw hands with this printer i swear,1,1
synthetic,i'm finna binge the whole season tonight don't spoil anything,1,1
synthetic,y'all finna regret not coming to this party trust me,1,1
synthetic,im finna hit the gym after work if anyone tryna pull up,1,1
synthetic,this dog finna eat my whole sandwich if i look away for one second,1,1
synthetic,im finna unfollow everybody posting spoilers im so done,1,1
synthetic,we finna pull an all nighter to get this project done before monday,1,1
synthetic,he finna learn the hard way that you can't trust everyone in this industry,1,1
synthetic,im finna call my mom she always knows what to say,1,1
synthetic,y'all finna be shocked when you see the final price tag on this build,1,1
synthetic,im finna make some banana bread because i got too many ripe ones,1,1
synthetic,she finna go viral with that dance i'm calling it now,1,1
synthetic,bro im finna cry these tickets are way out of my budget,1,1
synthetic,we finna outside this summer no excuses this year,1,1
synthetic,im finna get my hair done before the reunion no way im showing up like this,1,1
synthetic,he finna regret turning down that job offer in like six months,1,1
synthetic,im finna log off twitter for a few days my brain needs a break,1,1
synthetic,y'all finna see what real customer service looks like when i call corporate,1,1
synthetic,im finna start meal prepping on sundays for real this time,1,1
synthetic,she finna come for everybody on that diss track i can feel it,1,1
synthetic,im finna pop off if they cancel this show after one season,1,1
synthetic,we finna need a bigger table if everyone's bringing a plus one,1,1
synthetic,bro im finna sleep through my alarm again i just know it,1,1
synthetic,im finna treat myself to those sneakers i've been eyeing for months,1,1
synthetic,he finna be the reason i quit this job i swear,1,1
synthetic,y'all finna make me believe in love again with these wedding videos,1,1
synthetic,im finna ghost this group project nobody else is doing anything,1,1
synthetic,she finna ace that interview she's been prepping for weeks,1,1
synthetic,im finna grab my umbrella the sky looks crazy out there,1,1
synthetic,we finna ride out this storm with snacks and a good movie,1,1
synthetic,bro im finna start charging for advice if y'all keep ignoring it,1,1
synthetic,im finna miss my flight if this uber doesn't show up soon,1,1
synthetic,he finna drop a mixtape that nobody asked for but everyone needed,1,1
synthetic,y'all finna witness me actually cooking a real meal tonight,1,1
synthetic,im finna pay off my last credit card this month and i'm hyped,1,1
synthetic,she finna find out he was lying the whole time and it's gonna get messy,1,1
synthetic,im finna take this loss and go to bed honestly,1,1
synthetic,we finna pull up to the beach early to grab a good spot,1,1
synthetic,bro im finna get a tattoo on a whim and probably regret it,1,1
synthetic,im finna start saying no to plans i don't actually wanna go to,1,1
synthetic,he finna run that marathon next month and i'm so proud of him,1,1
synthetic,y'all finna love the new menu they added a brisket sandwich,1,1
synthetic,im finna get my passport renewed before the trip sneaks up on me,1,1
synthetic,she finna leave him on read after that whole stunt last weekend,1,1
synthetic,im finna learn how to drive stick this summer wish me luck,1,1
