uri,target_context,is_slang,synthetic
synthetic,she posted another thirst trap on instagram right after their breakup,1,1
synthetic,bro that gym selfie is such a thirst trap and we all know it,1,1
synthetic,i can't believe my coworker has a whole thirst trap account on the side,1,1
synthetic,his shirtless beach pic was a calculated thirst trap and the comments prove it,1,1
synthetic,every time she's sad she drops a thirst trap and waits for the validation,1,1
synthetic,tiktok is just an endless scroll of thirst trap content these days,1,1
synthetic,i didn't mean for it to be a thirst trap i was just trying on the new outfit,1,1
synthetic,the algorithm keeps feeding me thirst trap edits of that one actor from succession,1,1
synthetic,he claims it wasn't a thirst trap but he's clearly flexing in the mirror,1,1
synthetic,her latest post is honestly more thirst trap than fitness inspo,1,1
synthetic,celebrities have been weaponizing the thirst trap since the dawn of social media,1,1
synthetic,i swear to god if i see one more thirst trap from my ex i'm logging off,1,1
synthetic,she captioned the thirst trap with a bible verse and that sent me,1,1
synthetic,men have finally caught onto the thirst trap economy on instagram,1,1
synthetic,that wasn't a thirst trap that was a full marketing campaign,1,1
synthetic,he deleted the thirst trap after like an hour because his mom commented on it,1,1
synthetic,drake's instagram is basically just a thirst trap factory at this point,1,1
synthetic,i hate to admit i fell for a thirst trap and ended up following some random influencer,1,1
synthetic,the gym mirror thirst trap genre is so played out i can't even react anymore,1,1
synthetic,she pretended the candid bikini photo wasn't a thirst trap but come on,1,1
synthetic,posting a thirst trap right before a job interview is a bold strategy,1,1
synthetic,my ex liked my thirst trap within thirty seconds and i felt vindicated,1,1
synthetic,the new bachelor contestants are all clearly pros at the thirst trap,1,1
synthetic,i'm not above dropping a thirst trap when i'm feeling myself,1,1
synthetic,her birthday post was less reflection more thirst trap with a paragraph caption,1,1
synthetic,thirst trap energy radiates off this entire photo dump,1,1
synthetic,the comment section under his thirst trap is unhinged and i'm here for it,1,1
synthetic,no shade but that mirror pic was a thirst trap dressed up as an ootd,1,1
synthetic,linkedin is becoming the new platform for the professional thirst trap apparently,1,1
synthetic,she posts a thirst trap every time her ex starts dating someone new,1,1
synthetic,i scrolled past at least ten thirst trap reels before i finally found the recipe,1,1
synthetic,calling that photoshoot a thirst trap would be an understatement honestly,1,1
synthetic,the post workout thirst trap is a love language at this point,1,1
synthetic,his halloween costume was just an excuse to post a thirst trap,1,1
synthetic,she sent a thirst trap to the group chat and we all lost it,1,1
synthetic,every athlete on twitter is dropping a thirst trap during the offseason,1,1
synthetic,the engagement on a thirst trap will always beat the engagement on actual art,1,1
synthetic,i didn't know my coworker had such a thirst trap presence outside of work,1,1
synthetic,she fishes for compliments by disguising every thirst trap as a fashion post,1,1
synthetic,the thirst trap was good but the caption ruined the whole thing,1,1
synthetic,harry styles basically built his solo career off thirst trap energy,1,1
synthetic,i love when dads post a thirst trap and the comments are all from his wife's friends,1,1
synthetic,even the dog was part of the thirst trap composition which is impressive,1,1
synthetic,her vacation pics walk the line between travel blog and thirst trap,1,1
synthetic,the thirst trap to soft launch pipeline is real and undefeated,1,1
synthetic,i thought it was a normal selfie until i realized it was a stealth thirst trap,1,1
synthetic,he posted a thirst trap for his birthday and got like fifty thousand likes overnight,1,1
synthetic,twitter algorithms reward the thirst trap more than any actual journalism,1,1
synthetic,she captioned the thirst trap with just an emoji and the engagement was insane,1,1
synthetic,the bathroom mirror thirst trap is officially the most overdone pose on instagram,1,1
synthetic,i sent a thirst trap to my situationship and got read at 3am with no reply,1,1
synthetic,every cooking influencer eventually morphs into a thirst trap account it's the cycle of life,1,1
synthetic,the man is in his late forties and still posting a weekly thirst trap god bless,1,1
synthetic,she said the photo was for her portfolio but it read like a thirst trap to me,1,1
synthetic,imagine getting paid to take a thirst trap and call it a brand deal,1,1
synthetic,the press tour thirst trap is becoming a real strategy for movie promotion,1,1
synthetic,men in their thirties really did invent the dad bod thirst trap,1,1
synthetic,she dropped a thirst trap during her own engagement party which is wild behavior,1,1
synthetic,i can spot a calculated thirst trap from a mile away by the lighting alone,1,1
synthetic,the lifeguard chair thirst trap is dominating my feed this summer,1,1
synthetic,he tried to pass it off as a candid but everyone knew it was a thirst trap,1,1
synthetic,celebrity thirst trap discourse is somehow more exhausting than political discourse,1,1
synthetic,my therapist asked why i post a thirst trap every time i feel low and i had no answer,1,1
synthetic,the wet hair thirst trap never misses if you've got the right angle,1,1
synthetic,her album promo strategy is basically just a weekly thirst trap and a vague caption,1,1
synthetic,i'm convinced his entire personality is one elaborate thirst trap by now,1,1
synthetic,the suit fitting photo turned into an accidental thirst trap and the agency loved it,1,1
