uri,target_context,is_slang,synthetic
synthetic,this guy literally mogs every other contestant on the show with his jawline alone,1,1
synthetic,my grandma read me the mog the forgetful cat books every night when i was little,0,1
synthetic,bro got mogged in front of his own girlfriend that was brutal to watch,1,1
synthetic,judith kerr's mog series remains a beloved staple of british children's literature,0,1
synthetic,no one can mog chris hemsworth in a shirtless scene let's be real,1,1
synthetic,the old tabby mog curled up on the windowsill purring in the afternoon sun,0,1
synthetic,i felt so mogged at the gym today there was a 6'5 dude doing pullups next to me,1,1
synthetic,we adopted a stray mog from the shelter and named him biscuit,0,1
synthetic,tiktok is full of teens posting side by sides trying to mog each other,1,1
synthetic,the children's hospital launched a campaign featuring mog to encourage reading,0,1
synthetic,his new haircut absolutely mogs the one he had last year it's not even close,1,1
synthetic,my neighbour's mog keeps sneaking into our garden to hunt the birds,0,1
synthetic,you can't mog someone who already accepted defeat in the looks department,1,1
synthetic,the sainsbury's christmas advert featuring mog was a huge cultural moment in 2015,0,1
synthetic,every time i see his selfies i feel personally mogged into the ground,1,1
synthetic,the vet said our mog is overweight and needs to switch to a diet food,0,1
synthetic,henry cavill was mogging the entire cast of that movie effortlessly,1,1
synthetic,in old british slang a mog or moggy was simply a common house cat,0,1
synthetic,imagine getting mogged by your own little brother at age 14 that's wild,1,1
synthetic,she left a saucer of milk by the door for the neighbourhood mog,0,1
synthetic,this dude is mogging me so hard right now i need to go home,1,1
synthetic,the picture book mog and bunny is one of the gentler stories in the series,0,1
synthetic,looksmaxxing forums use the word mog like it's their entire vocabulary,1,1
synthetic,our ginger mog has been with the family for nearly fifteen years now,0,1
synthetic,no point trying to mog him bro he's literally a model,1,1
synthetic,the mog plush toy sold out within hours of the advert airing on tv,0,1
synthetic,she mogged the entire bridal party by accident just by showing up,1,1
synthetic,in the story mog forgets she has a cat flap and has to wake the whole family,0,1
synthetic,facial harmony plus a sharp jaw equals instant mog over the average guy,1,1
synthetic,i could hear the mog scratching at the back door wanting to come in,0,1
synthetic,getting mogged by an old photo of your dad in his twenties is a humbling experience,1,1
synthetic,judith kerr based mog on a real cat that lived with her family,0,1
synthetic,the way he walked in and mogged the bouncer to get past the line was insane,1,1
synthetic,primary school teachers often use mog stories to introduce empathy lessons,0,1
synthetic,stop trying to mog the new kid he literally just joined the friend group,1,1
synthetic,the rescue centre takes in any stray mog that turns up on their doorstep,0,1
synthetic,if your canthal tilt isn't positive you will get mogged according to these weirdos,1,1
synthetic,a small grey mog had made itself comfortable on the cottage doorstep,0,1
synthetic,his older brother mogs him so badly in every family photo it's painful,1,1
synthetic,mog goodbye is the final book in the series and made many parents cry,0,1
synthetic,she's mogging the whole comments section just by existing in that fit,1,1
synthetic,our old mog tom prefers sleeping in the airing cupboard over his actual bed,0,1
synthetic,you got mogged by a guy half a foot shorter than you that's actually impressive,1,1
synthetic,you can usually spot a mog by its lazy stretch across a sunny patch of carpet,0,1
synthetic,this app uses ai to tell you who mogs who based on a single photo apparently,1,1
synthetic,the librarian recommended the mog and the vee ee tee for kids afraid of the doctor,0,1
synthetic,italian men just naturally mog everyone else in europe and it isn't fair,1,1
synthetic,my aunt's fluffy mog is twice the size of a normal cat honestly,0,1
synthetic,framing your photos from below is the cheapest way to mog people online,1,1
synthetic,her grandmother always called the family cat a sweet little mog,0,1
synthetic,i can't believe i got mogged in my own comment section under my own post,1,1
synthetic,the mog leapt onto the kitchen counter and stole a sausage right off the plate,0,1
synthetic,having a deep voice mogs more than people realise in first impressions,1,1
synthetic,kerr wrote and illustrated the mog books over a span of nearly forty years,0,1
synthetic,you simply cannot mog a man who is genuinely confident in himself,1,1
synthetic,the children gathered round as the teacher read another chapter about mog,0,1
synthetic,his prom photos mog mine so badly i'm going to delete them all,1,1
synthetic,a black and white mog kept watch from the fence as i walked past,0,1
synthetic,broad shoulders genuinely mog everything else when guys are standing next to each other,1,1
synthetic,we donated all the mog picture books to the local school once my kids outgrew them,0,1
synthetic,every gym has that one guy who silently mogs the entire weights room,1,1
synthetic,the rspca shared a photo of a rescued mog that needed urgent fostering,0,1
synthetic,if you think you can mog me you've clearly never seen my driver's licence photo,1,1
synthetic,her white mog has one green eye and one blue which is striking up close,0,1
synthetic,this looksmaxxing subreddit ranks everyone based on who mogs who and it's depressing,1,1
synthetic,mog the cat was inspired by a real feline kerr lived with in her london home,0,1
synthetic,they say timothee chalamet mogs every leading man of his generation,1,1
synthetic,the elderly mog spent most of its days dozing by the radiator,0,1
