uri,target_context,is_slang,synthetic
synthetic,bro is so thirsty in her comments it's actually embarrassing to watch,1,1
synthetic,after the long hike we were thirsty and out of water completely,0,1
synthetic,why are these dudes always so thirsty whenever she posts a mirror selfie,1,1
synthetic,the puppy looked thirsty so i filled up the bowl with cold water,0,1
synthetic,she posted that picture knowing exactly how thirsty the replies would be,1,1
synthetic,i felt really thirsty after eating that bowl of salty ramen for lunch,0,1
synthetic,every brand on twitter is so thirsty for engagement it's getting cringe,1,1
synthetic,dehydration can make you feel thirsty dizzy and unusually tired throughout the day,0,1
synthetic,his dms are wild that man is thirsty beyond belief,1,1
synthetic,make sure to drink water before bed if you tend to get thirsty at night,0,1
synthetic,she's thirsty for attention and it shows in every single tiktok she posts,1,1
synthetic,the camels can travel for days without becoming thirsty due to their efficient hydration,0,1
synthetic,stop being so thirsty in the replies it's not a good look king,1,1
synthetic,the kids came home from soccer practice hot tired and very thirsty,0,1
synthetic,that comment was so thirsty i had to close the app and touch grass,1,1
synthetic,diabetes can cause you to feel constantly thirsty even after drinking lots of fluids,0,1
synthetic,y'all are thirsty for any morsel of attention this celebrity throws your way,1,1
synthetic,i'm always so thirsty after my morning run especially during the summer,0,1
synthetic,his thirsty comments under her photo got him roasted in the quote retweets,1,1
synthetic,the marathon runners stopped at every station because they were extremely thirsty,0,1
synthetic,she's posting thirsty selfies again hoping her ex will notice,1,1
synthetic,if your cat seems unusually thirsty it might be time for a vet visit,0,1
synthetic,the influencer is straight up thirsty for a sponsorship from any brand at this point,1,1
synthetic,i forgot my water bottle at the gym and got really thirsty during the workout,0,1
synthetic,bro stop being thirsty in her comments she's clearly not interested,1,1
synthetic,after the spicy curry i was so thirsty i drank three glasses of milk,0,1
synthetic,the thirsty energy in this group chat is honestly unmatched today,1,1
synthetic,hikers should carry extra water in case they become thirsty far from the trailhead,0,1
synthetic,she's thirsty for clout and will collab with literally anyone for a viral moment,1,1
synthetic,the baby was thirsty so i warmed up a small bottle of formula,0,1
synthetic,imagine being this thirsty on main where everyone can see your account,1,1
synthetic,drinking caffeine can sometimes make you feel more thirsty than before you started,0,1
synthetic,those replies are sending me everyone in there is so thirsty it's hilarious,1,1
synthetic,i woke up at three in the morning incredibly thirsty for some reason,0,1
synthetic,men get so thirsty the moment a woman posts a workout video,1,1
synthetic,the soil was thirsty after weeks of drought and finally got some rain,0,1
synthetic,her thirsty era is in full swing and i'm here to witness every chapter,1,1
synthetic,i always pack snacks and water in case the kids get hungry or thirsty,0,1
synthetic,the way he commented heart eyes on every photo is so thirsty pls stop,1,1
synthetic,horses can drink up to ten gallons of water a day when they're thirsty,0,1
synthetic,this account is thirsty for followers and it's getting more obvious every day,1,1
synthetic,the hot weather made everyone at the picnic thirsty within the first hour,0,1
synthetic,she said no but the thirsty replies just kept rolling in anyway,1,1
synthetic,elderly people don't always feel thirsty so caregivers should remind them to drink water,0,1
synthetic,y'all simping in her replies look so thirsty have some self respect,1,1
synthetic,i grabbed a gatorade because i was thirsty after the basketball game,0,1
synthetic,ngl his last tweet was thirsty as hell and the timeline noticed,1,1
synthetic,the houseplants looked thirsty so i gave them a deep watering this morning,0,1
synthetic,she's thirsty for validation and it leaks through every caption she writes,1,1
synthetic,salty food can make you very thirsty later in the evening before bed,0,1
synthetic,the way these brands are thirsty for gen z attention is just sad,1,1
synthetic,the desert traveler grew thirsty as the sun climbed higher into the sky,0,1
synthetic,lowkey his comment was thirsty but she ate it up which was surprising,1,1
synthetic,if you feel thirsty during exercise you're already slightly dehydrated according to experts,0,1
synthetic,imagine waking up and choosing to be this thirsty in someone's mentions,1,1
synthetic,the lemonade stand did great business because everyone at the fair was thirsty,0,1
synthetic,his thirsty dms got leaked and now twitter won't let him live it down,1,1
synthetic,newborn babies show they are hungry or thirsty by rooting and crying softly,0,1
synthetic,no one is more thirsty than men in the comments of a gym girl's post,1,1
synthetic,after eating popcorn at the movies i was so thirsty i finished my drink fast,0,1
synthetic,the way the fans get thirsty whenever he takes his shirt off is wild,1,1
synthetic,construction workers in summer need frequent breaks because they get thirsty very quickly,0,1
synthetic,stop posting thirsty captions if you can't handle the weird replies that follow,1,1
synthetic,the marathon volunteers handed out water cups to thirsty runners every two miles,0,1
synthetic,girl that caption was thirsty and we all noticed even if no one said it,1,1
synthetic,if your dog seems thirsty more often than usual check for medical issues,0,1
synthetic,celebrities get so thirsty for relevance once their last project flops,1,1
synthetic,the toddler kept asking for juice because she said she was thirsty again,0,1
synthetic,him liking all her old photos at two am is peak thirsty behavior,1,1
synthetic,we packed extra water bottles in case anyone got thirsty during the long drive,0,1
