uri,target_context,is_slang,synthetic
synthetic,bro really said the same line three times in a row he's such an npc,1,1
synthetic,the quest giver npc in the starting village hands you a wooden sword and points you toward the forest,0,1
synthetic,she literally just repeats whatever the algorithm tells her she's giving npc energy fr,1,1
synthetic,you can recruit any friendly npc into your party once your reputation hits level five,0,1
synthetic,watching him scroll tiktok with that blank stare made me think he was running on npc dialogue,1,1
synthetic,the new patch finally fixed the npc pathfinding bug that made guards walk into walls,0,1
synthetic,everyone in that comment section sounds like an npc reading from the same script,1,1
synthetic,if you talk to the blacksmith npc at night he gives you a discount on iron weapons,0,1
synthetic,stop acting like an npc and have an original thought for once in your life,1,1
synthetic,the game designers spent months writing branching npc dialogue trees for every major faction,0,1
synthetic,my coworker is so npc-coded he says good morning the exact same way every single day,1,1
synthetic,an npc shopkeeper will refuse to trade with you if your karma meter drops too low,0,1
synthetic,she got mad i called her an npc but then proved my point by replying with a tiktok sound,1,1
synthetic,modders added a custom npc that follows you around the entire map offering crafting tips,0,1
synthetic,people who can't form opinions outside of group consensus are basically walking npc characters,1,1
synthetic,the developer commentary mentioned that each npc has a daily schedule based on real time,0,1
synthetic,i love when an npc tiktok girl streams herself doing nothing for hours and gets paid,1,1
synthetic,you'll need to defeat the corrupted npc guarding the temple before the door will unlock,0,1
synthetic,his takes are so npc i could predict every word before he typed it,1,1
synthetic,i spent way too long talking to a random npc just to find out she had no quest for me,0,1
synthetic,the way she defended that brand for free was peak npc behavior,1,1
synthetic,an unnamed npc in the back of the tavern mutters cryptic hints if you sit near him,0,1
synthetic,calling someone an npc has basically replaced calling them a sheep these days,1,1
synthetic,the npc voice acting in this expansion is honestly better than most netflix shows,0,1
synthetic,my ex was such an npc all his texts felt like canned responses from a chatbot,1,1
synthetic,you can pickpocket any npc in the city but get caught and the guards will chase you,0,1
synthetic,twitter is just thousands of npcs repeating each other's tweets in slightly different words,1,1
synthetic,i found a hidden npc behind the waterfall who sells rare enchanting materials,0,1
synthetic,he laughed at the joke a full second late like an npc with delayed reaction triggers,1,1
synthetic,the lore says that npc was once a king before the curse turned him into a wandering ghost,0,1
synthetic,those npc tiktoks where girls pretend to be video game characters got really weird really fast,1,1
synthetic,skyrim's most iconic npc has to be the guard who took an arrow to the knee,0,1
synthetic,i swear half the people at my office are npcs running on the same five conversation loops,1,1
synthetic,the patch notes mention an npc whose stock now refreshes every in-game week instead of daily,0,1
synthetic,if you think you're not an npc but you've never questioned anything you believe you're definitely an npc,1,1
synthetic,a friendly npc will mark the dungeon entrance on your map after you complete his fetch quest,0,1
synthetic,the way he repeated his manager's exact phrasing was so npc it hurt to watch,1,1
synthetic,modern rpgs use ai to make npc reactions more dynamic during combat encounters,0,1
synthetic,she's not a person she's an npc generating filler dialogue for your life simulation,1,1
synthetic,you can romance almost any npc in stardew valley by giving them their favorite gifts,0,1
synthetic,every guy on this dating app has the exact same npc bio about loving travel and dogs,1,1
synthetic,the merchant npc in the market square sells rare potions only after midnight,0,1
synthetic,him saying live laugh love unironically confirmed he is fully an npc,1,1
synthetic,an aggressive npc spawned right behind me and one-shot my level one character,0,1
synthetic,people calling everyone they disagree with an npc has become its own form of npc behavior,1,1
synthetic,the new dlc introduces over fifty npc characters with fully voiced backstories,0,1
synthetic,his entire personality is just npc dialogue copy-pasted from instagram captions,1,1
synthetic,i accidentally killed an essential npc and had to reload a save from two hours ago,0,1
synthetic,you ever notice how some coworkers only activate dialogue when you walk near their desk like an npc,1,1
synthetic,the worldbuilding feels alive because every npc has their own daily routine and opinions,0,1
synthetic,saying you don't like avocado toast is officially the most npc opinion of 2024,1,1
synthetic,i need that npc trader to restock before i can finish crafting my legendary armor,0,1
synthetic,imagine being so npc you genuinely think buying a new iphone every year is a personality trait,1,1
synthetic,an escort quest where you protect a fragile npc through bandit territory is my least favorite trope,0,1
synthetic,she only laughs at jokes when other people do classic npc move,1,1
synthetic,the developers patched out the exploit that let players duplicate items by trading with a specific npc,0,1
synthetic,my whole feed is filled with npcs reposting the same trending audio with zero effort,1,1
synthetic,an old npc in the cathedral teaches you the lost language if you bring him three ancient scrolls,0,1
synthetic,he's serving npc realness with that flat tone and zero facial expressions,1,1
synthetic,i spent two hours customizing my character only to look worse than every npc in the city,0,1
synthetic,people who repost motivational quotes without reading them are the definition of an npc,1,1
synthetic,if you fail the persuasion check the npc will refuse to give you the key and call the guards,0,1
synthetic,her dms read like an npc with three preset responses honestly i'm done,1,1
synthetic,the limited edition figure features the iconic npc from the original 1998 release,0,1
synthetic,watching him agree with whoever spoke last in the meeting was peak npc gameplay,1,1
synthetic,you can hire an npc mercenary at the inn to help you clear out tougher dungeons,0,1
synthetic,the npc trend on tiktok where girls react to gifts in robotic voices is genuinely unsettling,1,1
synthetic,many older games used the same npc model recolored to save on memory,0,1
