uri,target_context,is_slang,synthetic
synthetic,bro just walked away from the entire group without saying a word that's so sigma,1,1
synthetic,the standard deviation is denoted by the lowercase greek letter sigma in most textbooks,0,1
synthetic,my little brother won't stop calling himself a sigma male and it's driving me insane,1,1
synthetic,he pledged sigma chi during his sophomore year at the university,0,1
synthetic,only sigma kids wake up at 4am to grind before school,1,1
synthetic,the sigma bond between the two carbon atoms is stronger than any pi bond,0,1
synthetic,she said i was giving sigma energy when i ate lunch by myself in the cafeteria,1,1
synthetic,in statistics the sum represented by capital sigma is fundamental to understanding series,0,1
synthetic,ngl that fit is straight up sigma behavior,1,1
synthetic,the company uses six sigma methodology to reduce defects in their manufacturing process,0,1
synthetic,stop trying to be sigma you literally cried during the movie last week,1,1
synthetic,alpha sigma alpha hosted a charity bake sale last weekend on campus,0,1
synthetic,my history teacher walked in with sunglasses on and the whole class said sigma,1,1
synthetic,the sigma factor binds to rna polymerase to initiate transcription in bacteria,0,1
synthetic,he thinks he's sigma because he doesn't text girls back lmao,1,1
synthetic,the brothers of phi beta sigma have been active on this campus since 1932,0,1
synthetic,you're so sigma for ordering plain water at the bar bro,1,1
synthetic,engineers often use three sigma limits when designing control charts for quality assurance,0,1
synthetic,imagine being sigma in 2024 when everyone knows the term is cringe now,1,1
synthetic,the new sigma 50mm lens delivers stunning bokeh for portrait photography,0,1
synthetic,kid in my class said sigma like 40 times during lunch and i wanted to leave,1,1
synthetic,alpha kappa alpha and delta sigma theta are two of the divine nine sororities,0,1
synthetic,patrick bateman edits will never not be peak sigma content,1,1
synthetic,the population sigma is rarely known so we estimate it using sample standard deviation,0,1
synthetic,he refused to laugh at the joke trying to look sigma but everyone just thought he was being weird,1,1
synthetic,sigma orionis is a multiple star system located in the constellation orion,0,1
synthetic,what the sigma is happening in the group chat right now,1,1
synthetic,the integral of f of x with respect to x is closely related to the sigma notation for sums,0,1
synthetic,you ate the last slice of pizza and didn't tell anyone real sigma move,1,1
synthetic,kappa sigma was founded at the university of virginia in 1869,0,1
synthetic,if you don't reply to texts for three days you might just be sigma,1,1
synthetic,the sigma orbital is formed by the head-on overlap of two atomic orbitals,0,1
synthetic,no thoughts head empty just sigma vibes today,1,1
synthetic,she's studying for the six sigma green belt certification next month,0,1
synthetic,sigma rule number 47 never let anyone know your next move,1,1
synthetic,the upper case sigma in this formula represents the summation from i equals one to n,0,1
synthetic,my dad heard me say sigma and asked if i meant the fraternity,1,1
synthetic,alpha sigma phi members helped organize the homecoming parade this year,0,1
synthetic,that grindset mindset is so sigma bro keep cooking,1,1
synthetic,researchers reported a five sigma signal confirming the existence of the higgs boson,0,1
synthetic,all the middle schoolers in my neighborhood keep yelling sigma at each other,1,1
synthetic,sigma aldrich is a major supplier of chemicals and reagents for research labs,0,1
synthetic,he genuinely believes he's a sigma male after watching three youtube videos,1,1
synthetic,the matrix sigma in this equation represents the covariance between variables,0,1
synthetic,skibidi sigma rizz is basically every word my nephew knows now,1,1
synthetic,the volatility of a stock is often modeled using sigma in the black scholes equation,0,1
synthetic,he stood at the window staring into the rain like a true sigma,1,1
synthetic,phi sigma kappa is hosting an open house for prospective pledges this thursday,0,1
synthetic,telling my crush i'm not interested even though i am is the most sigma thing i could do,1,1
synthetic,the lowercase sigma can also represent surface charge density in electromagnetism,0,1
synthetic,you're built different bro that's that sigma mentality,1,1
synthetic,the sigma male trope became popular in online communities in the late 2010s,0,1
synthetic,stop being sigma and just text her back already,1,1
synthetic,my professor uses sigma instead of writing out long sums on the board,0,1
synthetic,he wore sunglasses indoors at the funeral peak sigma behavior honestly,1,1
synthetic,the sigma receptor has been a target of interest in psychiatric drug research,0,1
synthetic,lowkey sigma to leave the party without saying goodbye to anyone,1,1
synthetic,tau kappa epsilon and sigma nu both have chapters at this college,0,1
synthetic,the kids these days call everything sigma it doesn't even mean anything anymore,1,1
synthetic,she invested in a sigma art lens for her new mirrorless camera body,0,1
synthetic,being the only one at the gym at 5am makes me feel kinda sigma,1,1
synthetic,the gamma function and the sigma function are both studied in advanced number theory,0,1
synthetic,what the sigma rizz skibidi ohio gyatt my brain is melting,1,1
synthetic,the sigma orbital is lower in energy than the corresponding antibonding orbital,0,1
synthetic,everyone in the comments was saying sigma under the cat staring out the window video,1,1
synthetic,delta sigma pi is a professional business fraternity with chapters across north america,0,1
synthetic,he ghosted the entire friend group for a year and came back like nothing happened sigma move,1,1
synthetic,the sigma notation makes it much easier to write compact expressions for long sums,0,1
synthetic,sigma alpha epsilon was suspended from campus after the hazing investigation last spring,0,1
synthetic,saying gn to your group chat and then staying up till 4am is kinda sigma,1,1
