uri,target_context,is_slang,synthetic
synthetic,bro stop glazing that streamer he literally cheated on stream last week,1,1
synthetic,the glazing on these donuts came out way too thick and runny,0,1
synthetic,everyone in the comments is glazing him like he didn't drop the easiest catch of the game,1,1
synthetic,we spent the afternoon glazing the ceramic bowls before firing them in the kiln,0,1
synthetic,the way fans are glazing this album is insane it's mid at best,1,1
synthetic,for a glossy finish try glazing the ham with a brown sugar and mustard mixture,0,1
synthetic,why are you glazing your own boss in front of everyone it's embarrassing,1,1
synthetic,the contractor recommended double glazing the windows to improve insulation,0,1
synthetic,the amount of glazing in this thread is actually unbearable to read,1,1
synthetic,i finished glazing the mugs and now they need to dry overnight before the second firing,0,1
synthetic,can we stop glazing billionaires like they actually care about us,1,1
synthetic,glazing the carrots in honey and butter really brings out their natural sweetness,0,1
synthetic,my chat would not stop glazing me last night it was actually weird,1,1
synthetic,she's been glazing the pottery for hours and still has a whole shelf left,0,1
synthetic,no hate but you're glazing him so hard right now,1,1
synthetic,the recipe calls for glazing the pastries with an egg wash before baking,0,1
synthetic,the glazing this dude gets online vs his actual stats is wild,1,1
synthetic,modern glazing techniques have made commercial buildings far more energy efficient,0,1
synthetic,you don't have to keep glazing the dev team they're not gonna fix the game,1,1
synthetic,i'm glazing the donuts with a simple powdered sugar and milk mixture,0,1
synthetic,tate fans glazing him 24/7 in every comment section is exhausting,1,1
synthetic,double glazing reduces heat loss significantly compared to single pane windows,0,1
synthetic,the way she was glazing her crush in that video was actually painful to watch,1,1
synthetic,the baker showed us how proper glazing creates that beautiful shine on top of the loaf,0,1
synthetic,y'all are glazing this movie way too hard the plot made no sense,1,1
synthetic,the workers are glazing the new office building this week,0,1
synthetic,i'm not glazing i'm just saying he had a good game,1,1
synthetic,she earns extra income by glazing custom ceramics for local boutiques,0,1
synthetic,stop glazing your favorite rapper and admit the album flopped,1,1
synthetic,after glazing the tile we waited for it to cure before installing the backsplash,0,1
synthetic,the level of glazing in this fanbase has reached new heights,1,1
synthetic,glazing windows requires careful attention to weatherproofing around the frame,0,1
synthetic,him glazing his ceo on linkedin every monday is so cringe,1,1
synthetic,try glazing the salmon with miso and maple syrup for a sweet umami finish,0,1
synthetic,the glazing in this reply section is straight up parasocial,1,1
synthetic,we learned about traditional japanese glazing methods in the ceramics class,0,1
synthetic,everybody glazing this dude when he hasn't done anything impressive,1,1
synthetic,the secret to a shiny ham is glazing it three times during the final hour of baking,0,1
synthetic,i swear the glazing on twitter today is out of control,1,1
synthetic,the historical building features intricate stained glass glazing from the late 1800s,0,1
synthetic,you're glazing him so much you're gonna run out of saliva,1,1
synthetic,glazing the tart with warmed apricot jam gives it that bakery shine,0,1
synthetic,the constant glazing from his fans makes it impossible to have a real conversation,1,1
synthetic,the studio offers classes in wheel throwing trimming and glazing for beginners,0,1
synthetic,why are people glazing this ai slop like it took skill to make,1,1
synthetic,the manufacturer recommends glazing the surface twice for maximum protection,0,1
synthetic,imagine glazing a corporation in 2024 couldn't be me,1,1
synthetic,she's been perfecting her crystalline glazing technique for the last three years,0,1
synthetic,bro the glazing in these replies makes me wanna throw my phone,1,1
synthetic,the chef demonstrated glazing the duck breast with a sticky orange reduction,0,1
synthetic,y'all glazing him like he invented basketball be so for real,1,1
synthetic,modern skyscrapers use advanced glazing systems to control solar heat gain,0,1
synthetic,she's glazing her boyfriend so hard in this tiktok it's actually sweet,1,1
synthetic,after glazing the pastries i let them rest before the second proof,0,1
synthetic,the glazing on this podcast guest is unreal he barely said anything insightful,1,1
synthetic,low emissivity glazing helps reduce energy bills throughout the year,0,1
synthetic,ngl the way that interviewer was glazing the ceo was uncomfortable to watch,1,1
synthetic,the apprentice spent the morning glazing pieces in the corner of the workshop,0,1
synthetic,fans glazing players for the bare minimum is why standards are so low now,1,1
synthetic,i recommend glazing the ribs with bbq sauce only in the last twenty minutes of cooking,0,1
synthetic,stop glazing he's literally just a guy who plays video games,1,1
synthetic,the artist is known for her experimental glazing combinations that produce unpredictable colors,0,1
synthetic,the glazing this man receives daily would inflate anyone's ego,1,1
synthetic,we discussed glazing options for the new conservatory with the architect,0,1
synthetic,you're glazing so hard right now did he pay you or something,1,1
synthetic,glazing pottery is both a science and an art form that takes years to master,0,1
synthetic,the comment section glazing musk for that mid tweet has me losing faith in humanity,1,1
synthetic,the bakery uses a traditional glazing method passed down from the owner's grandmother,0,1
synthetic,wild seeing all these journalists glazing politicians instead of asking real questions,1,1
synthetic,secondary glazing is a cheaper alternative to replacing the entire window unit,0,1
