,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll,vibes
1106822,https://www.heartedesigns.com/wedding/wedding-signs,perfect way to instruct welc view details contemporary calligraphy good vibes wedding ceremony sign add to basket add to your wishlist,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
586534,http://newsworldindia.in/entertainment/heres-what-you-need-to-do-to-get-perfect-celeb-like-hair/227523/,sep at pm pdt sometimes less is more s cher vibes kimkardashian hair me makeup styledbyhrush a photo posted by chris,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
701478,https://www.lonestarpercussion.com/Sheet-Music-Books/Orchestral-Excerpt-Books/Orchestral-Excerpt-Book-The-Orchestra-Musicians-CD-Library-Timpani-Percussion-Vol-10-Bach-Han.html,each number of orchestra bells number of crotales number of vibes number of chimes number of pans number of xylophones number,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1257862,https://17musicstore.com/guitars/acoustic-guitars/fender-redondo-player-natural-wn-2/,player electro is designed to inspire and get your creative vibes flowing it combines a solid top optimised bracing and quality,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
364890,https://www.melbournefc.com.au/video/1785195/rd-10-picketts-special-celebration-for-sir-doug-nicholls-round,find his new favourite player afl highlights highlights feel the vibes at training st january come trackside at training and feel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
875910,https://your.angelmomoli.com/,mm l currently we do not support overseas shipping good vibes m l xl sold out good vibes united athle g,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1022543,https://pragalbhadoshi.wordpress.com/2021/02/08/smile-for-yourself/,worth keep that up and keep spreading all your positive vibes likeliked by person reply mairi mclean on february at pm,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1047978,https://indaily.com.au/news/2018/06/13/onus-now-north-korea-says-bishop/,a new restaurant in adelaide's cbd recipe duck rendang good vibes drive market stall jamu's success humble design is the theme,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
455210,https://www.sewcutestyle.com/2016/09/fall-wishlist.html,fall season stripes tailored pieces and some menswear inspiration is giving me major fall vibes what is on your fall wishlist,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
573595,http://www.chictopia.com/photo/show/322406-A+Juicy+Life-beige-dress-white-blazer-brown-shoes-brown-belt,great paired with nude tones reply wallflowervintage on august positive vibes are a must you go girl reply ayaka on august,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
436742,https://www.hibiscusbeachkids.com/shipping-handling/,flip flops water shoes towels skateboards sunscreen beach sounds and vibes beach gear shipping handling we typically get the order ready,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1340276,http://www.edenfantasys.com/sex-toy-reviews/vibrators/the-toy-is-fantastic,massagers men's underwear couples all products for couples vibrating rings vibes for sex position support fetish play dildo harnesses gender friendly,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
713556,http://perezhilton.com/tag/haunted_peak,just turned we like to be accurate spreading the good vibes to you all and loving up on mommaperez - for,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337085,https://www.shopembersboutique.com/collections/30-sale/products/la-girl-sweatshirt,nia la girl sweatshirt this sweatshirt gives us major la vibes pair with black biker shorts and chunky sneakers for the,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1401213,https://www.princefrederickfurniture.com/jaipur-in-prince-frederick-md.html,neutral colorway deep gray diamonds and imperfect lines create worldly vibes on this light gray accent shop collection lounge an urban,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183671,http://www.newstimes.com/seen/slideshow/Were-you-SEEN-at-Gathering-of-the-Vibes-Day-1-90809/photo-6668681.php,fun festive and bohemian outfits for the gathering of the vibes music festival at seaside park in bridgeport on thursday july,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1384026,https://nowthensunshine.com/collections/cards/products/copy-of-mothers-day-card-for-grandma,comes with a brown kraft envelope and lots of sunny vibes all now then sunshine cards are printed here in the,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
416699,https://shotgun.live/events/vanyfox-circa-papi-oseias-patisol-hard-club-porto,and groovy style he delivers eclectic sets that provide good vibes oseais is an angolan dj and producer based in lisbon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46470,https://www.sassyscrapper.com.au/products/creative-agenda-flair-buttons,sn p life so fancy very merry summer days summer vibes sunshine happiness travel notes vintage blessings vintage bliss we are,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
963812,http://www.beeradvocate.com/beer/profile/4261/9077/?ba=BlindPig,the finish is soft and pillowy with some caramel candy vibes weak herbal notes no yeasty goodness unpleasant finish harsh and,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
