target,is_slang,target_context,uri
woke,0,the alarm woke me at six and i hit snooze about four times,synthetic://generated/woke/0
woke,0,he woke his wife to tell her about the strange noise outside their window,synthetic://generated/woke/1
woke,0,i woke from a dream where i was being chased by giant rabbits,synthetic://generated/woke/2
woke,0,the construction noise woke us at six thirty every morning that whole week,synthetic://generated/woke/3
woke,0,the smell of bacon woke everyone in the house before the alarm went off,synthetic://generated/woke/4
woke,0,they woke before sunrise to summit the mountain before the storm rolled in,synthetic://generated/woke/5
woke,1,they keep blaming low sales on woke marketing but the product is just bad,synthetic://generated/woke/6
woke,1,describing a math tutor as woke for using diverse word problems is a new low,synthetic://generated/woke/7
woke,1,school districts banning books for being woke is just censorship with extra steps,synthetic://generated/woke/8
woke,0,i woke up feeling completely refreshed after sleeping nine hours straight,synthetic://generated/woke/9
woke,0,the loud thunder woke half the neighborhood around two in the morning,synthetic://generated/woke/10
woke,0,she woke abruptly when the train jolted to a sudden stop at the station,synthetic://generated/woke/11
woke,1,she went from woke activist to crypto influencer in about eighteen months,synthetic://generated/woke/12
woke,1,corporations pretending to be woke during pride month is the most transparent marketing ever,synthetic://generated/woke/13
woke,1,calling a kindergarten lesson plan woke is honestly embarrassing for grown adults,synthetic://generated/woke/14
woke,1,this whole anti woke movement is basically just being mad at things existing,synthetic://generated/woke/15
woke,0,i woke up at four in the morning to catch the sunrise over the canyon,synthetic://generated/woke/16
woke,1,my uncle thinks any movie with a female lead is woke propaganda,synthetic://generated/woke/17
woke,0,he woke confused not remembering where he had parked the car the night before,synthetic://generated/woke/18
woke,1,the new disney remake is so woke it forgets to actually tell a story,synthetic://generated/woke/19
woke,0,i woke from the dream sweating and grabbed my phone to text my friend,synthetic://generated/woke/20
woke,1,their whole personality is being mad at woke stuff on the internet,synthetic://generated/woke/21
woke,1,the woke mob came for that podcaster but honestly his takes were pretty bad,synthetic://generated/woke/22
woke,0,we woke the kids early to drive down to the beach before traffic,synthetic://generated/woke/23
woke,1,calling sesame street woke might be the funniest sentence i've read all week,synthetic://generated/woke/24
woke,1,your post is way too woke for this group please tone it down,synthetic://generated/woke/25
woke,1,the team got cancelled for being too woke and also for not being woke enough,synthetic://generated/woke/26
woke,0,the patient slowly woke from anesthesia about an hour after surgery,synthetic://generated/woke/27
woke,0,i woke briefly during the night and heard rain pounding on the roof,synthetic://generated/woke/28
woke,1,tech bros writing essays about how silicon valley got too woke is the new genre,synthetic://generated/woke/29
woke,1,people calling everything woke have completely diluted whatever meaning the word once had,synthetic://generated/woke/30
woke,0,i woke up to twenty missed calls from my sister and panicked,synthetic://generated/woke/31
woke,0,the baby woke for her two a m feeding right on schedule,synthetic://generated/woke/32
woke,0,i woke up to find the power had been out for hours,synthetic://generated/woke/33
woke,1,they say the new ad is woke but it's literally just two people drinking coffee,synthetic://generated/woke/34
woke,1,every comment section under any commercial is just people debating if it's too woke,synthetic://generated/woke/35
woke,1,every cereal box is going to get called woke at this rate,synthetic://generated/woke/36
woke,1,the woke vs anti woke discourse online is the most exhausting thing on earth,synthetic://generated/woke/37
woke,0,she woke her grandfather from his afternoon nap to show him the painting,synthetic://generated/woke/38
woke,1,this show tries way too hard to be woke and ends up insulting everyone,synthetic://generated/woke/39
woke,0,she woke with a stiff neck from sleeping on the couch all night,synthetic://generated/woke/40
woke,0,i woke up so dehydrated after that flight i drank an entire bottle of water,synthetic://generated/woke/41
woke,0,i woke up around noon and immediately regretted staying out so late,synthetic://generated/woke/42
woke,1,honestly being called woke has lost all meaning when it just means having basic empathy,synthetic://generated/woke/43
woke,0,he woke just in time to see the deer run across the backyard,synthetic://generated/woke/44
woke,0,the dog woke me by licking my face at five in the morning,synthetic://generated/woke/45
woke,0,i woke up in a cold sweat after that nightmare about my old job,synthetic://generated/woke/46
woke,1,calling a fantasy show woke because it has elves of different colors is wild,synthetic://generated/woke/47
woke,1,the ceo blamed woke employees for the company's poor performance instead of his strategy,synthetic://generated/woke/48
woke,1,twitter decided this brand is woke today so expect a boycott by tomorrow,synthetic://generated/woke/49
