uri,target_context,is_slang,synthetic
synthetic,i'm starting my winter arc tomorrow no more doomscrolling or skipping the gym,1,1
synthetic,the winter arc of the sun across the sky stays low which is why shadows are so long this time of year,0,1
synthetic,day 14 of my winter arc and i've already read three books and dropped six pounds,1,1
synthetic,the winter arc in demon slayer is honestly some of the best animation i've ever seen,0,1
synthetic,bro really thinks locking in for 90 days is gonna fix his life winter arc activated,1,1
synthetic,researchers tracked the winter arc of migrating geese using gps collars over three seasons,0,1
synthetic,if you're not on your winter arc rn what are you even doing with these cold months,1,1
synthetic,the show's winter arc dragged on for too many episodes before the final battle,0,1
synthetic,i'm deleting tiktok and going full winter arc until february,1,1
synthetic,the architect designed a graceful winter arc of skylights to capture the low seasonal sun,0,1
synthetic,she said her winter arc is journaling waking up at 5 and learning korean,1,1
synthetic,during the winter arc of the campaign the senator visited eleven swing states in two weeks,0,1
synthetic,this winter arc i'm becoming that guy and there's nothing you can do about it,1,1
synthetic,the manga's winter arc introduces the snow village and a whole new set of villains,0,1
synthetic,everyone on my feed is posting their winter arc routine and honestly it's motivating,1,1
synthetic,the winter arc of the planet's orbit brings it closer to the sun in january which seems counterintuitive,0,1
synthetic,no parties no situationships no excuses my winter arc starts october 1,1,1
synthetic,fans were disappointed by how the winter arc concluded in the third season,0,1
synthetic,you don't need a new years resolution you need a winter arc,1,1
synthetic,the winter arc rainbow visible at high latitudes is a rare phenomenon caused by ice crystals,0,1
synthetic,imagine telling your friends you're on a winter arc and then eating doordash every night,1,1
synthetic,she filmed a documentary about the winter arc of caribou herds across alaska,0,1
synthetic,starting my winter arc with a clean room a gym membership and zero contact with my ex,1,1
synthetic,the winter arc of the storyline focuses on grief and isolation which fits the snowy setting,0,1
synthetic,this is your sign to lock in for the winter arc you'll thank yourself in march,1,1
synthetic,engineers measured the winter arc of the bridge cables to check for thermal contraction,0,1
synthetic,my winter arc playlist is just hard rap and movie scores nothing else,1,1
synthetic,the chapter covering the winter arc of the war includes maps of the eastern front,0,1
synthetic,every guy on youtube has a video about how to dominate your winter arc this year,1,1
synthetic,she traced the winter arc of the comet through her telescope on a clear january night,0,1
synthetic,winter arc means cold showers cold runs and a colder attitude toward distractions,1,1
synthetic,the new dlc adds a winter arc with snowy maps and frost themed enemies,0,1
synthetic,i failed my winter arc last year but i refuse to let that happen again,1,1
synthetic,the photographer captured the winter arc of the milky way over a frozen lake,0,1
synthetic,people in the comments roasting him for posting his winter arc on day one already,1,1
synthetic,during the winter arc of training the marathon runners focused on indoor strength work,0,1
synthetic,winter arc is just self improvement repackaged for tiktok but honestly it works,1,1
synthetic,the winter arc shown in episode 12 reveals the protagonist's tragic backstory,0,1
synthetic,month one of my winter arc has been brutal but i feel like a different person already,1,1
synthetic,the dome's winter arc was engineered to shed heavy snow loads without collapsing,0,1
synthetic,if your winter arc doesn't include reading at least one book are you even trying,1,1
synthetic,historians often divide the conflict into a summer phase and a winter arc of stalemate,0,1
synthetic,telling my mom i'm in my winter arc and she just stared at me like i was insane,1,1
synthetic,the winter arc of the bird's migration covers nearly four thousand miles,0,1
synthetic,winter arc rules no alcohol no socials no junk food no scrolling past midnight,1,1
synthetic,in literature class we discussed the symbolic winter arc and how it parallels the heroine's descent,0,1
synthetic,bro started his winter arc in september i can't compete with that level of dedication,1,1
synthetic,the painter depicted the winter arc of a thin sun barely clearing the mountain peaks,0,1
synthetic,anyone else feel like the winter arc trend got way too corporate this year,1,1
synthetic,the documentary's winter arc of the antarctic expedition shows the crew battling fifty knot winds,0,1
synthetic,my winter arc is going great until i smell my neighbor's cookies through the wall,1,1
synthetic,the second volume covers the winter arc of the journey through the northern provinces,0,1
synthetic,real ones know the winter arc started october 1 not january 1,1,1
synthetic,weather models predict a shallow winter arc of the polar vortex this december,0,1
synthetic,you can't fumble the winter arc this time you've done it three years in a row,1,1
synthetic,the winter arc of the choir's tour included performances in five cathedrals,0,1
synthetic,going into my winter arc with no friends no plans and unmatched focus,1,1
synthetic,astronomers noticed the winter arc of the meteor shower differed slightly from predictions,0,1
synthetic,she made a vision board for her winter arc and pinned it above her desk,1,1
synthetic,in the painting the winter arc of bare branches frames the empty farmhouse beautifully,0,1
synthetic,my winter arc collapsed the moment my friends invited me to vegas,1,1
synthetic,the team's winter arc of away games stretched from november to early february,0,1
synthetic,doing my winter arc with my brother for accountability and we both feel locked in,1,1
synthetic,the winter arc described by the pendulum's swing slows noticeably as temperatures drop,0,1
synthetic,winter arc means trading every friday night out for an extra hour at the gym,1,1
synthetic,the museum's exhibit traces the winter arc of arctic exploration through artifacts and photographs,0,1
synthetic,y'all hyping up this winter arc like it's some new concept it's literally just discipline,1,1
synthetic,the gardener pruned the trees to follow the winter arc of available sunlight,0,1
synthetic,halfway through my winter arc and the glow up is real my coworkers keep asking what changed,1,1
synthetic,the novel's winter arc takes place in a remote cabin where the family slowly unravels,0,1
