uri,target_context,is_slang,synthetic
synthetic,i tightened the bolts with a ratchet because the wrench kept slipping off,0,1
synthetic,her outfit at the club last night was so ratchet i couldn't even look,1,1
synthetic,the ratchet mechanism on this socket wrench finally gave out after twenty years,0,1
synthetic,why are you acting so ratchet in front of his family,1,1
synthetic,you can hear the ratchet click as the chain feeds through the gear,0,1
synthetic,that whole party was ratchet and the cops showed up before midnight,1,1
synthetic,make sure the ratchet strap is fully tightened before you drive off with the load,0,1
synthetic,she looked ratchet walking out the gas station in pajamas and slippers,1,1
synthetic,the climber clipped into the ratchet ascender and started up the fixed rope,0,1
synthetic,stop being ratchet on main everyone can see your tweets,1,1
synthetic,i bought a new ratchet set from harbor freight for under thirty bucks,0,1
synthetic,the drama in that group chat is straight up ratchet behavior,1,1
synthetic,you'll need a quarter inch ratchet to get into that tight engine bay,0,1
synthetic,this reality show is so ratchet but i can't stop watching it,1,1
synthetic,the locking ratchet kept the cable from slipping back during the lift,0,1
synthetic,girl that lacefront is looking ratchet you need to fix it before the party,1,1
synthetic,use the ratchet handle for leverage when removing rusted bolts,0,1
synthetic,they were throwing chairs at the buffet which is peak ratchet energy,1,1
synthetic,the ratchet pawl engages the teeth to prevent backward motion of the gear,0,1
synthetic,her ex showed up at the wedding drunk yelling and it got ratchet real quick,1,1
synthetic,i prefer a flex head ratchet for working in cramped spaces under the dash,0,1
synthetic,no offense but that nail set is kinda ratchet for the price you paid,1,1
synthetic,the tow truck driver secured the car with a heavy duty ratchet strap,0,1
synthetic,she went full ratchet on tiktok and now her followers love her,1,1
synthetic,a small ratchet wrench is essential for any home mechanic's toolbox,0,1
synthetic,stop showing up to work looking ratchet at least brush your hair,1,1
synthetic,the spring loaded ratchet allows the gear to turn freely in one direction only,0,1
synthetic,i'm not gonna lie that wig is mad ratchet please take it off,1,1
synthetic,tighten the hose clamp with the ratchet driver until it stops turning,0,1
synthetic,the gas station bathroom was so ratchet i held it until i got home,1,1
synthetic,engineers used a ratchet drive to assemble the satellite components in orbit,0,1
synthetic,his baby mama drama is too ratchet for me to keep up with,1,1
synthetic,the antique pocket watch had a tiny ratchet inside the winding mechanism,0,1
synthetic,they were fighting in the walmart parking lot it was hella ratchet,1,1
synthetic,the bicycle freewheel uses a ratchet to let the wheel spin without pedaling,0,1
synthetic,don't invite her she always brings ratchet vibes to every function,1,1
synthetic,i grabbed the ratchet from the toolbox and got the lawnmower blade off,0,1
synthetic,the way she cussed out the cashier was so ratchet i was embarrassed,1,1
synthetic,this ratchet has a fine tooth count of seventy two for precision work,0,1
synthetic,lowkey that diner is ratchet but the pancakes are unreal,1,1
synthetic,rotate the ratchet counterclockwise to loosen the lug nuts on the wheel,0,1
synthetic,she went from classy to ratchet the moment that second margarita kicked in,1,1
synthetic,the foreman handed me an impact ratchet to speed up the assembly line work,0,1
synthetic,those acrylics are way too long and honestly kinda ratchet,1,1
synthetic,make sure the ratchet is engaged before you put weight on the jack stand,0,1
synthetic,everyone at that club was being ratchet and security had to step in,1,1
synthetic,the chain hoist uses a heavy steel ratchet to lift loads up to two tons,0,1
synthetic,she posted a ratchet rant on facebook at three in the morning again,1,1
synthetic,i need to find my torque ratchet before i can finish the brake job,0,1
synthetic,their whole friend group acts ratchet whenever they go out to eat,1,1
synthetic,the cable tie uses a small ratchet so it can only be tightened not loosened,0,1
synthetic,girl that fit is too ratchet for a job interview please change,1,1
synthetic,i picked up a stubby ratchet for working under the kitchen sink plumbing,0,1
synthetic,the comments on her post got real ratchet after she went viral,1,1
synthetic,the ratchet binder kept the load secured to the flatbed for the long haul,0,1
synthetic,you can't show up to brunch looking ratchet like that,1,1
synthetic,modern ratchet wrenches often feature a quick release button for changing sockets,0,1
synthetic,they got into a ratchet screaming match in the middle of target,1,1
synthetic,the carpenter used a ratchet clamp to hold the boards while the glue dried,0,1
synthetic,this whole episode of love island is so ratchet i live for it,1,1
synthetic,an inch pound ratchet is necessary for tightening small electronics fasteners properly,0,1
synthetic,she was acting ratchet in the dms and her boss saw everything,1,1
synthetic,the old man cranked the ratchet a few more times to set the trap,0,1
synthetic,honestly that motel was the most ratchet place i've ever stayed in,1,1
synthetic,use the breaker bar first then switch to the ratchet for the final turns,0,1
synthetic,her makeup was so ratchet she looked like she did it in the dark,1,1
synthetic,the climbing harness includes a ratchet buckle for quick adjustments on the wall,0,1
synthetic,stop bringing that ratchet energy into my house we don't act like that here,1,1
