uri,target_context,is_slang,synthetic
synthetic,she absolutely slayed that performance last night and the crowd went wild,1,1
synthetic,in the old legend the hero had to slay a fearsome dragon guarding the mountain pass,0,1
synthetic,okay queen go off and slay that interview today,1,1
synthetic,the knight raised his sword preparing to slay the beast that had terrorized the village,0,1
synthetic,her outfit at the gala was a serve she really came to slay,1,1
synthetic,ancient farmers would slay livestock as part of seasonal harvest rituals,0,1
synthetic,this new album is so good he ate and left no crumbs absolute slay,1,1
synthetic,the hunters were forced to slay the wounded animal to end its suffering,0,1
synthetic,you in that fit is a slay i can't even,1,1
synthetic,the warrior vowed to slay every enemy who had crossed the border,0,1
synthetic,tell me why my grandma showed up to thanksgiving and slayed harder than all of us,1,1
synthetic,mythological accounts describe how perseus had to slay the gorgon medusa with a polished shield,0,1
synthetic,the way she handled that rude customer was a complete slay,1,1
synthetic,the old testament recounts how david would slay his enemies in battle after battle,0,1
synthetic,periodt she slayed the house down boots and we are all crying,1,1
synthetic,in medieval europe peasants believed only a virgin maiden could lure and slay a unicorn,0,1
synthetic,his makeup tutorial is a slay i'm trying it tomorrow,1,1
synthetic,the saga tells of beowulf traveling to denmark to slay the monster grendel,0,1
synthetic,not them showing up in matching fits to slay the red carpet,1,1
synthetic,the ranchers had to slay several infected cattle to prevent the disease from spreading,0,1
synthetic,she really said let me slay this exam and walked out smiling,1,1
synthetic,the prophecy foretold that only a chosen child could slay the dark lord,0,1
synthetic,your hair is slaying right now girl what conditioner are you using,1,1
synthetic,the hunter set traps in the forest hoping to slay the wolf preying on his flock,0,1
synthetic,this brunch spot is a total slay the mimosas alone are worth it,1,1
synthetic,templars trained for years before being deemed ready to slay infidels in the holy land,0,1
synthetic,harry styles slayed coachella and i will not be taking questions,1,1
synthetic,in norse mythology thor would slay giants who threatened the realm of asgard,0,1
synthetic,okay slay i didn't know you had that in you,1,1
synthetic,soldiers were ordered to slay any combatant who refused to surrender,0,1
synthetic,the way beyonce slays every era is just unmatched honestly,1,1
synthetic,the matador prepared to slay the bull in the final act of the corrida,0,1
synthetic,she's been slaying her fitness journey and it shows,1,1
synthetic,ancient priests would slay a goat upon the altar as an offering to the gods,0,1
synthetic,my little sister wore the cutest outfit to school today literal slay,1,1
synthetic,knights of the round table swore an oath to slay all foes of the kingdom,0,1
synthetic,the way she slayed that note in the bridge sent me to another dimension,1,1
synthetic,exterminators were called in to slay the rats infesting the basement of the building,0,1
synthetic,go off bestie you're slaying this presentation,1,1
synthetic,the headline read militant group slays civilians in remote village raid,0,1
synthetic,her debut single is a slay i've had it on repeat all morning,1,1
synthetic,the legend says st george came to slay the dragon and save the princess,0,1
synthetic,you slayed the assignment babes i'm so proud of you,1,1
synthetic,according to the chronicle the king ordered his men to slay every traitor in the court,0,1
synthetic,she really woke up and chose to slay today huh,1,1
synthetic,the farmer had to slay the rabid dog before it could harm the children,0,1
synthetic,lana del rey slayed the new album cover and i'm obsessed,1,1
synthetic,vikings would often slay their captured enemies in ritual ceremonies,0,1
synthetic,his comeback line was a slay everyone in the comments is dying,1,1
synthetic,in the film the protagonist must slay the demon that murdered his family,0,1
synthetic,okay slay queen the hair the lashes the nails everything is giving,1,1
synthetic,samurai were trained from childhood to slay their lord's enemies without hesitation,0,1
synthetic,she ate down i fear and is currently slaying tiktok with that dance,1,1
synthetic,the police report described how the suspect tried to slay the victim before fleeing,0,1
synthetic,your edit slayed so hard please post the tutorial,1,1
synthetic,in arthurian tales sir lancelot would slay any knight who challenged his honor,0,1
synthetic,this lipstick shade is absolutely slaying on me right now,1,1
synthetic,the article explained how poachers continue to slay endangered rhinos for their horns,0,1
synthetic,she pulled up in vintage chanel to slay the press junket,1,1
synthetic,the elder vowed to slay the wolf that had been stalking the herd for weeks,0,1
synthetic,not the cat slaying in his little sweater i can't take this cuteness,1,1
synthetic,biblical accounts describe how samson would slay his enemies with the jawbone of a donkey,0,1
synthetic,no thoughts just rihanna slaying the super bowl halftime show forever,1,1
synthetic,the rangers were authorized to slay any animal that posed a threat to park visitors,0,1
synthetic,babe you slayed that thrift haul those finds are insane,1,1
synthetic,in the epic poem the hero must slay the chimera before returning home triumphant,0,1
synthetic,their wedding photos are a slay every single one belongs in a magazine,1,1
synthetic,the documentary showed how whalers used to slay dozens of whales in a single voyage,0,1
