uri,target_context,is_slang,synthetic
synthetic,bro woke up at 4am to hit the gym that's the grindset i need,1,1
synthetic,every podcast i listen to is just dudes preaching the grindset lifestyle,1,1
synthetic,she dropped out of college to chase the entrepreneur grindset and now she runs three businesses,1,1
synthetic,the hustle grindset crowd on linkedin is honestly exhausting to scroll past,1,1
synthetic,no days off no excuses pure grindset energy from monday to sunday,1,1
synthetic,tate fans think sleeping less than 5 hours is part of the grindset,1,1
synthetic,i'm trying to adopt the grindset mentality but my couch keeps winning,1,1
synthetic,real grindset means working on yourself even when nobody is watching,1,1
synthetic,my coworker posted another grindset quote over a picture of a lamborghini,1,1
synthetic,the toxic grindset culture online is making teenagers feel guilty for resting,1,1
synthetic,if you ain't grinding 18 hours a day you ain't on the grindset trust me,1,1
synthetic,joined a discord server full of guys talking about crypto and the grindset,1,1
synthetic,honestly the grindset content has gotten so cringe i had to unfollow everyone,1,1
synthetic,she calls her morning routine the grindset starter pack and posts it daily,1,1
synthetic,drinking black coffee at 5am is apparently the bare minimum for the grindset,1,1
synthetic,my brother fully bought into the sigma male grindset thing and it's so weird,1,1
synthetic,you can spot a grindset bro from a mile away by his bald head and timer app,1,1
synthetic,the entire fitness side of tiktok is just grindset bait now,1,1
synthetic,got my third job because the grindset never stops apparently,1,1
synthetic,people glorify the grindset but burnout is real and nobody talks about it,1,1
synthetic,he quotes david goggins every five minutes and calls it embracing the grindset,1,1
synthetic,i unfollowed all the grindset influencers and my mental health improved overnight,1,1
synthetic,trying to balance grindset goals with actually enjoying my twenties is impossible,1,1
synthetic,the algorithm keeps shoving grindset reels at me even though i never watch them,1,1
synthetic,nothing screams grindset like a guy in a hoodie typing on a laptop in a cafe at 6am,1,1
synthetic,his whole instagram bio is just grindset emojis and a motivational quote,1,1
synthetic,i love how the grindset community thinks rest is for the weak,1,1
synthetic,the new self help book is basically a 300 page grindset manifesto,1,1
synthetic,she posted about grindset mornings while drinking from a stanley cup the size of a bucket,1,1
synthetic,you don't need a grindset you need therapy honestly,1,1
synthetic,my boss forwarded a grindset article and i nearly quit on the spot,1,1
synthetic,the grindset is just capitalism rebranded for gen z and millennials,1,1
synthetic,if you're sleeping 8 hours you're not on the grindset according to twitter,1,1
synthetic,he started a youtube channel about productivity and the grindset is real bro,1,1
synthetic,honestly the anti grindset movement is way more relatable than the grindset itself,1,1
synthetic,every motivational reel ends with the same generic grindset line,1,1
synthetic,i tried the 5am club for a week and decided the grindset isn't for me,1,1
synthetic,she calls her side hustle a grindset and i call it unpaid overtime,1,1
synthetic,the grindset aesthetic involves matte black everything and a treadmill desk,1,1
synthetic,bro really said his grindset is unmatched while living in his mom's basement,1,1
synthetic,the wojak grindset memes always hit way too close to home,1,1
synthetic,i'm done with the grindset i just want a normal job and weekends off,1,1
synthetic,kids on tiktok are 14 and already talking about the grindset and passive income,1,1
synthetic,the patrick bateman edits really romanticized the corporate grindset for a whole generation,1,1
synthetic,my therapist told me to stop watching grindset content before bed,1,1
synthetic,her grindset includes journaling cold plunges and reading 50 books a year,1,1
synthetic,the grindset mindset is basically just hustle culture with extra steps,1,1
synthetic,stop trying to sell me a grindset course i just want to vibe,1,1
synthetic,they sell hoodies that say grindset on them for 80 bucks which is peak irony,1,1
synthetic,you can tell he's deep in the grindset because he hasn't seen his friends in months,1,1
synthetic,the entire finance bro grindset thing collapsed once interest rates went up,1,1
synthetic,i adopted the grindset for two weeks and almost lost my mind,1,1
synthetic,twitter is just grindset accounts arguing with each other about who works harder,1,1
synthetic,his morning grindset video has like 12 steps before breakfast and i'm exhausted watching it,1,1
synthetic,calling burnout a grindset is the most cope thing i've heard all week,1,1
synthetic,i appreciate ambition but the grindset rhetoric online is borderline cultlike,1,1
synthetic,my feed went from cooking videos to grindset content overnight and i hate it,1,1
synthetic,the grindset always conveniently leaves out generational wealth and luck,1,1
synthetic,she posted a grindset reel from her dad's yacht which is wild,1,1
synthetic,people who actually grind don't need to call it a grindset they just do it,1,1
synthetic,the only grindset i'm subscribed to is grinding coffee beans in the morning,1,1
synthetic,ngl the soft life is way more appealing than the grindset will ever be,1,1
synthetic,watching him glorify the grindset while clearly miserable is kinda sad,1,1
synthetic,the alpha male grindset pipeline is real and it's claiming my little brother,1,1
synthetic,she charges 500 a month for a grindset accountability group which is criminal,1,1
synthetic,if i see one more grindset post about waking up before the sun i'll scream,1,1
synthetic,the grindset crowd discovered cold showers and now we'll never hear the end of it,1,1
synthetic,my friend's whole personality became the grindset after he watched one andrew tate clip,1,1
synthetic,anti grindset tweets are saving my soul this week honestly,1,1
