target,is_slang,target_context,uri
dude,,"of crops, he and his Philadelphia socialite wife, Frances Mears, established the successful STS Dude Ranch on the property. When dude ranching declined Estes sold to the Muries in 1945. The Murie Ranch provided a home for renowned wildlife biologists Olaus",http://www.greateryellowstonescience.org/node/1048
dude,,"5th US PBA Open. Don’t get me wrong, competitive people often get caught up in the moment, but come on dude, it’s bowling. I understand that it’s your whole life, but it’s still just bowling. If you can drink beer and",http://banana1015.com/pro-bowler-freaks-out-after-hitting-strike/
dude,,I know first hand. Dam Thanks Bro! I know I saw him Commenting on an old 2012 Typepad Creation thread! Dude you so Just Made my day!!! Waiting on your reply back!!! Man I love Blackhat World!!!! Except for a incident,https://www.blackhatworld.com/seo/looking-to-buy-old-typepad-accounts-with-a-free-blog.711683/
dude,,"and convinced of their own righteousness are inclined to be arrogant. That’s what makes an effective, if remorseless, revolutionary. The Dude, Dowd, was just an especially flamboyant example of this. He and Lerner ended up as part of the notorious Seattle",http://blog.seattlepi.com/davidhorsey/2009/07/20/the-big-lebowski-and-me/
dude,,"lunch bought from the petrol station driving through the car wash, Pip frowned at me every time I called her 'dude.' Egg found the whole thing hilarious, carrying her like a rugby call and giving her my sunnies to chew. Yep,",http://britishexpats.com/blogs/StevieB/friends/
dude,,"a limit to the size of an ego on BZP?""Entry 7: ""There's this member who keeps calling me ""an cool dude"" and it's really been doing wonders for my self-esteem! I wanted to give him a proto boost, but I was",http://www.bzpower.com/board/topic/4355-answer-questioned-topic-closed-poll-q/?p=232149
dude,,"clothes, a key ingredient of Sierra Camp parties. One girlfriend brought multicolored fluorescent cat-emblazoned leggings and a pink wig. Another dude brought a prom dress. Paul’s brother would be there, and for him I brought a vintage Stanford golf shirt, brightly",https://modernloss.com/my-wedding-gowns-last-dance/
dude,,2011) LMAOOOOO I was waiting for that. Boy that is funny!!! 66. darkkjedii (Posts: 14430; Member since: 05 Feb 2011) Dude I'm still rolling off that galaxy S3s 52. anjel1708 (Posts: 27; Member since: 06 Mar 2013) That was embarrassing to,http://www.phonearena.com/news/Samsung-Galaxy-S-4-is-officially-unveiled_id40856/comments/page/2
dude,,"if this was out of line... I ask that you give me a second chance. I truly do. Warmest, Diaper Dude Provider - So you read over my site and saw that I was ""adamant"" in regards to not entertaining fetishes",http://thetimewaster.com/oddfetishes
dude,,WHITE sucking BLACK cock woman pounded by black dude 2 Blacks on Wife Amateur MILF Interracial Husband watching his wife getting fucked hard HORNY redhead gets fucked by a,http://www.youporn.com/watch/6603/woman-enjoying-a-black-dick/
dude,,"your new pair of shoes… Hey, Dude original laces don’t require tying due to their easy-on lace fit and Hey Dude lace locks. The Men’s Wally, Paul, Jack, and Walsh, as well as the Women’s Wendy and Polly, use this simple",https://www.workbootsusa.com/how-to-tighten-hey-dude-shoes/
dude,,"subject line Love moms hit me up asap I am a professional, foxey darling waiting to meet an traditional, handsome dude for fun and laughter in the ScrantonWilkes-Barre} area. W4m As the post said I am looking for chemistry in and",https://techpaedia.com/escorts-in-uk.html
dude,,"figure climbing in the dark would be better than not sleeping, and I can tell Isaac is not sleeping either. ""Dude, you asleep?"" I asked. ""No, too excited"" he replied. We get up at 3:00 AM rather than continue to toss",http://www.summitpost.org/finding-liberty-april-4-9-2006/213632
dude,,"an asset is his insane cunning and penchant for Rube Goldberg-esque plans in this story? White: He just kills one dude. Just Stilt Man. Bunn: Well, there goes my pitch for a follow-up: ""Stilt Man Stomps the Marvel Universe."" White: That",http://www.comicbookresources.com/?page=article&id=38653
dude,,"u like intense gay cybersex... is that true? If u r into that kind stuff just give me a call^^ Dude, where are you watching Cross Fight B-Daman? I can't find it past episode 6.",http://www.anime-planet.com/users/Nihatclodra?page=2
dude,,"the next morning the Governor pays Pete a visit. ""We need to talk,"" he says somberly, and Pete's like, oh dude I know my brother is a TOTAL -- hey why's there a knife sticking out of my back? Having dispatched",http://thestir.cafemom.com/entertainment/164623/walking_dead_recap_the_governor?utm_medium=feed&utm_source=feedburner&utm_campaign=Feed%3A+cafemom%2Fthestir%2Fentertainment+%28The+Stir+By+CafeMom%3A+Entertainment%29
dude,,"the easy-listening style of the Eagles and the pompousness of prog-rock. The Eagles’ songs were so overplayed. Just ask the Dude in The Big Lebowski, who went ballistic when Peaceful Easy Feeling came on the radio in a cab in which",http://www.scmp.com/culture/music/article/2008391/why-world-loves-and-hates-1970s-country-rockers-eagles
dude,,"as ian robertson, our brilliant team videorapher (seriously, if you need a videographer for some freelance work, this is your dude), recently sent along this longer video version of our experiences in marassa. and, while the memories and feelings were never",http://whyismarko.com/the-story-of-marassa/
