target,is_slang,target_context,uri
era,1,my mom said she's in her main character era at fifty five,synthetic://generated/era/0
era,0,the renaissance era produced some of the most celebrated artworks in human history,synthetic://generated/era/1
era,0,ancient greek civilization spanned multiple eras of cultural development,synthetic://generated/era/2
era,1,she just turned thirty and entered her unbothered era,synthetic://generated/era/3
era,0,the heian era of japan produced the world's first novel according to many scholars,synthetic://generated/era/4
era,0,the edo era of japan lasted from 1603 to 1868 under tokugawa rule,synthetic://generated/era/5
era,1,this song is so good it's giving early 2000s era taylor,synthetic://generated/era/6
era,0,the steam era revolutionized transportation and industry across europe,synthetic://generated/era/7
era,0,the silent film era ended abruptly with the introduction of synchronized sound,synthetic://generated/era/8
era,1,i swear this is my last toxic era i mean it this time,synthetic://generated/era/9
era,0,the apollo era of space exploration produced incredible scientific breakthroughs,synthetic://generated/era/10
era,0,during the depression era many families migrated west in search of work,synthetic://generated/era/11
era,1,i'm in my matcha era and refuse to drink coffee anymore,synthetic://generated/era/12
era,1,i'm in my delusional era and convinced my crush will text me back,synthetic://generated/era/13
era,0,the medieval era was marked by feudal systems and frequent religious conflicts,synthetic://generated/era/14
era,0,geologists divide earth's history into eons eras periods and epochs,synthetic://generated/era/15
era,1,this whole album is her revenge era and the lyrics are brutal,synthetic://generated/era/16
era,1,she's fully in her healing era right now and i love that for her,synthetic://generated/era/17
era,1,i'm in my hot girl summer era and nobody can tell me otherwise,synthetic://generated/era/18
era,0,the era of dial up internet feels like ancient history to teenagers today,synthetic://generated/era/19
era,1,literally entering my no makeup era because i'm too tired to bother,synthetic://generated/era/20
era,1,he's deep in his bookish era reading two novels a week,synthetic://generated/era/21
era,1,we love this for him entering his soft boy era unprompted,synthetic://generated/era/22
era,1,manifesting that this is finally my rich auntie era,synthetic://generated/era/23
era,0,archaeologists dated the pottery to the early bronze era based on its composition,synthetic://generated/era/24
era,0,the post war era brought unprecedented economic growth to the united states,synthetic://generated/era/25
era,1,officially entering my touch grass era after deleting all my apps,synthetic://generated/era/26
era,0,an entire era of television ended when that finale aired in 2004,synthetic://generated/era/27
era,0,historians often describe the gilded era as a time of stark inequality,synthetic://generated/era/28
era,0,the bronze era artifacts in this museum date back over three thousand years,synthetic://generated/era/29
era,0,the disco era of the late seventies defined a whole generation of music,synthetic://generated/era/30
era,0,we are in a new era of fan engagement now that everyone has social media,synthetic://generated/era/31
era,1,low key in my homebody era and i've never been happier,synthetic://generated/era/32
era,0,the victorian era saw massive changes in industry and social structure across britain,synthetic://generated/era/33
era,1,i'm in my answer no calls era and my voicemail is full,synthetic://generated/era/34
era,1,we love to see him in his dad era posting baby photos every other day,synthetic://generated/era/35
era,1,he's in his sad boy era playing phoebe bridgers on repeat,synthetic://generated/era/36
era,1,he's in his gym era and won't stop posting shirtless mirror selfies,synthetic://generated/era/37
era,1,drake is in his rant era again on instagram apparently,synthetic://generated/era/38
era,1,she's in her boss era and just got promoted twice in one year,synthetic://generated/era/39
era,1,i'm officially in my no contact era and the peace is unmatched,synthetic://generated/era/40
era,0,the meiji era transformed japan into a modern industrial power within a few decades,synthetic://generated/era/41
era,0,we are entering a new era of artificial intelligence whether we like it or not,synthetic://generated/era/42
era,1,i'm in my soft launch era and y'all will not get a face reveal,synthetic://generated/era/43
era,0,the progressive era introduced sweeping reforms to labor laws and public health,synthetic://generated/era/44
era,1,bro is in his villain era and the group chat is suffering,synthetic://generated/era/45
era,0,the byzantine era preserved much classical knowledge after the fall of rome,synthetic://generated/era/46
era,1,im in my say yes to everything era and somehow signed up for a marathon,synthetic://generated/era/47
era,0,the jurassic era is technically a period but everyone calls it that anyway,synthetic://generated/era/48
era,0,the tang era is widely considered a high point of chinese poetry and culture,synthetic://generated/era/49
