uri,target_context,is_slang,synthetic
synthetic,that clutch at the end of the match was so pog i had to rewatch it,1,1
synthetic,my grandma kept a tin full of pog discs from the nineties in her attic,0,1
synthetic,honestly getting a shiny on the first try is genuinely pog,1,1
synthetic,the museum exhibit on 90s playground crazes had a whole display case of pog collections,0,1
synthetic,bro that speedrun was actually pog i can't believe he hit the skip first try,1,1
synthetic,i traded my best pog for a holographic slammer and regretted it for years,0,1
synthetic,no way they added that feature finally pog,1,1
synthetic,the original pog game involved stacking cardboard discs and slamming them with a heavier piece,0,1
synthetic,that's pog dude congrats on the promotion,1,1
synthetic,i found an unopened pack of pog discs at a yard sale for two dollars,0,1
synthetic,chat said pog like a thousand times when he pulled off that no scope,1,1
synthetic,the brand name pog actually comes from passionfruit orange and guava juice from hawaii,0,1
synthetic,free dlc for everyone that's pretty pog ngl,1,1
synthetic,we used to play pog at recess and the teachers eventually banned it,0,1
synthetic,this update is genuinely pog the devs cooked,1,1
synthetic,she ordered a glass of pog with her breakfast at the hotel in honolulu,0,1
synthetic,imagine getting a pentakill in your first ranked game that would be so pog,1,1
synthetic,the cardboard pog originated as a milk cap from a hawaiian dairy company,0,1
synthetic,pog moment when the boss dropped the legendary on my first attempt,1,1
synthetic,my brother still has a binder full of every tazo and pog he collected as a kid,0,1
synthetic,okay that combo was actually pog where did you learn that,1,1
synthetic,the slammer is the heavy disc used to flip the pog stack in the original game,0,1
synthetic,free shipping over twenty bucks is pretty pog if you ask me,1,1
synthetic,she sipped her pog juice on the lanai while watching the surfers,0,1
synthetic,ngl that last play was pog tier,1,1
synthetic,the pog craze of 1994 was a major cultural moment for elementary schoolers,0,1
synthetic,getting the achievement on hardcore mode is straight up pog,1,1
synthetic,vintage pog sets in mint condition can actually go for surprising amounts on ebay,0,1
synthetic,the new patch notes look pog i can't wait to try the rework,1,1
synthetic,the haleakala dairy first sold pog as a tropical juice blend in the seventies,0,1
synthetic,yo that frag was pog put it on the highlight reel,1,1
synthetic,kids would flip a pog and keep whichever ones landed face up,0,1
synthetic,got front row tickets to the concert pog,1,1
synthetic,the small disc you flick is called a pog and the metal one is the slammer,0,1
synthetic,honestly a five star review is pog enough you don't need to write a paragraph,1,1
synthetic,she pulled out an old pog collection from her childhood bedroom to show her kids,0,1
synthetic,anyone else think the new map is pog or is it just me,1,1
synthetic,the convenience store in maui sold pog in cartons next to the regular orange juice,0,1
synthetic,winning your first tournament solo is such a pog feeling,1,1
synthetic,every pog in this lot has a different cartoon design which makes them harder to value,0,1
synthetic,the speedrunners chat exploded with pog when the world record fell,1,1
synthetic,the milk cap manufacturer eventually sued over the pog trademark,0,1
synthetic,she stream sniped him and he still won that's pog,1,1
synthetic,i'll grab a small pog and a malasada from the bakery on the way home,0,1
synthetic,got promoted at work today pog moment for real,1,1
synthetic,kids in the early nineties would stack pog after pog to make the tallest tower,0,1
synthetic,that drop rate buff is actually pog the grind feels reasonable now,1,1
synthetic,i restored an old pog slammer i found in the garage and it looks brand new,0,1
synthetic,carrying four randoms to a win is pog behavior,1,1
synthetic,the hawaiian sun brand still produces pog drinks for the local market,0,1
synthetic,pog champ moment when the underdog team swept the finals three to zero,1,1
synthetic,we set the pog stack on the picnic table and took turns slamming it,0,1
synthetic,free skins in the battle pass that's actually pog of them,1,1
synthetic,my dentist had a jar of pog discs in the waiting room as prizes for kids,0,1
synthetic,she hit a one shot from across the map and chat went absolutely pog,1,1
synthetic,you can still buy retro pog packs at some collector shops in honolulu,0,1
synthetic,double xp weekend is so pog finally i can grind out the prestige,1,1
synthetic,the term pog is short for passionfruit orange and guava the original juice flavor,0,1
synthetic,no lag servers in the new region pog news for us aussies,1,1
synthetic,vintage pog tubes from the nineties are surprisingly hard to find sealed,0,1
synthetic,back to back wins on ranked that's pog,1,1
synthetic,the cap on each pog featured anything from sports logos to cartoon characters,0,1
synthetic,honestly anyone clutching that round one v three deserves a pog in chat,1,1
synthetic,she poured pog over crushed ice and added a splash of soda for the party,0,1
synthetic,pog noises when the dev team announces a new expansion next month,1,1
synthetic,we found an entire shoebox of pog at the thrift store for three dollars,0,1
synthetic,her cosplay at the convention was so pog she won the contest,1,1
synthetic,the pog game was originally played with milk caps in hawaii decades before the craze,0,1
