target,is_slang,target_context,uri
pumped,,"from other programs. A bond buying program the Fed completed in June was widely criticized internally and externally because it pumped $600 billion of newly printed money into the financial system, sparking fears of inflation. House Speaker John Boehner (R-Ohio), Senate",http://nypost.com/2011/09/21/fed-to-boost-share-of-long-term-treasurys-by-400b-in-effort-to-spur-economy/
pumped,,"watching mode each year with VT football. I love summer but nothing compares to Fall and God's sport.... Got me pumped. 90 days away! is this where i make videos and post them? Yes, post away! Vid popped up recently from",http://sportshoop.la/threads/videos-of-the-perennial-acc-football-champions.30642/page-7
pumped,,"of economic collapse in the U.S.. In 2008 the big banks were saved when hundreds of billions of dollars were pumped into the banking system […] but interestingly when the poor Americans lose their houses, lose their jobs, nobody is there",http://www.mcgilldaily.com/2016/11/socialist-fightback-against-trump/
pumped,,"L. Jackson literally spends the entire film in a wheelchair, his Mr. Glass character unable to even walk (plus supposedly pumped full of anti-psychotic medication) and doesn’t even have a single line until about an hour in, at least appeared to",https://moviemansguide.com/main/2019/04/review-glass-4k-bd/
pumped,,"on. But some point during the third quarter, they figured that Greg Slaughter was in fact on their team and pumped the ball into him leading to his 23 points off 9-14 shooting. Later on, Ginebra remembered they were trying to",https://tonesanddefinition.com/2015/02/03/pba-recap-week-1-let-the-games-begin/
pumped,,"this occurs, the heart muscles are all working, but are out of synchronisation with each other - no blood is pumped and the host dies (about 4-6 minutes before irreversible brain damage to carbon based lifeforms such as humans). If your",http://sound.westhost.com/articles/electrocution.htm
pumped,,"second half as Smithville played catch up, doubling the Tigers point production and outscoring them 13-10 in overtime. William Dean pumped in 17 points to lead the Tigers, while Cody Skubal added 16 and Ethan Brinkley 13. Le’Raven Clark secured 11",http://www.rockdalereporter.com/news/2011-02-17/Sports/Tigers_go_down_fighting.html
pumped,,"to go on this could go into R or L sided heart failure. When this happens, blood that should be pumped out of the heart backs up in the lungs (L sided failure) or in the tissues (R sided failure). The",http://www.striveforgoodhealth.com/archives/date/2013/10/page/2
pumped,,"cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface. - Hayter Well (14.3km) - a low place in a ridge, not used for transportation.",http://travelingluck.com/North%20America/United%20States/Texas/_5518583_Cedar%20Windmill.html
pumped,,"means ‘spirit in the water’ symbolises traditional links to the area, while referencing the dynamic use of water within the pumped hydro renewable energy system. Dr Blackman said, ‘It was powerful to be on country to explain the rich cultural heritage",https://fuelcellsworks.com/news/world-first-renewable-power-project-collaborates-with-traditional-owners-in-central-queensland/
pumped,,"see healthy FPI inflows at Rs 2.2 trn in FY'18: ICRA Fri, Jan 05, 2018 Foreign portfolio investors (FPIs) have pumped in investments amounting to Rs 484 billion (USD 7 billion) in 2016-17, ICRA said in a report. Govt's recapitalisation package",http://www.zeebiz.com/topics/icra
