uri,target_context,is_slang,synthetic
synthetic,i spent three hours last night trying not to doomscroll but ended up reading every awful headline,1,1
synthetic,every time i open twitter i just doomscroll until my eyes hurt and i feel terrible,1,1
synthetic,stop letting yourself doomscroll before bed it's wrecking your sleep,1,1
synthetic,i need to delete tiktok because i doomscroll for four hours straight every night,1,1
synthetic,the urge to doomscroll during election week is honestly unbearable,1,1
synthetic,my therapist told me to put my phone in another room so i can't doomscroll first thing in the morning,1,1
synthetic,instead of journaling i doomscroll through climate news and convince myself the world is ending,1,1
synthetic,she would doomscroll on the toilet for 45 minutes and her legs would go numb,1,1
synthetic,i caught myself starting to doomscroll again so i closed the app and went for a walk,1,1
synthetic,doomscroll culture has rotted everyone's attention span beyond repair,1,1
synthetic,my new year's resolution is to doomscroll less and read more books,1,1
synthetic,you can really tell when someone has been awake too long because they just doomscroll in silence,1,1
synthetic,i tried to doomscroll less this week and honestly my anxiety dropped a noticeable amount,1,1
synthetic,nothing beats the existential dread of a 2am doomscroll session,1,1
synthetic,lately i doomscroll reddit instead of twitter but the result is the same,1,1
synthetic,he would doomscroll through reuters every morning and arrive at work already depressed,1,1
synthetic,the algorithm is literally designed to make you doomscroll for as long as possible,1,1
synthetic,i refuse to doomscroll on vacation this year my brain needs the rest,1,1
synthetic,why do i doomscroll war footage at 3am like it's going to help anyone,1,1
synthetic,after the layoffs were announced everyone in the office just sat at their desks and started to doomscroll,1,1
synthetic,i installed an app blocker so i can't doomscroll past midnight anymore,1,1
synthetic,doomscroll mode activated as soon as i saw the news notification,1,1
synthetic,she swore off her phone for a month after realizing she would doomscroll for six hours daily,1,1
synthetic,if i doomscroll one more headline about the housing market i'm going to lose it,1,1
synthetic,my partner caught me about to doomscroll and gently pried the phone from my hand,1,1
synthetic,covid lockdown is when i first learned how to truly doomscroll,1,1
synthetic,you don't have to doomscroll to be informed there's a difference,1,1
synthetic,i used to read before bed now i doomscroll until i pass out,1,1
synthetic,his doctor told him the doomscroll habit was contributing to his elevated blood pressure,1,1
synthetic,we all doomscroll but at some point you have to ask what it's actually doing for you,1,1
synthetic,the article warned readers not to doomscroll through breaking coverage of the disaster,1,1
synthetic,i deleted instagram because i would doomscroll comparison content for hours,1,1
synthetic,trying to doomscroll less in 2024 is harder than quitting smoking honestly,1,1
synthetic,my kids see me doomscroll all day and then i tell them to put their phones down,1,1
synthetic,after the breakup i did nothing but doomscroll her old posts for two weeks,1,1
synthetic,doomscroll behavior spikes massively during international crises according to a new study,1,1
synthetic,i tried meditation but i just want to doomscroll the entire time,1,1
synthetic,people doomscroll because their brains are addicted to feeling something even if it's terror,1,1
synthetic,going to grab coffee and doomscroll for ten minutes brb,1,1
synthetic,the dorm went silent as everyone pulled out their phones to doomscroll the breaking news,1,1
synthetic,you cannot doomscroll your way to political change unfortunately,1,1
synthetic,every morning starts the same i wake up reach for my phone and doomscroll for twenty minutes,1,1
synthetic,i banned myself from twitter on weekends to break the doomscroll cycle,1,1
synthetic,she'll doomscroll through bad news and then wonder why she can't sleep,1,1
synthetic,doomscroll fatigue is real and it's why so many young people feel hopeless,1,1
synthetic,i caught my grandma starting to doomscroll on facebook about the wildfires,1,1
synthetic,let me just doomscroll for five more minutes and then i'll go to bed she said three hours ago,1,1
synthetic,the wellness coach said replacing doomscroll time with walks changed her life,1,1
synthetic,i'd rather doomscroll than face the pile of dishes in my sink,1,1
synthetic,when the market crashed traders started to doomscroll cnbc and bloomberg simultaneously,1,1
synthetic,doomscroll less touch grass more is genuinely good advice,1,1
synthetic,i don't even enjoy it anymore i just doomscroll out of habit,1,1
synthetic,the new screen time report told me i doomscroll an average of 5 hours a day and i wanted to cry,1,1
synthetic,during the pandemic i would doomscroll the case counts until i made myself sick,1,1
synthetic,no judgment if you doomscroll tonight we all need to cope somehow,1,1
synthetic,doomscroll less and your nervous system will thank you i promise,1,1
synthetic,she described her morning routine as wake up doomscroll cry repeat,1,1
synthetic,researchers coined the term doomscroll to describe pandemic era media consumption habits,1,1
synthetic,i set my phone to grayscale so it's less fun to doomscroll,1,1
synthetic,you know it's bad when you doomscroll through a stranger's tragedy and feel nothing,1,1
synthetic,stop doom scroll wait i mean stop trying to doomscroll your way out of anxiety it doesn't work,1,1
synthetic,the entire bus was full of commuters quietly trying to doomscroll their way through monday,1,1
synthetic,i made a rule that i won't doomscroll until after breakfast at minimum,1,1
synthetic,honestly the only cure for the urge to doomscroll is putting your phone in another room,1,1
synthetic,after the verdict came down half the country logged on to doomscroll commentary all night,1,1
synthetic,doomscroll is now in the dictionary which says everything about modern life,1,1
synthetic,i wish i could go back to before i knew how to doomscroll,1,1
synthetic,my screen time was so bad last week i had to admit i doomscroll as a coping mechanism,1,1
synthetic,the panel discussed how doomscroll behavior intersects with rising rates of teen depression,1,1
