uri,target_context,is_slang,synthetic
synthetic,my older bro just got accepted into med school and we're throwing a huge party,0,1
synthetic,bro really thought he could skip leg day and still hit those squats,1,1
synthetic,i was raised by my mom and my bro after our dad passed away,0,1
synthetic,nah bro that's not how you parallel park,1,1
synthetic,her little bro is starting kindergarten this fall and she's super emotional about it,0,1
synthetic,bro woke up and chose violence today istg,1,1
synthetic,i borrowed my bro's car for the weekend trip to the lake,0,1
synthetic,bro you cannot be serious with that take on the new album,1,1
synthetic,the suspect's bro testified against him during the trial last tuesday,0,1
synthetic,pls bro just one more game i swear it's the last one,1,1
synthetic,my twin bro and i have completely opposite personalities despite looking identical,0,1
synthetic,bro thinks he's him for finishing the level on easy mode,1,1
synthetic,she dedicated the book to her late bro who inspired her writing career,0,1
synthetic,yo bro can you pass me the controller real quick,1,1
synthetic,his bro picked him up from the airport at three in the morning,0,1
synthetic,bro got dressed in the dark and went to the wedding looking like that,1,1
synthetic,i'm closer to my step bro than i ever was with my biological siblings,0,1
synthetic,stop crying bro it's literally just a video game,1,1
synthetic,my bro is six years younger and looks up to me a lot,0,1
synthetic,bro really pulled up to the cookout with store bought potato salad,1,1
synthetic,the eulogy from his bro had everyone in tears at the funeral,0,1
synthetic,okay but hear me out bro this restaurant has the best wings in town,1,1
synthetic,i'm going to visit my bro in seattle for thanksgiving this year,0,1
synthetic,bro out here acting like he invented basketball after one good shot,1,1
synthetic,her bro graduated from the naval academy with honors last spring,0,1
synthetic,chill bro nobody asked for your opinion on the matter,1,1
synthetic,my bro lent me five hundred bucks when i was struggling with rent,0,1
synthetic,bro you gotta stop texting your ex at two in the morning,1,1
synthetic,his younger bro is on the autism spectrum and is the sweetest kid,0,1
synthetic,lmao bro really said that with his whole chest,1,1
synthetic,i was babysitting my bro while my parents were on vacation in italy,0,1
synthetic,tell me you're broke without telling me you're broke bro,1,1
synthetic,the documentary follows two bros who escaped war torn syria as children,0,1
synthetic,ngl bro that haircut is kinda fire,1,1
synthetic,my bro is the godfather of my newborn daughter and he takes it very seriously,0,1
synthetic,bro acting like he didn't just lose to a twelve year old online,1,1
synthetic,she shares a bedroom with her bro until they can afford a bigger apartment,0,1
synthetic,wait bro you've never seen breaking bad before,1,1
synthetic,the obituary mentioned that he is survived by his wife two children and one bro,0,1
synthetic,bro really showed up to the gym in jeans and dress shoes,1,1
synthetic,my bro got married last summer to his college sweetheart,0,1
synthetic,go off bro i guess we're all just supposed to agree with you now,1,1
synthetic,the article profiled three bros who started a successful tech company together,0,1
synthetic,bro literally cannot read the room to save his life,1,1
synthetic,i wish i had a bro growing up instead of being an only child,0,1
synthetic,deadass bro that movie was a complete waste of two hours,1,1
synthetic,my bro and his wife are expecting their first baby in october,0,1
synthetic,bro out here flexing a rolex but can't afford his car payment,1,1
synthetic,the police chief's bro was implicated in the corruption scandal,0,1
synthetic,what's good bro long time no see how have you been,1,1
synthetic,my bro convinced our parents to let me go to the concert with him,0,1
synthetic,bro thinks one protein shake is gonna turn him into the rock,1,1
synthetic,his bro served three tours overseas before retiring from the military,0,1
synthetic,nah bro i'm not falling for that scam again,1,1
synthetic,i tagged my bro in that meme because it reminded me of his cooking,0,1
synthetic,bro this pizza is actually elite where did you order it from,1,1
synthetic,my bro taught me how to ride a bike when i was seven,0,1
synthetic,bro you've been on that same level for like three hours give up,1,1
synthetic,the suspect's bro provided an alibi that detectives are still verifying,0,1
synthetic,respectfully bro you have no idea what you're talking about right now,1,1
synthetic,my bro plays varsity football and is being scouted by several universities,0,1
synthetic,bro woke up looking like a discount version of his profile pic,1,1
synthetic,she calls her best friend's husband bro because they're practically family,0,1
synthetic,bro i'm telling you the new spider man movie is gonna flop,1,1
synthetic,my bro is allergic to peanuts so we never have them in the house,0,1
synthetic,i love you bro but you're dead wrong about this one,1,1
synthetic,the memoir details her complicated relationship with her estranged bro,0,1
synthetic,bro really tried to convince us that cereal is a soup,1,1
synthetic,my bro picked up the kids from school since i was stuck in traffic,0,1
synthetic,fr bro this heatwave is unbearable i can't even step outside,1,1
synthetic,his bro runs a small bakery in the neighborhood that everyone loves,0,1
