uri,target_context,is_slang,synthetic
synthetic,every kid in my class won't stop screaming 6-7 during math and i'm losing my mind,1,1
synthetic,the lakers lost by a final score of 6-7 in a low scoring preseason scrimmage,0,1
synthetic,my little brother just yells 6-7 at the dinner table for no reason now,1,1
synthetic,the recipe calls for 6-7 cloves of garlic depending on how strong you like it,0,1
synthetic,bro really said 6-7 mid sentence and the whole group chat exploded,1,1
synthetic,kids aged 6-7 are typically in first grade in the united states,0,1
synthetic,i asked him how the test went and he just smirked and said 6-7,1,1
synthetic,the dough should rest for 6-7 hours before you shape it into loaves,0,1
synthetic,my teacher banned the word 6-7 in her classroom after one week of school,1,1
synthetic,the suspect was described as a man approximately 6-7 feet tall wearing dark clothing,0,1
synthetic,tiktok has completely ruined an entire generation with this 6-7 nonsense,1,1
synthetic,argentina beat brazil 6-7 in a wild penalty shootout last night,0,1
synthetic,when she asked how i felt about the situation i just shrugged and said 6-7,1,1
synthetic,you'll need to bake the casserole for 6-7 minutes until the cheese melts,0,1
synthetic,i swear if i hear one more 6-7 from a sixth grader i'm transferring schools,1,1
synthetic,the patient should take 6-7 pills spread evenly throughout the day,0,1
synthetic,the substitute teacher had no idea why the kids kept yelling 6-7 at her,1,1
synthetic,this hike usually takes 6-7 hours so make sure you start before sunrise,0,1
synthetic,everything is 6-7 now apparently and nothing means anything anymore,1,1
synthetic,the company posted earnings between 6-7 billion dollars for the third quarter,0,1
synthetic,i can't believe 6-7 is genuinely the brainrot phrase of the year,1,1
synthetic,she gave the movie a rating of 6-7 out of ten on her letterboxd review,0,1
synthetic,every time the teacher says any number with a six or seven the class chants 6-7,1,1
synthetic,expect delivery within 6-7 business days for orders placed before noon,0,1
synthetic,my coworker keeps doing the 6-7 hand motion and i want to quit my job,1,1
synthetic,the kentucky game ended 6-7 in a defensive struggle nobody expected,0,1
synthetic,asked my nephew what he wants for christmas and he just said 6-7 and laughed,1,1
synthetic,you should aim for 6-7 hours of sleep per night to stay healthy,0,1
synthetic,the way these kids are weaponizing 6-7 against substitute teachers is hilarious,1,1
synthetic,the suspect was approximately 6-7 inches taller than the witness described,0,1
synthetic,i used to think skibidi was bad but 6-7 is genuinely making me lose hope,1,1
synthetic,we sliced the bread into 6-7 even pieces for the sandwich platter,0,1
synthetic,if someone says 6-7 to me one more time i'm walking into the ocean,1,1
synthetic,the storm dropped 6-7 inches of snow on the eastern part of the state,0,1
synthetic,she did the 6-7 motion when her boyfriend asked if she loved him,1,1
synthetic,kids between 6-7 years old should be reading short chapter books,0,1
synthetic,my friend texted me 6-7 with no context and i somehow understood,1,1
synthetic,the temperature is expected to drop 6-7 degrees overnight bring a jacket,0,1
synthetic,saying 6-7 unironically is a war crime at this point in 2024,1,1
synthetic,you can usually buy a decent used bicycle for 6-7 hundred dollars,0,1
synthetic,the principal had to ban 6-7 over the intercom this morning lmao,1,1
synthetic,we caught 6-7 fish before the rain started rolling in from the west,0,1
synthetic,even the dog is doing 6-7 at this point and i can't escape,1,1
synthetic,the project deadline is 6-7 weeks out so we have plenty of time to plan,0,1
synthetic,explaining 6-7 to my mom was the most humbling conversation of my life,1,1
synthetic,the puppy weighed only 6-7 pounds when we adopted her from the shelter,0,1
synthetic,found a 6-7 brainrot compilation on youtube and i don't recognize my country anymore,1,1
synthetic,she ordered 6-7 boxes of supplies to last through the winter season,0,1
synthetic,the way she said 6-7 in the middle of her presentation killed me,1,1
synthetic,applicants should have 6-7 years of relevant industry experience to qualify,0,1
synthetic,i think saying 6-7 is grounds for divorce honestly no offense,1,1
synthetic,we drove about 6-7 miles down the dirt road before finding the trailhead,0,1
synthetic,asked the cashier how much it cost and he just said 6-7 with a straight face,1,1
synthetic,the bridge has been closed for 6-7 months due to ongoing construction,0,1
synthetic,i'm convinced 6-7 was created in a lab to torture millennials specifically,1,1
synthetic,she's been studying spanish for 6-7 years and is nearly fluent now,0,1
synthetic,my entire group chat is just 6-7 memes and i don't know how to leave,1,1
synthetic,you'll need a 6-7 foot ladder to reach the gutters on the second story,0,1
synthetic,if you don't understand why kids yell 6-7 you're officially old now,1,1
synthetic,the surgery typically takes 6-7 hours depending on the complications encountered,0,1
synthetic,watching adults try to use 6-7 correctly is the funniest thing on the internet,1,1
synthetic,the documentary covers events spanning 6-7 decades of post war europe,0,1
synthetic,he answered every question on the quiz with 6-7 and somehow got a passing grade,1,1
synthetic,we'll be on vacation for 6-7 days so please water the plants while we're gone,0,1
synthetic,my brain has been rewired and now i hear 6-7 in my dreams,1,1
synthetic,the average household income in this area is 6-7 times higher than ten years ago,0,1
synthetic,literally cannot have a normal conversation with my students anymore because of 6-7,1,1
synthetic,scientists observed 6-7 distinct species of birds nesting in that single tree,0,1
synthetic,the way 6-7 has taken over middle schools across america is genuinely terrifying,1,1
synthetic,marinate the chicken for 6-7 hours before grilling for the best flavor,0,1
