uri,target_context,is_slang,synthetic
synthetic,i got banned from the server for griefing some new player's base,1,1
synthetic,she's still griefing the loss of her mother two years later,0,1
synthetic,bro stop griefing my house i spent hours building that,1,1
synthetic,the therapist explained that griefing is a non-linear process,0,1
synthetic,anyone caught griefing in the lobby gets an instant kick,1,1
synthetic,many widows describe griefing as waves that come without warning,0,1
synthetic,this whole lobby is just griefing me every round it's insane,1,1
synthetic,the support group meets weekly for parents who are griefing the loss of a child,0,1
synthetic,they got reported for griefing after blowing up the spawn area,1,1
synthetic,i've been griefing my dog's passing for months and nothing feels normal,0,1
synthetic,minecraft servers have whitelist systems specifically to prevent griefing,1,1
synthetic,she wrote a memoir about griefing her twin sister after the accident,0,1
synthetic,the clan was famous for griefing noobs in the starter zones,1,1
synthetic,counselors say griefing openly with family helps the healing process,0,1
synthetic,rust is basically a sandbox for griefing other players 24/7,1,1
synthetic,he's been griefing quietly since the funeral last weekend,0,1
synthetic,stop griefing the team by stealing kills and running off alone,1,1
synthetic,the pastor spoke about griefing as a community rather than alone,0,1
synthetic,i swear this random teammate is griefing me on purpose right now,1,1
synthetic,griefing a pet can be just as intense as losing a person,0,1
synthetic,trolls love griefing newcomers in the tutorial maps,1,1
synthetic,she described griefing as feeling like drowning in slow motion,0,1
synthetic,the devs added new tools to report players for griefing,1,1
synthetic,after years of griefing her husband she finally felt ready to date again,0,1
synthetic,bro why are you griefing your own teammates that's actually wild,1,1
synthetic,griefing a parent often resurfaces during holidays and birthdays,0,1
synthetic,moderators dish out hefty bans for griefing on competitive servers,1,1
synthetic,the documentary explored how different cultures handle griefing,0,1
synthetic,they were griefing the entire raid by pulling extra mobs on purpose,1,1
synthetic,people griefing in silence often need the most support from friends,0,1
synthetic,anti-cheat updates have cut down on griefing but not eliminated it,1,1
synthetic,griefing such a sudden loss takes time and patience with yourself,0,1
synthetic,you're literally griefing right now stop tking us please,1,1
synthetic,the research focused on children griefing the death of a sibling,0,1
synthetic,i watched a streamer get banned mid-stream for griefing,1,1
synthetic,she said griefing her father was the hardest year of her life,0,1
synthetic,fortnite content creators sometimes record videos just griefing squads,1,1
synthetic,the article on griefing emphasized the importance of rituals,0,1
synthetic,if you keep griefing in ranked you'll lose your account fast,1,1
synthetic,many veterans report griefing comrades they lost in service,0,1
synthetic,this guy is griefing our base for the third time today,1,1
synthetic,psychologists note that griefing can manifest as physical exhaustion,0,1
synthetic,wow classic forums are full of complaints about griefing in low-level zones,1,1
synthetic,griefing in stages was once a popular model but it's now considered outdated,0,1
synthetic,the new patch addresses griefing by adding voting kicks,1,1
synthetic,she found comfort in griefing alongside others at the support group,0,1
synthetic,imagine paying for a game just to spend hours griefing kids,1,1
synthetic,people griefing a loved one often skip meals without realizing it,0,1
synthetic,the streamer's chat was full of viewers asking him to stop griefing,1,1
synthetic,griefing the loss of a long marriage requires real time and patience,0,1
synthetic,you can get reported for griefing just by going afk in ranked,1,1
synthetic,she has been quietly griefing the death of her best friend all summer,0,1
synthetic,rocket league is full of teammates griefing once they lose the lead,1,1
synthetic,the family is still griefing the tragedy that struck last winter,0,1
synthetic,valve introduced new penalties for griefing in matchmaking last season,1,1
synthetic,griefing publicly was once frowned upon in many older communities,0,1
synthetic,kids these days think griefing in roblox is some kind of personality,1,1
synthetic,she wrote that griefing her son taught her the depths of love,0,1
synthetic,the new report system makes griefing a riskier choice for trolls,1,1
synthetic,experts say griefing a pet should never be dismissed as trivial,0,1
synthetic,we banned three accounts last night for griefing the event boss,1,1
synthetic,griefing can feel isolating even when surrounded by supportive people,0,1
synthetic,minecraft anarchy servers are basically just griefing 24/7 lol,1,1
synthetic,her poems about griefing her grandmother won a national award,0,1
synthetic,the kid kept griefing our build so we had to enable claims,1,1
synthetic,griefing in silence is sometimes the only way some people cope,0,1
synthetic,no one wants to play with someone who's griefing every match,1,1
synthetic,the church offers weekly meetings for those griefing recent losses,0,1
synthetic,valorant players are notorious for griefing when they don't get duelist,1,1
synthetic,griefing a partner of fifty years is something you never fully recover from,0,1
