target,is_slang,target_context,uri
hits different,1,iced coffee at 7am after a long week just hits different,synthetic://generated/hits different/0
hits different,1,her new album hits different when you listen on a rainy night,synthetic://generated/hits different/1
hits different,1,watching the sunset from a rooftop hits different in the fall,synthetic://generated/hits different/2
hits different,1,mom's lasagna hits different and no restaurant can replicate it,synthetic://generated/hits different/3
hits different,1,playing old gamecube games hits different now that i'm older,synthetic://generated/hits different/4
hits different,1,this lo-fi remix hits different at 2am while studying,synthetic://generated/hits different/5
hits different,1,honestly a hot shower after a 12 hour shift hits different,synthetic://generated/hits different/6
hits different,1,the original mario kart soundtrack hits different in 2024,synthetic://generated/hits different/7
hits different,1,she said her boyfriend's hugs hit different and i felt that,synthetic://generated/hits different/8
hits different,1,drake's verse on this track hits different than the rest of the album,synthetic://generated/hits different/9
hits different,1,honestly waking up to no alarm on a saturday hits different,synthetic://generated/hits different/10
hits different,1,tacos at 3am after a night out hits different every single time,synthetic://generated/hits different/11
hits different,1,this perfume hits different when the weather gets cooler,synthetic://generated/hits different/12
hits different,1,compliments from your dad hit different because he never gives them,synthetic://generated/hits different/13
hits different,1,the bass on these headphones hits different compared to my old ones,synthetic://generated/hits different/14
hits different,1,watching spirited away as an adult hits different than as a kid,synthetic://generated/hits different/15
hits different,1,a fresh haircut before a vacation hits different no debate,synthetic://generated/hits different/16
hits different,1,her voice hits different on the acoustic version of this song,synthetic://generated/hits different/17
hits different,1,free food at work hits different even if it's mediocre pizza,synthetic://generated/hits different/18
hits different,1,the smell of rain after a heatwave hits different and you can't convince me otherwise,synthetic://generated/hits different/19
hits different,1,morning runs by the beach hit different when the fog is rolling in,synthetic://generated/hits different/20
hits different,1,coming home to a clean apartment hits different after a long trip,synthetic://generated/hits different/21
hits different,1,the bridge in this song hits different every time i hear it,synthetic://generated/hits different/22
hits different,1,grandma's hugs hit different because you know they won't be there forever,synthetic://generated/hits different/23
hits different,1,his goal in the 90th minute hits different because we were down 2-0,synthetic://generated/hits different/24
hits different,1,matcha lattes from that one cafe downtown hit different fr,synthetic://generated/hits different/25
hits different,1,rereading harry potter as an adult hits different than i expected,synthetic://generated/hits different/26
hits different,1,live music hits different when you're right next to the stage,synthetic://generated/hits different/27
hits different,1,honestly therapy hits different when you finally find the right person,synthetic://generated/hits different/28
hits different,1,this candle scent hits different during the holidays,synthetic://generated/hits different/29
hits different,1,a long drive with no destination hits different when you need to clear your head,synthetic://generated/hits different/30
hits different,1,she said his cologne hits different and now i know what she means,synthetic://generated/hits different/31
hits different,1,homemade bread fresh out the oven hits different than anything from a store,synthetic://generated/hits different/32
hits different,1,the first sip of water after a workout hits different than anything else,synthetic://generated/hits different/33
hits different,1,old taylor songs hit different now that we know the lore behind them,synthetic://generated/hits different/34
hits different,1,payday hits different when you've been broke for two weeks,synthetic://generated/hits different/35
hits different,1,kdramas hit different when you're going through a breakup,synthetic://generated/hits different/36
hits different,1,this beat hits different on a proper sound system,synthetic://generated/hits different/37
hits different,1,honestly journaling at night hits different for my anxiety,synthetic://generated/hits different/38
hits different,1,a cold beer after mowing the lawn hits different in the summer,synthetic://generated/hits different/39
hits different,1,the ending of interstellar hits different after you've lost someone,synthetic://generated/hits different/40
hits different,1,his apology hits different because you can tell he actually means it,synthetic://generated/hits different/41
hits different,1,honestly the new iphone camera hits different at night,synthetic://generated/hits different/42
hits different,1,grocery shopping when you're not hungry hits different than going on an empty stomach,synthetic://generated/hits different/43
hits different,1,vinyl records hit different compared to streaming and i'll die on this hill,synthetic://generated/hits different/44
hits different,1,this candle hits different and i'm gonna need a backup,synthetic://generated/hits different/45
hits different,1,compliments from strangers hit different because they have no reason to lie,synthetic://generated/hits different/46
hits different,1,the smell of sunscreen hits different and instantly takes me back to childhood summers,synthetic://generated/hits different/47
hits different,1,her cooking hits different and that's why everyone shows up uninvited,synthetic://generated/hits different/48
hits different,1,honestly a nap after lunch hits different on a sunday afternoon,synthetic://generated/hits different/49
hits different,1,this jacket hits different when the wind picks up in november,synthetic://generated/hits different/50
hits different,1,kanye's older stuff hits different no matter what you think of him now,synthetic://generated/hits different/51
hits different,1,watching disney movies as a parent hits different than as a kid,synthetic://generated/hits different/52
hits different,1,her makeup look in that video hits different and i need a tutorial,synthetic://generated/hits different/53
hits different,1,rice cooked in chicken broth hits different than plain water,synthetic://generated/hits different/54
hits different,1,a sincere thank you hits different when most people just expect things from you,synthetic://generated/hits different/55
hits different,1,this view from my balcony hits different at golden hour,synthetic://generated/hits different/56
hits different,1,honestly the vibe in this restaurant hits different and the food is solid too,synthetic://generated/hits different/57
hits different,1,his guitar solo hits different live versus the studio version,synthetic://generated/hits different/58
hits different,1,fresh sheets after a long shower hits different and you can't tell me otherwise,synthetic://generated/hits different/59
hits different,1,the way she says my name hits different lately,synthetic://generated/hits different/60
hits different,1,honestly thrifting hits different when you find designer for five bucks,synthetic://generated/hits different/61
hits different,1,this episode hits different on a rewatch when you know what's coming,synthetic://generated/hits different/62
hits different,1,his confidence hits different now that he's been working out for a year,synthetic://generated/hits different/63
hits different,1,the chorus of that song hits different when you're driving with the windows down,synthetic://generated/hits different/64
hits different,1,burger king fries hit different when they're actually hot,synthetic://generated/hits different/65
hits different,1,honestly hand written letters hit different in 2024,synthetic://generated/hits different/66
hits different,1,her debut performance hits different because you can see the nerves and joy,synthetic://generated/hits different/67
hits different,1,this album hits different after she announced her retirement,synthetic://generated/hits different/68
hits different,1,compliments at the gym hit different because everyone there is locked in,synthetic://generated/hits different/69
