uri,target_context,is_slang,synthetic
synthetic,honestly idgaf what they think about my outfit tonight,1,1
synthetic,idgaf if it's monday i'm staying up to finish this game,1,1
synthetic,she walked in like she owned the place with full idgaf energy,1,1
synthetic,bro said idgaf and posted it anyway,1,1
synthetic,the new track has such an idgaf vibe i'm obsessed,1,1
synthetic,idgaf about the drama just tell me when the meeting starts,1,1
synthetic,my boss emailed at 11pm and idgaf i'm replying tomorrow,1,1
synthetic,she really gives off that quiet idgaf attitude and i respect it,1,1
synthetic,idgaf how expensive it is i need those boots,1,1
synthetic,the way he said idgaf to the referee got him ejected,1,1
synthetic,lowkey idgaf about the oscars this year nothing was good,1,1
synthetic,idgaf if it rains the picnic is happening,1,1
synthetic,tell him idgaf about his apology after what he did,1,1
synthetic,everyone keeps asking who i voted for and idgaf to say,1,1
synthetic,she's in her idgaf era and it's honestly inspiring,1,1
synthetic,idgaf what the recipe says i'm doubling the garlic,1,1
synthetic,at this point idgaf if my package shows up tomorrow or next week,1,1
synthetic,the whole album is just pure idgaf swagger,1,1
synthetic,idgaf bro the wedding starts at six and i'm wearing sneakers,1,1
synthetic,my mom said idgaf about your tiktok career go do the dishes,1,1
synthetic,idgaf if you think pineapple on pizza is wrong it slaps,1,1
synthetic,after that breakup she's been radiating idgaf vibes,1,1
synthetic,idgaf what time it is i'm ordering pizza,1,1
synthetic,he showed up to the interview in shorts with full idgaf confidence,1,1
synthetic,idgaf if it's cringe i still listen to mcr daily,1,1
synthetic,she texted idgaf and blocked him on everything,1,1
synthetic,idgaf about the standings my team is still the goat,1,1
synthetic,got my coffee got my headphones idgaf about anything else today,1,1
synthetic,idgaf what brand it is as long as it's cheap,1,1
synthetic,the comments are all hating but the artist clearly idgaf,1,1
synthetic,idgaf if they fire me i'm done with this place,1,1
synthetic,she rolled her eyes and muttered idgaf under her breath,1,1
synthetic,idgaf about meta i still play the characters i like,1,1
synthetic,his whole personality is just idgaf and somehow it works,1,1
synthetic,idgaf if you're tired we promised her we'd go,1,1
synthetic,the caption literally said idgaf and the photo was her at her ex's wedding,1,1
synthetic,idgaf what the scale says i feel great,1,1
synthetic,he posted that idgaf playlist after the breakup and it goes hard,1,1
synthetic,idgaf about spoilers just tell me what happens,1,1
synthetic,i'm in such an idgaf mood today don't talk to me,1,1
synthetic,idgaf if i look dumb i'm asking the question,1,1
synthetic,she's giving very main character idgaf energy in this fit,1,1
synthetic,idgaf bro send the meme anyway,1,1
synthetic,the trailer dropped and idgaf this movie looks awful,1,1
synthetic,idgaf what anyone says the old design was better,1,1
synthetic,told my landlord idgaf about the noise complaint we're having a party,1,1
synthetic,idgaf if you think it's weird i sleep with three pillows,1,1
synthetic,she's that girl who walks in late to lecture with total idgaf composure,1,1
synthetic,idgaf the gas prices i'm road tripping this weekend,1,1
synthetic,honestly idgaf about the new update they keep ruining the app,1,1
synthetic,idgaf if it's basic the pumpkin spice latte is elite,1,1
synthetic,he wore crocs to prom on some idgaf type beat,1,1
synthetic,idgaf what my horoscope says i'm texting him back,1,1
synthetic,the dog walked across the keyboard during my meeting and idgaf anymore,1,1
synthetic,idgaf about the dress code today it's friday,1,1
synthetic,she dropped an idgaf single and it shot to number one,1,1
synthetic,idgaf if you ghosted me last week i still want my hoodie back,1,1
synthetic,his idgaf attitude in the locker room finally caught up with him,1,1
synthetic,idgaf what the trend is i'm wearing what i like,1,1
synthetic,she captioned the selfie idgaf and the comments went wild,1,1
synthetic,idgaf i'm calling out sick tomorrow i need a break,1,1
synthetic,the whole song is just a beautifully constructed idgaf anthem,1,1
synthetic,idgaf about the rules of golf etiquette i'm here to have fun,1,1
synthetic,you can tell from her tone she fully idgaf about losing him,1,1
synthetic,idgaf if the wifi is slow i'm finishing this episode,1,1
synthetic,told the barista idgaf just put oat milk in everything,1,1
synthetic,idgaf bro the chiefs are still winning the super bowl,1,1
synthetic,she went full idgaf mode and dyed her hair blue the night before her interview,1,1
