uri,target_context,is_slang,synthetic
synthetic,look at this absolute unit of a doggo lounging in the sun,1,1
synthetic,the fugitive decided to lie doggo in a remote cabin until the heat died down,0,1
synthetic,my doggo just learned how to open the fridge and i'm both proud and terrified,1,1
synthetic,the spies were instructed to lay doggo for several weeks following the failed operation,0,1
synthetic,every time i open tiktok there's another viral doggo doing something hilarious,1,1
synthetic,after the scandal broke the senator chose to lie doggo and avoid all media appearances,0,1
synthetic,rate my doggo's halloween costume out of ten please be honest,1,1
synthetic,the rebels had been lying doggo in the mountains for nearly six months,0,1
synthetic,found this fluffy doggo wandering near the park does anyone recognize him,1,1
synthetic,she advised her client to lie doggo and let the investigation run its course,0,1
synthetic,petsmart had the cutest doggo sweaters on sale and i bought way too many,1,1
synthetic,the wanted man lay doggo for years before authorities finally tracked him down,0,1
synthetic,my doggo refuses to eat unless i hand feed him like a little prince,1,1
synthetic,they were told to lay doggo until further notice from headquarters,0,1
synthetic,anyone else's doggo do the zoomies right after a bath,1,1
synthetic,the smuggler had been lying doggo in a quiet coastal town for over a decade,0,1
synthetic,tag yourself i'm the chunky doggo in the back demanding more snacks,1,1
synthetic,after the heist the crew agreed to lie doggo for at least a year,0,1
synthetic,the shelter just posted a senior doggo who really needs a forever home,1,1
synthetic,veteran journalists know when to push hard and when to lie doggo,0,1
synthetic,doggo tax required before i answer any of your questions about training,1,1
synthetic,the suspect had been laying doggo in his sister's basement the entire time,0,1
synthetic,this doggo has the most expressive eyebrows i've ever seen on an animal,1,1
synthetic,the company decided to lie doggo through the antitrust hearings,0,1
synthetic,my neighbor's doggo barks at the mailman every single day without fail,1,1
synthetic,investors who lay doggo during market panics often come out ahead,0,1
synthetic,saw a corgi doggo at the cafe today and my entire week is made,1,1
synthetic,the cartel boss managed to lie doggo in plain sight for nearly twenty years,0,1
synthetic,starter pack for being a doggo parent includes a lint roller and zero free time,1,1
synthetic,after his conviction was overturned he chose to lie doggo and start a new life,0,1
synthetic,my doggo thinks he's a lap dog despite weighing eighty five pounds,1,1
synthetic,the deserter had been lying doggo in a farming village along the border,0,1
synthetic,happy national doggo day to everyone with a furry best friend at home,1,1
synthetic,smart move to lie doggo until the public outrage finally subsides,0,1
synthetic,this golden retriever doggo is doing a heckin good job protecting his bone,1,1
synthetic,the witness was placed in protective custody and told to lie doggo,0,1
synthetic,my doggo stole the entire roast chicken off the counter and i can't even be mad,1,1
synthetic,after the leak went public the whistleblower lay doggo at a friend's apartment,0,1
synthetic,what kind of treats does your doggo go absolutely feral for,1,1
synthetic,the disgraced ceo lay doggo at his vacation home for months,0,1
synthetic,anyone got recommendations for doggo daycare in the brooklyn area,1,1
synthetic,guerrilla fighters often lay doggo for weeks before launching coordinated strikes,0,1
synthetic,my doggo gives me his paw whenever i look sad and it heals my soul,1,1
synthetic,the embezzler decided to lie doggo abroad until the statute of limitations expired,0,1
synthetic,the bakery down the street has a doggo menu with pupcakes and birthday cookies,1,1
synthetic,experienced hackers know to lay doggo after a successful breach to avoid detection,0,1
synthetic,my doggo is convinced the vacuum is his mortal enemy and i find it adorable,1,1
synthetic,she lay doggo in her hometown for years before resurfacing as a published author,0,1
synthetic,send me your best doggo pics i need serotonin urgently,1,1
synthetic,the politicians involved in the scandal chose to lie doggo until their lawyers cleared them,0,1
synthetic,this dramatic doggo refuses to walk in the rain like it's a personal insult,1,1
synthetic,informants were instructed to lie doggo and report only through encrypted channels,0,1
synthetic,my doggo learned to say hello and i swear he's smarter than my coworkers,1,1
synthetic,the fugitive group laid doggo in a series of safe houses across europe,0,1
synthetic,introducing pickles the floofiest doggo you will ever lay eyes on,1,1
synthetic,you should lie doggo until the press loses interest in the story,0,1
synthetic,doggo of the day award goes to this husky throwing a full tantrum at bedtime,1,1
synthetic,the writer lay doggo for nearly a decade between novels much to her fans' frustration,0,1
synthetic,watching my doggo try to fit a giant stick through a narrow doorway is peak comedy,1,1
synthetic,they advised the family to lay doggo until the trial concluded,0,1
synthetic,every doggo deserves a forever home filled with squeaky toys and belly rubs,1,1
synthetic,during the purge many intellectuals chose to lie doggo in rural provinces,0,1
synthetic,my doggo's birthday is next week and yes there will be a party,1,1
synthetic,savvy investors lay doggo through the volatility and waited for better entry points,0,1
synthetic,this rescue doggo went from scared shelter pup to confident goofball in just three months,1,1
synthetic,the spy ring had been lying doggo in suburbia for almost fifteen years,0,1
synthetic,my doggo discovered peanut butter today and life will never be the same,1,1
synthetic,after the controversial vote the lawmakers chose to lie doggo and skip the town halls,0,1
synthetic,is your doggo also obsessed with stealing socks or is it just mine,1,1
synthetic,the criminal organization had members lay doggo in small towns across three states,0,1
