uri,target_context,is_slang,synthetic
synthetic,bro has been locked in his room all weekend just trying to goon,1,1
synthetic,the mob boss sent a goon to collect the debt from the bakery owner,0,1
synthetic,i need to stop gooning at 3am it's ruining my sleep schedule fr,1,1
synthetic,every henchman in that film looked like a generic goon with sunglasses,0,1
synthetic,me and the goons pulling up to the function tonight,1,1
synthetic,the security goon at the warehouse refused to let the reporter inside,0,1
synthetic,he literally cancelled plans to stay home and goon all day,1,1
synthetic,in the comic the villain hires a goon squad to track down the hero,0,1
synthetic,the goon cave is fully stocked with lotion and tissues apparently,1,1
synthetic,a hired goon broke down the door before the police could arrive,0,1
synthetic,stop gooning and answer your phone bro your mom is calling,1,1
synthetic,the boxer's goon of a bodyguard stood silently in the corner of the ring,0,1
synthetic,i swear half this discord is just dudes who goon between meetings,1,1
synthetic,a single goon stepped forward holding a baseball bat menacingly,0,1
synthetic,he turned his pc into a dedicated goon machine with three monitors,1,1
synthetic,the prison guard described as a goon by inmates was suspended pending review,0,1
synthetic,imagine telling your wife you can't go to dinner because you need to goon,1,1
synthetic,the corporate goon threatened to evict the tenants if they didn't pay,0,1
synthetic,his goon session lasted six hours and now he can't feel his legs,1,1
synthetic,in old gangster films the goon usually dies first in the shootout,0,1
synthetic,the goon cave subreddit is honestly the most cursed corner of the internet,1,1
synthetic,the dictator surrounded himself with armed goons who answered only to him,0,1
synthetic,i told my therapist about my urge to goon and she just nodded slowly,1,1
synthetic,a goon employed by the loan shark showed up at the diner that morning,0,1
synthetic,twitter is full of guys posting about how they goon for hours,1,1
synthetic,the script calls for the goon to grab the hero by the collar,0,1
synthetic,if you goon every night you're not gonna be able to focus on anything,1,1
synthetic,the security goon escorted the protester out of the lobby,0,1
synthetic,the goons and i are heading to the lake this weekend it's gonna be wild,1,1
synthetic,during the strike a company goon was caught harassing union organizers,0,1
synthetic,everyone in the gym chat is admitting they goon way too often,1,1
synthetic,the cartoon villain's goon tripped over his own boots in the chase scene,0,1
synthetic,my roommate gooned so loud last night i had to put in earplugs,1,1
synthetic,the mayor was accused of using a goon to intimidate a local journalist,0,1
synthetic,this app blocks adult sites to help guys who can't stop gooning,1,1
synthetic,a former goon for the syndicate testified in court yesterday afternoon,0,1
synthetic,i was supposed to study for finals but ended up gooning instead,1,1
synthetic,the warlord's personal goon stood guard outside the compound all night,0,1
synthetic,we're not friends we're goons and the difference matters,1,1
synthetic,a goon hired by the developer tried to push the elderly couple out,0,1
synthetic,bro is in his goon era and we just have to accept it,1,1
synthetic,the wrestling promoter called his enforcer a useful goon during the interview,0,1
synthetic,the meme about gooning until you forget your own name is sending me,1,1
synthetic,two goons in cheap suits waited by the elevator with their arms crossed,0,1
synthetic,he openly admitted on stream that he gooned before the tournament,1,1
synthetic,police arrested a goon connected to the racketeering investigation,0,1
synthetic,her boyfriend gooned through the entire family zoom call somehow,1,1
synthetic,the politician's goon was filmed shoving a constituent at the rally,0,1
synthetic,you ever just want to lock in and goon for the rest of the year,1,1
synthetic,the bouncer looked like every stereotypical goon you'd see in a movie,0,1
synthetic,rolling deep with the goons to the concert tonight,1,1
synthetic,a goon from the rival faction was spotted near the dock at midnight,0,1
synthetic,i can't believe he gooned so hard he missed his flight,1,1
synthetic,the union accused the firm of dispatching a goon to break the picket line,0,1
synthetic,this dude makes gooning his entire personality online and it's tragic,1,1
synthetic,the kingpin's top goon refused to talk even under heavy interrogation,0,1
synthetic,i need a digital detox before i goon my brain into mush,1,1
synthetic,a paid goon allegedly assaulted the activist outside the courthouse,0,1
synthetic,you can tell from his eyes that man gooned last night,1,1
synthetic,the novel describes the goon as a hulking figure with a crooked nose,0,1
synthetic,we should rename the group chat to the goon squad already,1,1
synthetic,the local goon was finally indicted after years of community complaints,0,1
synthetic,his entire youtube channel is basically him telling guys to stop gooning,1,1
synthetic,a goon working for the landlord allegedly cut the power to force them out,0,1
synthetic,if gooning was an olympic sport this guy would medal honestly,1,1
synthetic,the comic book panel showed a single goon guarding the warehouse door,0,1
