uri,target_context,is_slang,synthetic
synthetic,he keeps trying to gaslight me into thinking i never said anything about the trip,1,1
synthetic,the old streets of dublin were once lit by a single flickering gaslight on every corner,0,1
synthetic,my ex would gaslight me every time i brought up the texts from his coworker,1,1
synthetic,the museum restored the original gaslight fixtures in the entrance hall last summer,0,1
synthetic,stop trying to gaslight the group chat we all saw the screenshots,1,1
synthetic,victorian london was famously illuminated by gaslight before electricity became widespread,0,1
synthetic,managers love to gaslight employees about overtime hours that were clearly approved in writing,1,1
synthetic,the antique shop had a brass gaslight from the 1880s priced at nearly two thousand dollars,0,1
synthetic,she'll gaslight you into apologizing for things she did don't fall for it,1,1
synthetic,the historic district still uses gaslight lamps along the cobblestone walkways for ambiance,0,1
synthetic,politicians love to gaslight voters about promises they made just six months ago,1,1
synthetic,we installed a gaslight in the garden for a more nostalgic outdoor atmosphere,0,1
synthetic,don't let your friends gaslight you into thinking your concerns aren't valid,1,1
synthetic,the lamplighter would climb a ladder each evening to ignite the gaslight on main street,0,1
synthetic,narcissists gaslight gatekeep and girlboss according to that one viral tweet,1,1
synthetic,natural gas pressure dropped overnight so our gaslight in the foyer wouldn't stay lit,0,1
synthetic,he tried to gaslight me but i had receipts dating back three months,1,1
synthetic,early gaslight technology relied on coal gas piped directly into household fixtures,0,1
synthetic,therapists warn that abusive partners often gaslight their victims about small everyday events first,1,1
synthetic,the inn has authentic gaslight sconces in every guest room for a victorian feel,0,1
synthetic,you cannot gaslight someone who took screenshots of literally every conversation,1,1
synthetic,before electric streetlamps arrived in 1890 the whole avenue ran on gaslight,0,1
synthetic,she's gonna gaslight you about the breakup and act like you imagined it all,1,1
synthetic,the curator explained how a gaslight chandelier required constant maintenance and skilled operators,0,1
synthetic,corporations gaslight customers all the time about shrinkflation and quality changes,1,1
synthetic,i found a working gaslight at the estate sale and converted it for display,0,1
synthetic,my mom will gaslight me about conversations we had five minutes ago,1,1
synthetic,the playwright set act two in a parlor lit only by a single dim gaslight,0,1
synthetic,they're trying to gaslight the whole fanbase into thinking the leaks weren't real,1,1
synthetic,wealthy households in the 1860s often had a gaslight in every major room,0,1
synthetic,abusers gaslight you by slowly making you doubt your own memory and perception,1,1
synthetic,the flame inside the gaslight flickered as a draft swept through the old hallway,0,1
synthetic,don't gaslight me bro i was literally standing right next to you when it happened,1,1
synthetic,engineers studied how a mantle improves the brightness of a standard gaslight fixture,0,1
synthetic,it's wild how brands gaslight consumers about ingredients while quietly changing the formula,1,1
synthetic,the inspector noted that the gaslight pipes in the basement were original to the 1875 build,0,1
synthetic,she will absolutely gaslight you into thinking the fight was somehow your fault,1,1
synthetic,a single gaslight burned in the window through the entire long winter night,0,1
synthetic,the coach tried to gaslight the team about why he benched the starting quarterback,1,1
synthetic,preservationists fought to keep the gaslight lamps lining the riverfront promenade,0,1
synthetic,my coworker will gaslight you so hard about deadlines you'll question your sanity,1,1
synthetic,the soft glow of the gaslight gave the dining room a warm honey-colored hue,0,1
synthetic,if anyone tries to gaslight you about your achievements remember the work you put in,1,1
synthetic,boston gas company began converting customers from gaslight to electric service in 1887,0,1
synthetic,tabloids gaslight readers into believing every celebrity rumor that gets printed,1,1
synthetic,the antique gaslight was rewired with led bulbs to meet current building codes,0,1
synthetic,you really thought you could gaslight me when i recorded the whole meeting,1,1
synthetic,in the diary she described reading by gaslight long after her family had gone to bed,0,1
synthetic,social media will gaslight you into thinking everyone is thriving except for you,1,1
synthetic,the play opens with a maid lighting the gaslight in the foyer of a townhouse,0,1
synthetic,stop letting him gaslight you about the things you remember perfectly clearly,1,1
synthetic,a gas leak near the gaslight forced the family to evacuate the apartment immediately,0,1
synthetic,they gaslight gatekeep girlboss and then wonder why nobody trusts them anymore,1,1
synthetic,the photograph showed her standing under a gaslight outside the train station in 1902,0,1
synthetic,people will gaslight you about how cheap rent used to be when they had it easier,1,1
synthetic,we replaced the broken mantle on the gaslight and the brightness immediately doubled,0,1
synthetic,the show's writers tried to gaslight viewers about plot holes from earlier seasons,1,1
synthetic,you can still see the original gaslight brackets bolted to the brick exterior,0,1
synthetic,i refuse to let anyone gaslight me about how i felt during that situation,1,1
synthetic,a gentle hiss came from the gaslight as he turned the small brass valve,0,1
synthetic,your landlord will gaslight you about repairs that were promised when you signed the lease,1,1
synthetic,she sketched the parlor scene by the unsteady light of a single gaslight,0,1
synthetic,tech companies gaslight users about privacy while harvesting data in the background,1,1
synthetic,the gaslight outside the inn had been burning continuously for nearly forty years,0,1
synthetic,he tried to gaslight her but the security footage told a very different story,1,1
synthetic,gaslight era streetlamps in savannah have become a major tourist attraction lately,0,1
synthetic,stop trying to gaslight me into believing you didn't see my message,1,1
synthetic,the conservator carefully cleaned soot from inside the brass globe of the gaslight,0,1
synthetic,you don't get to gaslight me and then act like i'm the unreasonable one,1,1
synthetic,engineers in the 1820s pioneered the technology that brought gaslight to entire neighborhoods,0,1
