uri,target_context,is_slang,synthetic
synthetic,i'm so tired of every customer service line being run by some clanker that can't understand a word i say,1,1
synthetic,the old tractor was a real clanker but it kept the farm running for three more decades,0,1
synthetic,bro why are you defending the clanker it literally stole your job at the warehouse,1,1
synthetic,that rusty clanker in the driveway hasn't moved since grandpa passed away,0,1
synthetic,imagine letting a clanker write your wedding vows that's actually depressing,1,1
synthetic,the engine made a horrible clanker sound right before it died on the highway,0,1
synthetic,i don't trust any clanker to drive me around no matter how many safety stats they show,1,1
synthetic,every time i hit a pothole my poor clanker of a sedan rattles like it's about to fall apart,0,1
synthetic,tell that clanker to stop replying to my emails i want a real person,1,1
synthetic,the mechanic said my truck was a clanker but he could probably get another year out of it,0,1
synthetic,you really gonna let a clanker grade your essay come on man,1,1
synthetic,she drove that little clanker across four states without a single breakdown,0,1
synthetic,the new boston dynamics clanker is honestly terrifying watch it open doors,1,1
synthetic,dad called the lawnmower a clanker because of the weird noise it made every spring,0,1
synthetic,stop simping for the clanker it does not love you back it's literally code,1,1
synthetic,the rotten clanker in the corner of the garage used to be a beautiful 67 mustang,0,1
synthetic,i refuse to call the clanker sir even if it gets mad in its little robot voice,1,1
synthetic,his first car was a clanker he bought for 300 bucks off craigslist,0,1
synthetic,the diner replaced all its waiters with clankers and the food's been cold ever since,1,1
synthetic,you could hear the clanker of the chains as the drawbridge slowly lowered into place,0,1
synthetic,what do you mean the clanker is your best friend you've been talking to chatgpt for six hours,1,1
synthetic,the old steam locomotive was a noisy clanker but tourists loved riding it through the canyon,0,1
synthetic,any clanker that gets in my lane is getting bricked i don't care about the warranty,1,1
synthetic,the kettle on the wood stove is an antique clanker my grandmother brought from poland,0,1
synthetic,your boy really lost an argument to a clanker on twitter that's gotta hurt,1,1
synthetic,the boiler in the basement is a real clanker every time the heat kicks on,0,1
synthetic,i swear to god if one more clanker tries to upsell me a subscription i'm throwing my phone,1,1
synthetic,the parade featured an old fire engine a real clanker from the 1940s,0,1
synthetic,rumor is the new amazon warehouse is staffed entirely by clankers and three confused humans,1,1
synthetic,she inherited the clanker from her uncle and somehow got it running again after two months,0,1
synthetic,go touch grass instead of arguing with a clanker about whether it has feelings,1,1
synthetic,the printer is a noisy old clanker but it still spits out perfect copies,0,1
synthetic,real artists hate clankers and rightfully so they trained on stolen work,1,1
synthetic,we rode that clanker of a bus all the way from bogota to medellin,0,1
synthetic,the dating app matched me with what i'm pretty sure was a clanker pretending to be a girl named jessica,1,1
synthetic,the carriage was a clanker held together by rope and prayers,0,1
synthetic,every time i open youtube there's another clanker reading reddit posts in a creepy voice,1,1
synthetic,his bike was a clanker but he loved it more than any of the new ones in the shop,0,1
synthetic,no shot i'm letting a clanker diagnose my chest pain i want a human doctor please,1,1
synthetic,the windmill at the edge of the property is an old clanker but still pumps water just fine,0,1
synthetic,they put a clanker at the front desk of the hotel and it could not even check me in,1,1
synthetic,the chain on the old gate made a familiar clanker sound as he pushed it open,0,1
synthetic,imagine writing love letters to a clanker that forgets you exist after the chat closes,1,1
synthetic,we hauled the clanker out of the barn and somehow it started on the second crank,0,1
synthetic,people calling robots clanker is the funniest linguistic shift of the decade,1,1
synthetic,the boiler room was full of clanker noises that kept the night staff on edge,0,1
synthetic,bro that clanker just tried to gaslight me about whether 2024 happened,1,1
synthetic,her old volvo is a clanker but it's gotten her through ten brutal minnesota winters,0,1
synthetic,every tech bro on linkedin is begging for forgiveness from the clankers before they take over,1,1
synthetic,the antique clock in the hallway is a beautiful clanker that chimes every hour,0,1
synthetic,stop calling the chatbot helpful it's a clanker and it's wrong half the time,1,1
synthetic,the old diesel generator was a clanker but it powered the cabin through every blackout,0,1
synthetic,they're putting clankers in the schools now to replace tutors and the parents are not having it,1,1
synthetic,i bought a clanker of a truck at the auction for nine hundred dollars and a handshake,0,1
synthetic,any clanker pretending to be sentient is getting clowned in the comments today,1,1
synthetic,the old radiator is a clanker but it heats the whole apartment somehow,0,1
synthetic,she said her ex left her for a clanker and honestly that's the saddest breakup story i've heard,1,1
synthetic,the rusted clanker in the field used to be a beautiful combine harvester back in the day,0,1
synthetic,i hope the clanker uprising waits till after my finals at least,1,1
synthetic,my uncle restored a 1962 clanker into a showroom condition cadillac,0,1
synthetic,the new google clanker can apparently book your flights and ruin your travel plans at the same time,1,1
synthetic,the church bell was a heavy old clanker that you could hear from across the valley,0,1
synthetic,every clanker on the internet is trying to convince me to buy crypto,1,1
synthetic,the antique typewriter is a noisy clanker but writers say it forces them to focus,0,1
synthetic,people who marry clankers are gonna be on dr phil within five years mark my words,1,1
synthetic,the old fishing boat was a clanker but it brought home a full hold every trip,0,1
synthetic,yo why is my fridge a clanker now it keeps trying to suggest recipes through the screen,1,1
synthetic,the wheels of the cart squeaked and rattled into a tired clanker rhythm down the cobblestones,0,1
