uri,target_context,is_slang,synthetic
synthetic,every time he agrees with his boss on twitter the replies call him a cuck,1,1
synthetic,in the medieval play the husband is depicted as a cuck whose wife meets her lover at the market,0,1
synthetic,stop being such a cuck and stand up for what you believe in,1,1
synthetic,the term cuck is a shortened form of cuckold which dates back to middle english,0,1
synthetic,they called the senator a cuck for working across the aisle on the infrastructure bill,1,1
synthetic,in the consensual non monogamy community a cuck is often a willing participant in the arrangement,0,1
synthetic,imagine being such a cuck that you let your roommate eat your leftovers without saying anything,1,1
synthetic,shakespeare uses the imagery of horns to mark the cuck throughout several of his comedies,0,1
synthetic,bro you really let her talk to you like that you're a total cuck,1,1
synthetic,the novel explores the inner thoughts of a cuck who slowly becomes aware of his wife's affair,0,1
synthetic,anyone who supports this policy is just a cuck for the corporate elite,1,1
synthetic,historians point out that the figure of the cuck was a common comedic trope in restoration drama,0,1
synthetic,they spammed the comments section calling every dissenter a cuck,1,1
synthetic,his therapist explained that identifying as a cuck within his marriage was a healthy negotiated dynamic,0,1
synthetic,only a beta cuck would apologize first after a fight like that,1,1
synthetic,the protagonist accepts his role as a cuck in order to keep his marriage financially stable,0,1
synthetic,the streamer got mad and called the entire chat a bunch of cucks,1,1
synthetic,in elizabethan slang a cuck wore invisible horns visible to everyone but himself,0,1
synthetic,what a cuck move agreeing to pay for the date and then getting ghosted,1,1
synthetic,the kink subreddit has detailed guides for couples interested in exploring the role of a cuck,0,1
synthetic,every news article comparing him to his rival gets flooded with people screaming cuck,1,1
synthetic,the word cuck originally referred to the cuckoo bird which lays its eggs in other nests,0,1
synthetic,you'd have to be a massive cuck to give your ex a kidney after she cheated,1,1
synthetic,the wife of a cuck in early modern english literature was often portrayed as cunning and manipulative,0,1
synthetic,they edited his face onto a meme labeled cuck of the year,1,1
synthetic,researchers studying nontraditional marriages interviewed several men who openly identify as a cuck,0,1
synthetic,imagine being such a cuck that you cheer when the rival team scores,1,1
synthetic,the chaucerian tale features a miller who is unwittingly a cuck to his apprentice,0,1
synthetic,the forum banned the word cuck after it became the most common insult in every thread,1,1
synthetic,the documentary interviews couples where one partner openly takes on the role of a cuck,0,1
synthetic,he posted a thread about how journalists are all cucks for the establishment,1,1
synthetic,the cuck in the farce is finally revealed when his wife's lover hides under the bed,0,1
synthetic,people in the replies kept telling him to stop being a cuck for defending her,1,1
synthetic,in some cultures the cuck was publicly shamed by being paraded through town with antlers,0,1
synthetic,anyone who pays full price for that game is a cuck honestly,1,1
synthetic,the academic paper analyzes how the figure of the cuck appears in jacobean revenge tragedies,0,1
synthetic,his fans turned on him and started calling him a sellout cuck after the merger announcement,1,1
synthetic,many participants in the lifestyle prefer the term cuck because they find it accurate to the dynamic,0,1
synthetic,lmao that comeback was so weak you sounded like a cuck,1,1
synthetic,the character is described as a willing cuck whose generosity is exploited by his neighbor,0,1
synthetic,every centrist take in this comment section gets called cuck within ten seconds,1,1
synthetic,the dictionary entry for cuck simply lists it as an archaic variant of cuckold,0,1
synthetic,stop being a cuck and ask for a raise already,1,1
synthetic,the play within the play forces the king to confront whether he too is a cuck,0,1
synthetic,calling someone a cuck online basically just means you ran out of real arguments,1,1
synthetic,the historical society's lecture covered how a cuck was treated under early common law,0,1
synthetic,no one wants to be the cuck who buys drinks for everyone and goes home alone,1,1
synthetic,the lifestyle blogger writes openly about negotiating the boundaries that work for him as a cuck,0,1
synthetic,the entire incel forum is just calling each other cucks in a circle at this point,1,1
synthetic,the term cuck appears in court records from the seventeenth century referring to a wronged husband,0,1
synthetic,he's such a cuck he literally apologized to the guy who keyed his car,1,1
synthetic,the renaissance comedy turns on the misadventures of a merchant who becomes a cuck during a long voyage,0,1
synthetic,only a cuck would still subscribe after they raised the prices three times,1,1
synthetic,in his memoir he discusses how reframing himself as a cuck strengthened communication with his wife,0,1
synthetic,the influencer's brand basically runs on calling other men cucks every video,1,1
synthetic,the folklorist traced the figure of the cuck across several european storytelling traditions,0,1
synthetic,people online will call you a cuck for literally any opinion these days,1,1
synthetic,throughout the satire the narrator never realizes he has been a cuck the entire time,0,1
synthetic,she dumped him after he tweeted that defending women makes you a cuck,1,1
synthetic,the seminar examined depictions of the cuck in jonson's bartholomew fair and other period works,0,1
synthetic,the comment section turned into a war over who is the bigger cuck for finishing the show,1,1
synthetic,the podcast interviewed a couples therapist who works with clients identifying as a cuck,0,1
synthetic,you splitting the bill on her birthday is straight cuck behavior,1,1
synthetic,the lexicographer noted that cuck has been in continuous use since at least 1520 as a clipping of cuckold,0,1
synthetic,every reply guy on this app is just waiting to call someone a cuck,1,1
