uri,target_context,is_slang,synthetic
synthetic,my hooman finally bought me the squeaky duck i've been begging for,1,1
synthetic,send help my hooman is making me wear a tiny sweater again,1,1
synthetic,when the hooman opens the treat drawer i come running from across the house,1,1
synthetic,pov your hooman just said the w word and you can't contain yourself,1,1
synthetic,i love my hooman so much even when she gives me a bath,1,1
synthetic,the smol hooman keeps sharing her snacks with me and i'm not complaining,1,1
synthetic,tell your hooman i said hi and that she has good taste in dog beds,1,1
synthetic,this is my emotional support hooman please do not separate us,1,1
synthetic,the hooman left for work and now i shall wait by the door for nine hours,1,1
synthetic,my hooman thinks she's slick hiding pills in cheese but i'm onto her,1,1
synthetic,every cat needs at least one hooman to staff the can opener properly,1,1
synthetic,look at this absolute unit of a hooman feeding the neighborhood strays,1,1
synthetic,the hooman is typing again so naturally i must sit on the keyboard,1,1
synthetic,borking aggressively because the hooman dared to look at another dog,1,1
synthetic,my hooman cried during a movie so i licked her face until she felt better,1,1
synthetic,please rate my hooman out of ten i think she deserves a solid eight,1,1
synthetic,the hooman keeps calling me a good boy and i must say i agree,1,1
synthetic,caption from the cat she pushed the cup off the table so the hooman would notice her,1,1
synthetic,got adopted yesterday and my new hooman lets me sleep on the bed,1,1
synthetic,when the hooman says no but you know they really mean yes,1,1
synthetic,the loaf cat watches her hooman make breakfast every single morning,1,1
synthetic,my hooman tried to give me kibble instead of chicken so i am on strike,1,1
synthetic,if my hooman leaves one more time i'm rehoming myself to the neighbors,1,1
synthetic,tag your hooman if they spoil you rotten and you deserve every bit of it,1,1
synthetic,the tiny hooman pulls my tail but i still love her because she shares goldfish crackers,1,1
synthetic,my hooman bought me a new harness and i look very dapper if i do say so myself,1,1
synthetic,do you ever just stare at your hooman until they feel guilty and feed you,1,1
synthetic,the hooman thought she could vacuum without me protecting the house,1,1
synthetic,boop the snoot if you love your hooman as much as i do,1,1
synthetic,my hooman is on a zoom call so obviously i must scream for attention,1,1
synthetic,she's the smallest hooman in the house but she gives the biggest cuddles,1,1
synthetic,im just a smol pupper waiting for my hooman to come home from the office,1,1
synthetic,the hooman is sad today so extra zoomies are required to cheer her up,1,1
synthetic,why does my hooman keep pointing a flashy box at me and giggling,1,1
synthetic,my hooman fell asleep on the couch so naturally i must lay across her face,1,1
synthetic,the audacity of this hooman to put me in a bee costume for halloween,1,1
synthetic,found this hooman crying in the rescue parking lot now she's mine forever,1,1
synthetic,my hooman speaks fluent meow even if she doesn't realize it yet,1,1
synthetic,look at this floofer judging her hooman for buying the wrong brand of treats,1,1
synthetic,the hooman thinks she's the boss but we all know who's really in charge,1,1
synthetic,happy gotcha day to my favorite hooman who saved me from the shelter two years ago,1,1
synthetic,my hooman snores so loud i had to move to the other pillow,1,1
synthetic,this cat absolutely owns her hooman and the comments are unhinged,1,1
synthetic,the hooman thought she could eat dinner in peace but here i am with my pleading eyes,1,1
synthetic,doggo logic if hooman is sitting down it must be lap time immediately,1,1
synthetic,my hooman finally figured out the right way to scratch behind my ears,1,1
synthetic,she's my hooman my best friend my personal chef and my chauffeur,1,1
synthetic,the kitten attacked her hooman's shoelaces with the fury of a thousand suns,1,1
synthetic,no thoughts head empty only love for my hooman,1,1
synthetic,my hooman went on vacation without me and i am writing this from the kennel,1,1
synthetic,tell me you spoil your hooman without telling me you spoil your hooman,1,1
synthetic,the hooman tried to take my spot on the bed and learned a valuable lesson,1,1
synthetic,every morning my hooman makes coffee and i supervise from the windowsill,1,1
synthetic,the way this corgi looks at her hooman is the purest thing on the internet today,1,1
synthetic,my hooman doesn't understand that the red dot must be caught,1,1
synthetic,concerned because my hooman has been working from home for too long and i need quiet time,1,1
synthetic,the hooman gave me a bath today so i must roll in the grass immediately,1,1
synthetic,i train my hooman by sitting pretty until the treats appear,1,1
synthetic,my hooman is the worst at fetch but i love her anyway,1,1
synthetic,when your hooman finally gets home and you forget how to walk because of tail wags,1,1
synthetic,the hooman keeps saying we don't need another cat but she keeps petting strays so we shall see,1,1
synthetic,my hooman lets me eat the crusts of her sandwich which is true love,1,1
synthetic,this hooman just adopted three senior dogs and i am sobbing in the club,1,1
synthetic,the doggo waited by the door for hours until his hooman came back from deployment,1,1
synthetic,stream new merch so my hooman can buy me more squeaky toys,1,1
synthetic,my hooman thinks she can leave without me but i have already snuck into the bag,1,1
