uri,target_context,is_slang,synthetic
synthetic,don't feed the troll in the comments just block and move on,1,1
synthetic,the old norse legends describe the troll as a hulking creature dwelling under stone bridges,0,1
synthetic,some troll keeps spamming racist memes in our discord server,1,1
synthetic,in the fairy tale a troll demanded payment from anyone crossing the river,0,1
synthetic,i swear elon is just trying to troll the entire user base at this point,1,1
synthetic,the museum exhibit featured a giant wooden troll carved by a finnish artist,0,1
synthetic,bro stop replying you're just giving the troll exactly what he wants,1,1
synthetic,fishermen often troll for mackerel by dragging baited lines behind a slow moving boat,0,1
synthetic,she's such a troll she posted that just to get a rise out of everyone,1,1
synthetic,we plan to troll the deeper channels at sunrise when the bass are feeding,0,1
synthetic,his entire account is just troll bait and weird ragebait headlines,1,1
synthetic,in scandinavian folklore a troll turns to stone when exposed to sunlight,0,1
synthetic,i can't tell if this is a serious take or a really committed troll post,1,1
synthetic,the gardener placed a small ceramic troll next to the mushrooms along the path,0,1
synthetic,every comment section has at least one troll trying to start drama,1,1
synthetic,the captain showed me how to troll two lines off the back of the boat at the same time,0,1
synthetic,lmao that reply is such a troll move i'm dying,1,1
synthetic,the children's book illustrates a friendly troll who befriends a lost goat,0,1
synthetic,he created a fake account just to troll his ex's new boyfriend,1,1
synthetic,salmon anglers often troll with downriggers to reach the proper depth,0,1
synthetic,the senator clearly tweeted that to troll the opposition before the debate,1,1
synthetic,trolls are common antagonists in scandinavian folklore and the term troll itself has germanic roots,0,1
synthetic,stop trying to troll me i know you actually liked the movie,1,1
synthetic,we caught three king mackerel by the time we finished our morning troll,0,1
synthetic,that whole subreddit is just a giant troll farm at this point,1,1
synthetic,the carved troll outside the cabin has become a popular photo spot for tourists,0,1
synthetic,i think the dev added that bug on purpose just to troll the speedrunners,1,1
synthetic,anglers should troll at about two knots for best results with these lures,0,1
synthetic,the new patch notes feel like a personal troll to ranked players,1,1
synthetic,according to the myth the troll guarded a treasure deep within the mountain caves,0,1
synthetic,his replies are pure troll energy and i can't stop laughing,1,1
synthetic,we used to troll along the kelp beds where the lingcod liked to hide,0,1
synthetic,she got banned from the server for being a serial troll,1,1
synthetic,the troll in the tapestry is depicted with three heads and enormous tusks,0,1
synthetic,imagine paying for a verified check just to troll people online,1,1
synthetic,you can troll with live bait or with artificial lures depending on the species,0,1
synthetic,this guy is the most obvious troll i've ever seen on twitter,1,1
synthetic,the wooden troll statue at the bridge entrance was donated by a local sculptor,0,1
synthetic,they always troll the new players in voice chat which is super toxic,1,1
synthetic,trolling for tuna requires heavy tackle and a steady boat speed,0,1
synthetic,i refuse to engage with anyone whose bio screams troll account,1,1
synthetic,the children gathered around as grandma read about the troll under the bridge,0,1
synthetic,he's been trying to troll the chat for an hour and no one is biting,1,1
synthetic,professional charters often troll multiple lines at varying depths to maximize hookups,0,1
synthetic,that reply was so unhinged it has to be a troll,1,1
synthetic,in the game players can defeat the troll boss only by exposing it to daylight,0,1
synthetic,the streamer pretended to quit just to troll his audience for clicks,1,1
synthetic,we decided to troll the rocky points where the snapper usually congregate,0,1
synthetic,bro became a full time troll after losing that argument last week,1,1
synthetic,norwegian children grow up hearing tales about the mischievous mountain troll,0,1
synthetic,she's a low key troll but her jokes are actually pretty funny ngl,1,1
synthetic,you'll need a sturdy rod holder if you plan to troll for marlin,0,1
synthetic,the entire thread devolved into troll vs troll within five minutes,1,1
synthetic,the troll in tolkien's universe is a much more dangerous creature than its folk counterpart,0,1
synthetic,ignore him he just wants to troll until someone snaps,1,1
synthetic,guides recommend that you troll slowly across submerged structures for the best results,0,1
synthetic,what a troll move releasing the dlc on the same day as the competitor's launch,1,1
synthetic,the figurine showed a stout troll clutching a club with a mossy beard,0,1
synthetic,comedians on tiktok love to troll their audience with fake confessions,1,1
synthetic,we managed to troll up a decent sized wahoo near the offshore rigs,0,1
synthetic,everyone in the lobby is calling him a troll for picking that loadout,1,1
synthetic,the museum's animatronic troll roared whenever visitors crossed the wooden bridge,0,1
synthetic,this account is clearly a paid troll pushing a political agenda,1,1
synthetic,you can troll at trolling speed using a small electric motor to keep things quiet,0,1
synthetic,i love when the host trolls the contestants with absurd hypothetical scenarios,1,1
synthetic,the manuscript describes the troll as ugly and slow witted yet immensely strong,0,1
synthetic,watching her troll the bot in the comments was the highlight of my morning,1,1
synthetic,anglers prefer to troll early in the morning when the water is calm,0,1
synthetic,every politician these days seems to troll the press for engagement,1,1
synthetic,in the icelandic saga the troll demanded a sacrifice from the village each winter,0,1
synthetic,deleting the post just made him look even more like a troll,1,1
synthetic,we'll troll the reef edges before heading back to the marina,0,1
