,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh
931900,http://www.quickmeme.com/meme/3s11mx/,life add your own caption shares sudden clarity clarence like meh the history channel is doing to history what mtv did,,,0,0,0,0,0,0,0,0,1
531169,http://www.rememberingjacklord.com/tvguestappearances.htm,to hurt her the police investigate and learn that the fire originated in the wiring in the bathroom wall somehow it,,,0,0,0,0,0,1,0,0,1
1032112,https://amandamaydoodle.com/2018/02/17/meh/,loading tagged art bored cute doodle drawing frustrated girl love meh sigh sketch ugh published by amanda may view all posts,,,0,0,0,0,0,0,0,0,1
1434795,http://www.quickmeme.com/if-you-know-what-i-mean,share on pinterest if you know what i mean like meh if you know what i mean add your own caption,,,0,0,0,0,0,0,0,0,1
400459,https://www.ndsu.edu/news/studentnews/gradlistspring2013/mont/,mehling pharmd pharmacy courtney ann pickett march architecture butte mont karen jane sorensen phd rhetoric writing and culture columbia falls mont,,,0,0,0,0,0,0,1,0,1
1434844,http://myanimelist.net/forum/?topicid=9540&show=40,episodes bbcode aug pm mystik offline joined nov posts well meh it was ok could of been better reika was the,,,0,0,0,0,0,0,0,0,1
1079155,http://steepster.com/laurenpressley/posts/44960,okay will try again maybe - meh i’d try this tea again if no other were available - drinkable but a,,,0,0,0,0,0,0,0,0,1
672108,http://memegenerator.net/Sad-Do-All-The-Things/caption,god tier demigod tier legendary tier top tier fascinating tier meh tier lame tier fail tier sad do all the things,,,0,0,0,0,0,0,0,0,1
960938,http://bonnaroo.proboards.com/thread/27878/admit-annie-clark-hotttt,others i'd rather make out with homer i decided on meh last edit mar gmt - by bonzai - back to,,,0,0,0,0,0,0,0,0,1
99364,https://www.saasdesign.io/universal-principles-of-design/,you which do you choose this one looks okay but meh i better keep scrolling to see if something better comes,,,0,0,0,0,0,0,0,0,1
657313,http://www.americanhunter.org/opening-day.php?article=1&video=1&tip=20&news=1&numbers=10&fact=8,get through ammunition marketplace shortages read more buck fever by karen mehall ah senior editor i glimpse antlers filtering toward me,,,0,0,0,0,0,0,0,0,1
1285782,https://aliisaacstoryteller.com/2014/05/26/eating-like-the-ancestors-an-experiment-in-irish-iron-age-cuisine/?like_comment=120675&replytocom=102030,recipe somehere you would think it makes the fish really salty but i believe its quite the reverse sweet and juicey,,,0,0,0,0,0,0,0,0,1
884931,http://www.gamesdatabase.org/all_publisher_games-barcrest,and enjoy megaforce world of wonders megasoft entertainment megastar games meh games melbourne house meldac software melon dezign menavision mercury steam,,,0,0,0,0,0,0,0,0,1
693171,http://www.sociopathworld.com/2010/06/sociopaths-and-animals-part-2.html?showComment=1276914665381,are too apeshit when it comes to swindling other people meh it's part of the sociopath diagnosis that i seem to,,,0,0,0,0,0,0,0,0,1
429545,https://fatefoundation.org/annual-report/fate-foundation-financial-2014-annual-report/,scaleup lab agribusiness the fate institute research fellows the fate giving philanthropy fpcc resources books fate elearn msmehub media podcasts picture,,,0,1,0,0,0,0,0,0,1
582875,http://niketalk.com/t/537421/official-agassi-retro-thread-atc-iv-black-white-dark-grape-cerise-released/1140,weird light mint green color on the accents it was meh to me forgot to check out the apparel catalogs but,,,0,0,0,0,0,0,0,0,1
570067,https://ivcaffeine.com/tag/killer-bunny/,press one of these buttons--or else powered by bookmarkify about meh cartoons and text by greg uchrin aka gregorius alexandrinus with,,,0,0,0,0,0,0,0,0,1
1383718,http://www.quickmeme.com/meme/77fa,your own caption shares everything is barack obamas fault like meh i got a papercut thanks obama add your own caption,,,0,0,0,0,0,0,0,0,1
478019,http://www.raptorsrepublic.com/forums/showthread.php?9928-Raptors-Shake&p=192857&viewfull=1,ever hahaha that's good as for the raps version it's meh ok there's just so many good versions out there though,,,0,0,0,0,0,0,0,0,1
4167,http://www.quickmeme.com/Scumbag-Advice-God,on google plus share on pinterest scumbag advice god like meh current page more scumbag advice god memes check out our,,,0,0,0,0,0,0,0,0,1
221731,https://austenprose.com/2013/05/08/pride-and-prejudice-1980-mini-series-a-review/?replytocom=40964,far as the entire movie interpretation and story goes though meh not quite then again it is harder to cram these,,,0,0,0,0,0,0,0,0,1
1383716,http://www.quickmeme.com/meme/77fa,your own caption shares everything is barack obamas fault like meh my rival picked the better starter thanks obama add your,,,0,0,0,0,0,0,1,0,1
79833,https://www.bhartiyaexporters.com/supplier/dishwash-gel.html,box mehandi and hair colour packing box surgical packing box tea leaves box green aloe juice personal care products personal care,,,0,0,0,0,0,0,0,0,1
