uri,target_context,is_slang,synthetic
synthetic,the homer's iliad is considered an epic poem from ancient greece,0,1
synthetic,bro that backflip off the roof was so epic,1,1
synthetic,we just had the most epic weekend in vegas you wouldn't believe it,1,1
synthetic,the mahabharata is one of the longest epic narratives ever written,0,1
synthetic,that concert last night was absolutely epic from start to finish,1,1
synthetic,milton's paradise lost is often studied as an epic in english literature courses,0,1
synthetic,dude the new zelda boss fight is straight up epic,1,1
synthetic,scholars debate whether beowulf should be classified as a true epic,0,1
synthetic,that fail compilation had me dying it was epic,1,1
synthetic,the epic of gilgamesh predates the iliad by over a thousand years,0,1
synthetic,her wedding dress was epic i'm still thinking about it,1,1
synthetic,virgil composed the aeneid as a roman epic celebrating the founding of rome,0,1
synthetic,epic win on that group project we totally crushed it,1,1
synthetic,the film follows the structure of a classical epic with a hero's journey arc,0,1
synthetic,that was such an epic prank i can't stop laughing,1,1
synthetic,dante's divine comedy is regarded as one of the greatest epic works of medieval europe,0,1
synthetic,my dad's bbq sauce recipe is honestly epic,1,1
synthetic,the professor explained how oral tradition shaped early epic storytelling,0,1
synthetic,we found an epic hiking trail near the lake yesterday,1,1
synthetic,tolkien drew heavily from norse and anglo-saxon epic traditions when writing his legendarium,0,1
synthetic,ngl that comeback was epic and i wasn't expecting it,1,1
synthetic,the museum's new exhibit covers the role of the bard in epic recitation,0,1
synthetic,guys this pizza is epic you have to try it,1,1
synthetic,indian epic literature includes both the ramayana and the mahabharata,0,1
synthetic,her halloween costume this year was epic and super detailed,1,1
synthetic,the lecture compared the structural conventions of greek and sanskrit epic poetry,0,1
synthetic,that pickup game turned into an epic battle in the third quarter,1,1
synthetic,many critics argue lawrence of arabia is a quintessential cinematic epic,0,1
synthetic,epic save by the goalie at the last second,1,1
synthetic,homer's epic similes often draw on imagery from nature and daily life,0,1
synthetic,this loot drop is straight up epic i can't believe my luck,1,1
synthetic,the term epic is sometimes used loosely to describe any long narrative work,0,1
synthetic,we're planning an epic road trip across the southwest next summer,1,1
synthetic,in epic poetry the invocation of the muse traditionally opens the narrative,0,1
synthetic,that drumline performance at halftime was epic,1,1
synthetic,the russian writers of the nineteenth century produced novels of epic scope,0,1
synthetic,lmao your tweet about the meeting was epic,1,1
synthetic,translators face unique challenges when adapting ancient epic verse into modern english,0,1
synthetic,what an epic finish to the championship game,1,1
synthetic,milton invokes a muse at the start of his epic just as homer did,0,1
synthetic,honestly that meme was epic and i'm sending it to everyone,1,1
synthetic,the epic hero usually undergoes a journey that defines a culture's values,0,1
synthetic,we threw an epic surprise party for her thirtieth birthday,1,1
synthetic,scholars often distinguish folk epic from literary epic based on their origins,0,1
synthetic,that solo at the end of the show was epic i had chills,1,1
synthetic,the sundiata epic tells the story of the founder of the mali empire,0,1
synthetic,bruh that touchdown catch was epic and unreal,1,1
synthetic,courses on world literature frequently begin with a survey of epic traditions,0,1
synthetic,the views from the summit were epic and totally worth the climb,1,1
synthetic,epic conventions include long catalogs and stock epithets for characters,0,1
synthetic,i had an epic time at the beach this weekend,1,1
synthetic,the finnish kalevala is a national epic compiled from oral folklore in the nineteenth century,0,1
synthetic,epic fail when i tripped walking into the interview,1,1
synthetic,ovid's metamorphoses is often categorized as an epic despite its episodic structure,0,1
synthetic,we had an epic snowball fight in the parking lot after work,1,1
synthetic,the homeric epic preserves a snapshot of bronze age aegean society,0,1
synthetic,that twitch stream last night was epic i was up till four,1,1
synthetic,spenser's faerie queene is a renaissance epic written in a distinctive nine-line stanza,0,1
synthetic,she pulled off an epic comeback in the third set,1,1
synthetic,the epic genre allowed nations to articulate shared myths of origin and identity,0,1
synthetic,that taco truck is epic you have to try the al pastor,1,1
synthetic,graduate seminars on epic often pair classical and postcolonial readings together,0,1
synthetic,my little cousin's dance moves at the wedding were epic,1,1
synthetic,audiences in antiquity experienced epic primarily through public recitation rather than reading,0,1
synthetic,the sunset over the canyon was epic last night,1,1
synthetic,the persian shahnameh is a tenth-century epic of kings and heroes by ferdowsi,0,1
synthetic,we pulled an epic prank on our roommate and he still doesn't know,1,1
synthetic,scholars use the term secondary epic to describe works written in conscious imitation of homer,0,1
synthetic,that level boss was epic and took us three hours to beat,1,1
synthetic,the kyrgyz manas is considered one of the longest epic poems in world literature,0,1
synthetic,your dad's grilling skills are epic no joke,1,1
