uri,target_context,is_slang,synthetic
synthetic,i can't believe my boss gave my promotion to the new guy i feel completely cucked,1,1
synthetic,preordered the deluxe edition and they added more content to the standard tier a week later totally cucked,1,1
synthetic,the devs cucked us again by nerfing the only viable build right before the tournament,1,1
synthetic,bro got cucked by the algorithm his video has been stuck at 200 views for a week,1,1
synthetic,i feel so cucked watching everyone else get the new console while i'm still on a waitlist,1,1
synthetic,imagine grinding for hours and then getting cucked out of the loot by a server crash,1,1
synthetic,the studio cucked the director's vision by forcing reshoots and a happy ending,1,1
synthetic,we got absolutely cucked by the refs in the fourth quarter that was not a foul,1,1
synthetic,tried to surprise her with concert tickets and she said she already bought her own felt kinda cucked,1,1
synthetic,the housing market has cucked an entire generation out of ever owning a home,1,1
synthetic,got cucked by amazon again the package shows delivered but it's nowhere on my porch,1,1
synthetic,they cucked the whole roster by trading away the only player who could shoot threes,1,1
synthetic,feeling cucked by my own bank account this month rent ate everything,1,1
synthetic,the writers cucked the main character in the finale and i'm still mad about it,1,1
synthetic,you really let your roommate cuck you out of the bigger bedroom huh,1,1
synthetic,stocks went up 30 percent the day after i sold guess i got cucked by the market,1,1
synthetic,nintendo cucked everyone who bought the wii u by releasing the switch two years later,1,1
synthetic,i refuse to be cucked by another subscription service raising prices every six months,1,1
synthetic,his startup got cucked when google launched a free version of the same product,1,1
synthetic,ngl i feel cucked every time my friends post group pics i wasn't invited to,1,1
synthetic,they cucked the fans by moving the team to vegas after promising they'd never leave,1,1
synthetic,got cucked by the dmv again three hour wait for a five minute renewal,1,1
synthetic,the patch cucked my main so hard i had to learn a whole new character,1,1
synthetic,imagine being cucked by your own kid because he beat your kart racing record,1,1
synthetic,spotify cucked artists with their payout model and somehow people still defend it,1,1
synthetic,my landlord cucked me out of the deposit citing damage that was clearly already there,1,1
synthetic,valve really cucked the entire pc gaming scene with how dominant steam became,1,1
synthetic,we got cucked by the weather every single day of our beach vacation,1,1
synthetic,felt so cucked when i found out the sale started one day after i paid full price,1,1
synthetic,the league cucked small market teams by changing the salary cap rules,1,1
synthetic,you ever been cucked by your own gps it took me through three school zones during rush hour,1,1
synthetic,the company cucked its employees with a return to office mandate after promising remote forever,1,1
synthetic,tried to flex my new gpu and my buddy already had the newer model felt cucked,1,1
synthetic,people who waited in line for the iphone got cucked when the trade in deal launched a month later,1,1
synthetic,blizzard cucked the entire community when they merged the servers without warning,1,1
synthetic,i got cucked by inflation my raise barely covers the increase in grocery prices,1,1
synthetic,the dlc cucked anyone who didn't preorder by locking the best skins behind it,1,1
synthetic,absolutely cucked by my own cat she ate the steak i left on the counter,1,1
synthetic,feeling cucked because my fantasy team lost by 0.3 points this week,1,1
synthetic,the new ceo cucked the workforce by announcing layoffs the day after the holiday party,1,1
synthetic,i feel cucked every time youtube plays a six minute unskippable ad before a 30 second clip,1,1
synthetic,they cucked the lore by retconning the entire third season in one episode,1,1
synthetic,my parents cucked me out of the basement bedroom when my sister moved back in,1,1
synthetic,got cucked by my own alarm clock it didn't ring and i missed the interview,1,1
synthetic,the studio cucked the soundtrack by replacing the iconic theme for the streaming version,1,1
synthetic,anyone else feel cucked by how short summer break felt this year,1,1
synthetic,epic cucked steam users by making half the games platform exclusives,1,1
synthetic,got cucked by the bracket my final four picks were all eliminated by sunday,1,1
synthetic,the airline cucked us by overbooking and then offering a 50 dollar voucher as compensation,1,1
synthetic,feeling so cucked rn my crush just posted a pic with another guy,1,1
synthetic,they really cucked the early access players by giving the launch buyers all the exclusive rewards,1,1
synthetic,i got cucked by my isp again internet down on the day of the big patch,1,1
synthetic,the mod team cucked half the server by banning anyone who used the wrong emoji,1,1
synthetic,spent six hours on the boss only to get cucked by a random crit in the final phase,1,1
synthetic,the politicians cucked their own voters by reversing the policy three weeks after the election,1,1
synthetic,got cucked by the printer right before a deadline like clockwork,1,1
synthetic,literally cucked by my own work ethic i answered the email and now i'm doing the project,1,1
synthetic,the remake cucked fans of the original by cutting half the side content,1,1
synthetic,imagine getting cucked by your own teammate kicking the ball into your own net,1,1
synthetic,tinder cucked everyone the moment they introduced paid likes,1,1
synthetic,got cucked by daylight savings i was an hour late to everything yesterday,1,1
synthetic,the algorithm cucked indie creators so hard this year nothing organic gets traction anymore,1,1
synthetic,felt cucked when the venmo notification said my friend only paid me back half,1,1
synthetic,my dog cucked me out of the couch she just stares until i move,1,1
synthetic,they cucked the playerbase by making the battle pass even longer this season,1,1
synthetic,got cucked by my own optimism thinking i could finish the dissertation in a weekend,1,1
