uri,target_context,is_slang,synthetic
synthetic,stfu nobody asked for your opinion on the new album,1,1
synthetic,bro just stfu and let me finish the raid in peace,1,1
synthetic,i told my brother to stfu when he kept spoiling the show,1,1
synthetic,every comment under that tweet is just people saying stfu to each other,1,1
synthetic,stfu you actually have no clue what you're talking about,1,1
synthetic,can the chat stfu about pineapple on pizza for one stream please,1,1
synthetic,imagine telling your boss to stfu in a meeting absolutely wild,1,1
synthetic,stfu that's literally the best plot twist i've seen all year,1,1
synthetic,when she said she got tickets i was like stfu no way,1,1
synthetic,the mods need to stfu and stop deleting harmless memes,1,1
synthetic,stfu bestie you've been hyping me up since day one,1,1
synthetic,i had to mute him because he wouldn't stfu about crypto,1,1
synthetic,ok stfu that price is actually insane for a used console,1,1
synthetic,everyone in the lobby kept telling the new kid to stfu,1,1
synthetic,stfu you did not just beat the final boss on your first try,1,1
synthetic,my group chat would not stfu about the concert all weekend,1,1
synthetic,girl stfu you know that outfit is fire,1,1
synthetic,stfu and take my money already this collab is too good,1,1
synthetic,the comments section under any political post is just people screaming stfu,1,1
synthetic,i swear if he tells me to calm down one more time i'll tell him to stfu,1,1
synthetic,stfu you are literally the most talented person i know,1,1
synthetic,she told her ex to stfu and blocked him on every app,1,1
synthetic,stfu that meme is from 2014 stop trying to make it happen,1,1
synthetic,the chat erupted with stfu when the streamer revealed his real face,1,1
synthetic,honestly stfu nobody cares about your fantasy football team,1,1
synthetic,stfu wait you actually got into harvard congrats dude,1,1
synthetic,i wish my coworker would stfu for like five minutes so i can focus,1,1
synthetic,stfu and listen this hack will save you so much time,1,1
synthetic,him: she's out of your league me: stfu,1,1
synthetic,telling someone to stfu on linkedin is a bold career move,1,1
synthetic,stfu the way you styled that thrift haul is unreal,1,1
synthetic,if one more person says skill issue i'm gonna tell them to stfu,1,1
synthetic,stfu and watch the gameplay before judging the new patch,1,1
synthetic,she literally said stfu in front of the whole class,1,1
synthetic,stfu that ending had me sobbing for a solid hour,1,1
synthetic,bro stfu you've never even been to japan how would you know,1,1
synthetic,i love how every reply to that take is just stfu,1,1
synthetic,stfu the price drop on these headphones is criminal,1,1
synthetic,my mom legit told the karen at the store to stfu,1,1
synthetic,stfu wait that's actually your dog he's adorable,1,1
synthetic,the whole discord told him to stfu after he kept griefing,1,1
synthetic,stfu and post the recipe i've been waiting for it forever,1,1
synthetic,guy at the gym wouldn't stfu about his protein shake brand,1,1
synthetic,stfu you didn't really meet zendaya at the airport,1,1
synthetic,ok but can twitter stfu about this drama for one day,1,1
synthetic,stfu that thrifted jacket looks like it cost three hundred bucks,1,1
synthetic,i was about to type stfu but i deleted it because hr was lurking,1,1
synthetic,stfu wait you're telling me the dlc is free,1,1
synthetic,every time i open the app it's just people telling each other to stfu,1,1
synthetic,stfu and let the man cook this is his best song yet,1,1
synthetic,she dropped a stfu in the family group chat and immediately got grounded,1,1
synthetic,stfu bro you barely played one game and you're acting like a pro,1,1
synthetic,the only response that take deserves is a polite stfu,1,1
synthetic,stfu the new trailer looks insane i can't wait,1,1
synthetic,he kept yapping until his girlfriend finally said stfu,1,1
synthetic,stfu i did not need to know that about your weekend,1,1
synthetic,every gamer mom knows the iconic stfu followed by a slammed door,1,1
synthetic,stfu you absolute legend you actually pulled it off,1,1
synthetic,people on reddit love telling op to stfu before even reading the post,1,1
synthetic,stfu the way this artist draws hands should be illegal,1,1
synthetic,i muted the call because my uncle wouldn't stfu about politics,1,1
synthetic,stfu and admit you were wrong about that movie,1,1
synthetic,the way she said stfu had the whole cafeteria silent,1,1
synthetic,stfu wait this dupe is actually better than the original,1,1
synthetic,if your only argument is stfu maybe rethink your stance,1,1
synthetic,stfu i've been waiting months for that game to go on sale,1,1
synthetic,telling random strangers to stfu online is not the personality trait you think it is,1,1
synthetic,stfu and let me enjoy my mid taylor swift song in peace,1,1
synthetic,she literally wrote stfu in her bio after the breakup,1,1
synthetic,stfu the way you decorated that apartment is goals,1,1
