uri,target_context,is_slang,synthetic
synthetic,i am shooketh after watching that plot twist in the season finale,1,1
synthetic,girl when i saw the prices at that cafe i was absolutely shooketh,1,1
synthetic,the whole fandom is shooketh after that surprise album drop at midnight,1,1
synthetic,me reading the group chat this morning shooketh to my core,1,1
synthetic,honestly shooketh that nobody told me about the meeting being canceled,1,1
synthetic,i'm shooketh that they actually announced a sequel after all these years,1,1
synthetic,tell me why my mom found my secret stash i am shooketh,1,1
synthetic,the way she walked into that party in a wedding dress i was shooketh,1,1
synthetic,y'all i am shooketh that this video only has 200 views it's a masterpiece,1,1
synthetic,shooketh is an understatement after seeing the final scores tonight,1,1
synthetic,still shooketh about that interview she gave on the red carpet last night,1,1
synthetic,my coworker quit on the spot today and i am still shooketh,1,1
synthetic,bestie i was shooketh when he pulled out a ring at the football game,1,1
synthetic,the way the teacher exposed the cheaters had the class shooketh,1,1
synthetic,i'm legit shooketh that the package arrived only two hours after i ordered,1,1
synthetic,deadass shooketh by how good this dollar store mascara actually is,1,1
synthetic,the comments under that post got me shooketh tbh,1,1
synthetic,i am shooketh at how clean my room looks after one hour of cleaning,1,1
synthetic,everyone in the office was shooketh when the ceo walked in unannounced,1,1
synthetic,no but actually shooketh that this trend is still going strong in 2024,1,1
synthetic,i'm shooketh you remembered my birthday after all these years apart,1,1
synthetic,shooketh doesn't even begin to describe my reaction to that breakup announcement,1,1
synthetic,watching her dad chug the entire pitcher had us all shooketh,1,1
synthetic,shooketh that my electricity bill tripled this month for no reason,1,1
synthetic,the way he proposed mid karaoke had the whole bar shooketh,1,1
synthetic,i was shooketh when my grandma started using tiktok last week,1,1
synthetic,shooketh seeing my ex at the grocery store buying baby formula,1,1
synthetic,okay but i'm shooketh that this lipstick lasted through dinner and drinks,1,1
synthetic,literally shooketh after that pop quiz nobody warned us about,1,1
synthetic,i am genuinely shooketh that they let him host the awards show,1,1
synthetic,the fanbase is shooketh after the trailer dropped this morning,1,1
synthetic,lowkey shooketh that the cheap version tastes better than the brand name,1,1
synthetic,she ate that performance up and the judges were shooketh,1,1
synthetic,shooketh to the core after reading that twitter thread about the scandal,1,1
synthetic,we were all shooketh when the lights came back on and he was gone,1,1
synthetic,my jaw is on the floor i'm shooketh by the season finale ending,1,1
synthetic,i'm shooketh that this candle only cost five bucks it smells amazing,1,1
synthetic,shooketh after my professor said the final is just one essay question,1,1
synthetic,the entire timeline is shooketh after that celebrity feud went public,1,1
synthetic,imagine my surprise i was shooketh when the bill came at the steakhouse,1,1
synthetic,shooketh that this random little diner has the best pancakes in the city,1,1
synthetic,i'm shooketh nobody warned me about the hill at mile twenty of the marathon,1,1
synthetic,she said what now i am shooketh by that confession,1,1
synthetic,okay i'm a little shooketh that you've never seen the original star wars,1,1
synthetic,shooketh that they cancelled my favorite show right after a cliffhanger,1,1
synthetic,the way the drag queen revealed her costume had the audience shooketh,1,1
synthetic,shooketh by how fast this puppy learned every command in a week,1,1
synthetic,no joke shooketh that he showed up to brunch in a full tuxedo,1,1
synthetic,i'm shooketh you can get plane tickets that cheap in the off season,1,1
synthetic,shooketh after seeing the before and after photos of that home renovation,1,1
synthetic,the internet is shooketh over the new iphone color leaks,1,1
synthetic,i was shooketh when she walked in wearing the same dress as the bride,1,1
synthetic,shooketh that they kept the secret ending hidden for so long,1,1
synthetic,the way that contestant lipsynced for her life had me shooketh,1,1
synthetic,shooketh that my flight got upgraded to first class for free,1,1
synthetic,honestly a little shooketh at how spicy this so called mild salsa is,1,1
synthetic,i'm shooketh he passed the bar exam on the first try after barely studying,1,1
synthetic,shooketh seeing my old high school crush married with three kids,1,1
synthetic,every single one of us was shooketh when the dj played that throwback,1,1
synthetic,shooketh that this little plant grew so much in just two weeks,1,1
synthetic,i'm shooketh by how aggressive the seagulls were at the beach today,1,1
synthetic,shooketh after my landlord raised the rent by three hundred bucks,1,1
synthetic,i was shooketh when she pulled a full violin out of her backpack,1,1
synthetic,shooketh that the line for the new boba place was around the block,1,1
synthetic,the whole crew was shooketh when the director yelled cut after one take,1,1
synthetic,i'm shooketh he confessed his feelings in front of the entire wedding party,1,1
synthetic,shooketh that this knockoff bag looks better than the designer version,1,1
synthetic,ngl shooketh that you actually pulled off that recipe on the first try,1,1
synthetic,the gym was packed at six am and i was shooketh,1,1
synthetic,shooketh that they remade the entire movie shot for shot,1,1
synthetic,i'm shooketh by how good the airport sushi was honestly,1,1
