uri,target_context,is_slang,synthetic
synthetic,the way they ate that choreography i'm literally speechless,1,1
synthetic,after the hike they ate sandwiches by the river and rested for an hour,0,1
synthetic,every single member delivered they ate and left no crumbs honestly,1,1
synthetic,they ate dinner together every sunday for nearly forty years,0,1
synthetic,okay but they ate down on the runway tonight,1,1
synthetic,the kids said they ate too much candy and now their stomachs hurt,0,1
synthetic,this collab is insane they ate and i need it on repeat,1,1
synthetic,according to the report they ate primarily fish and root vegetables,0,1
synthetic,she said they ate her up with that performance and honestly fair,1,1
synthetic,they ate breakfast at the hotel before heading to the airport,0,1
synthetic,no because they ate ate with this episode i'm shaking,1,1
synthetic,during the festival they ate traditional dumplings cooked over an open fire,0,1
synthetic,the makeup the styling the vocals they ate everything tonight,1,1
synthetic,the suspects told police they ate at a diner before driving home,0,1
synthetic,deadass they ate this remix is better than the original,1,1
synthetic,after the ceremony they ate cake and danced until midnight,0,1
synthetic,the writers really said let them cook and they ate,1,1
synthetic,they ate mostly plant based meals throughout the trial period,0,1
synthetic,screaming crying throwing up they ate this scene to pieces,1,1
synthetic,the children said they ate the leftovers from yesterday's lunch,0,1
synthetic,tell me why they ate harder than the main artist on this track,1,1
synthetic,they ate quickly because the train was leaving in twenty minutes,0,1
synthetic,yeah they ate i'll give credit where it's due,1,1
synthetic,the survey found that they ate three meals a day on average,0,1
synthetic,girl they ate the runway up and spit it back out,1,1
synthetic,they ate quietly while watching the news on the small kitchen tv,0,1
synthetic,not them ate i was not expecting this energy from a debut,1,1
synthetic,before the match they ate pasta to fuel up for the game,0,1
synthetic,the choreo was insane and they ate every single beat drop,1,1
synthetic,the explorers wrote in their journals that they ate dried meat and berries,0,1
synthetic,stop they ate this look is on another level,1,1
synthetic,she remembers that they ate at her grandmother's house every christmas eve,0,1
synthetic,lowkey they ate and i'm gonna be playing this all week,1,1
synthetic,they ate slowly to savor each course of the tasting menu,0,1
synthetic,the way they ate this performance left the judges speechless on stage,1,1
synthetic,according to witnesses they ate at the cafe shortly before noon,0,1
synthetic,tea they ate down and the haters can stay mad,1,1
synthetic,the soldiers reported that they ate rations for nearly two weeks straight,0,1
synthetic,okay i hate to admit it but they ate that interview,1,1
synthetic,the chickens were happy because they ate fresh greens every morning,0,1
synthetic,they ate and there were absolutely zero crumbs left for anyone,1,1
synthetic,they ate together at the long wooden table near the window,0,1
synthetic,bestie they ate this cover better than the original artist,1,1
synthetic,the doctor asked what they ate that morning before the appointment,0,1
synthetic,no for real they ate i'm not even joking,1,1
synthetic,they ate the seasonal fruits the farmers had brought to market that day,0,1
synthetic,they ate so hard the comments section is in shambles,1,1
synthetic,during the war they ate whatever rations they could scavenge from nearby villages,0,1
synthetic,this episode was a masterpiece they ate from start to finish,1,1
synthetic,they ate at a small bistro near the seine and walked home along the river,0,1
synthetic,honestly they ate every other group at the festival lineup,1,1
synthetic,they ate a light snack before the meeting started at three,0,1
synthetic,okay queens they ate and i need a tour announcement immediately,1,1
synthetic,the researchers noted that they ate insects as a primary protein source,0,1
synthetic,fr they ate this drop is a religious experience,1,1
synthetic,the witnesses confirmed that they ate at the same restaurant earlier,0,1
synthetic,y'all they ate and i refuse to hear otherwise,1,1
synthetic,they ate leftover pizza for breakfast which is honestly a vibe,0,1
synthetic,the way they ate that beat the producer needs a raise,1,1
synthetic,the ducks waddled over once they ate all the bread we threw,0,1
synthetic,they ate harder than anyone on the bill and it's not close,1,1
synthetic,they ate dinner around six and went straight to bed exhausted,0,1
synthetic,i'm sorry but they ate the house down boots tonight,1,1
synthetic,they ate sparingly during the fast which lasted nearly a week,0,1
synthetic,girl bye they ate and you know it,1,1
synthetic,by the time we arrived they ate everything on the buffet table,0,1
synthetic,the visuals the vocals the styling they ate everything in sight,1,1
synthetic,the campers said they ate beans and rice over the campfire most nights,0,1
synthetic,no thoughts just they ate and left no crumbs at all,1,1
synthetic,after church they ate sunday roast at their grandmother's house every week,0,1
