uri,target_context,is_slang,synthetic
synthetic,bro why is he texting her at 2am that's so sus,1,1
synthetic,the wild boar belongs to the genus sus which includes several domesticated species,0,1
synthetic,i played a csus chord before resolving to the major triad,0,1
synthetic,ngl that email asking for my bank info felt mad sus,1,1
synthetic,researchers studied sus scrofa populations across the european forest belt,0,1
synthetic,the way he immediately changed the subject was kinda sus tbh,1,1
synthetic,the guitarist strummed a dsus4 then slid into a regular d,0,1
synthetic,everyone in the lobby was acting sus so we just left the game,1,1
synthetic,fossils of ancient sus species have been found across eurasia,0,1
synthetic,that link looks hella sus i'm not clicking it,1,1
synthetic,the british sus laws of the 1970s were criticized for targeting minorities,0,1
synthetic,why are you whispering on the phone that's giving sus energy,1,1
synthetic,the worksheet asked students to identify sus domesticus as the common pig,0,1
synthetic,his alibi sounds super sus i don't buy it for a second,1,1
synthetic,she added a sus2 voicing to brighten the verse progression,0,1
synthetic,the way the imposter just stood there was so sus everyone voted them out,1,1
synthetic,veterinary students learn that sus refers to the pig genus in taxonomy,0,1
synthetic,this update is sus bro why does it need access to my contacts,1,1
synthetic,the song opens with a haunting asus2 arpeggio on acoustic guitar,0,1
synthetic,my coworker keeps closing his laptop when i walk by and it's mad sus,1,1
synthetic,phylogenetic analysis grouped the warty pig with other members of sus,0,1
synthetic,that crypto guy in the comments looks pretty sus to me,1,1
synthetic,the sus arrest powers were eventually repealed under public pressure,0,1
synthetic,lowkey the vibes in this group chat are getting sus,1,1
synthetic,the iberian pig is a regional breed within the species sus scrofa,0,1
synthetic,if he liked her old photo from 2019 that's sus behavior,1,1
synthetic,you can substitute a sus chord for the dominant to delay resolution,0,1
synthetic,ten dollar designer bags are sus af don't waste your money,1,1
synthetic,the museum exhibit showcased skeletal remains of various sus species,0,1
synthetic,my dog is being sus he definitely ate something off the counter,1,1
synthetic,she resolved the gsus to a g major on the downbeat of measure four,0,1
synthetic,anyone else think the new ceo's resume looks sus,1,1
synthetic,the wild pig sus celebensis is endemic to sulawesi,0,1
synthetic,no offense but that grade jump from 60 to 95 is kinda sus,1,1
synthetic,early christian writers occasionally used sus metaphorically in moral allegories,0,1
synthetic,her instagram story tonight was lowkey sus and i need answers,1,1
synthetic,the band layered a sus chord over the bass note to create tension,0,1
synthetic,bruh the way he denied it without being asked is sus,1,1
synthetic,farmers in the region raise hybrids of domestic and wild sus scrofa,0,1
synthetic,everyone says the new intern is sus but i think she's fine,1,1
synthetic,in jazz theory a sus chord often substitutes for a v7 chord,0,1
synthetic,this restaurant has zero reviews and a stock photo menu that's sus,1,1
synthetic,the documentary explored how sus scrofa shaped neolithic agriculture,0,1
synthetic,why does my battery drain so fast something on my phone is sus,1,1
synthetic,taxonomists continue debating the number of valid species within sus,0,1
synthetic,homie said he was at work but his story location is sus,1,1
synthetic,the chord chart marked an esus before the chorus dropped,0,1
synthetic,voting him out felt risky but his movement was sus all round,1,1
synthetic,british courts repeatedly upheld the controversial sus law throughout the seventies,0,1
synthetic,girl that's not a coincidence that's straight up sus,1,1
synthetic,the pianist held the sus chord for two extra beats for dramatic effect,0,1
synthetic,anytime someone says trust me bro it's automatically sus,1,1
synthetic,the dna of modern pigs traces back to early domestication of sus scrofa in asia,0,1
synthetic,this dm slide is honestly sus i'm not even gonna respond,1,1
synthetic,the score notates a brief fsus2 before transitioning into the bridge,0,1
synthetic,y'all the new guy is way too friendly it's giving sus,1,1
synthetic,biologists tagged several sus individuals to track migration patterns,0,1
synthetic,those amazon reviews all sound the same that's sus,1,1
synthetic,a sus chord lacks the third which gives it that ambiguous open sound,0,1
synthetic,the way she stopped posting right after the breakup was sus,1,1
synthetic,ancient roman texts referenced sus as an offering in certain rural festivals,0,1
synthetic,lol my brother went silent when i asked about my missing snacks sus,1,1
synthetic,the worship leader transitioned from gsus to g over a smooth pad,0,1
synthetic,imagine paying for a course from a guy whose own life looks sus,1,1
synthetic,the field guide listed sus barbatus as the bearded pig of borneo,0,1
synthetic,every time he opens his mouth something sus comes out,1,1
synthetic,the recording engineer wanted that sus chord to ring out for atmosphere,0,1
synthetic,this whole situation feels sus and i want no part in it,1,1
synthetic,members of the genus sus are omnivorous and highly adaptable,0,1
synthetic,the prices on that site are too good to be true kinda sus,1,1
