uri,target_context,is_slang,synthetic
synthetic,she ate that performance and left no crumbs honestly,1,1
synthetic,she ate a light salad before heading back to the office,0,1
synthetic,the runway look was insane she ate and i'm still recovering,1,1
synthetic,she ate breakfast at seven and then took the dog for a walk,0,1
synthetic,did you see her vocals on snl she ate every single note,1,1
synthetic,after the long hike she ate two sandwiches without even pausing,0,1
synthetic,the way she ate that choreography i need her on tour immediately,1,1
synthetic,she ate slowly because her stomach was still recovering from the flu,0,1
synthetic,okay but she ate with that monologue at the end of episode four,1,1
synthetic,she ate the leftover pasta straight out of the container at midnight,0,1
synthetic,girl she ate down on that makeup look i can't even,1,1
synthetic,she ate her cereal in front of the tv before school,0,1
synthetic,the met gala fit was unreal she absolutely ate,1,1
synthetic,she ate three slices of pizza and a whole order of garlic knots,0,1
synthetic,she ate and ate and left zero crumbs for the rest of the cast,1,1
synthetic,she ate the apple my mom packed for her in her lunchbox,0,1
synthetic,no but the way she ate that high note had me screaming,1,1
synthetic,she ate dinner with her grandparents every sunday for the past decade,0,1
synthetic,honestly she ate every single look in that music video period,1,1
synthetic,she ate a banana on her way to the morning yoga class,0,1
synthetic,y'all she ate that runway walk i'm not joking,1,1
synthetic,she ate the soup my dad made because she was finally feeling better,0,1
synthetic,she ate down with that acceptance speech at the awards last night,1,1
synthetic,she ate quickly so she wouldn't be late for her shift,0,1
synthetic,she ate the role she ate the wardrobe she ate the script,1,1
synthetic,she ate her oatmeal with a drizzle of honey and some berries,0,1
synthetic,tell me why she ate every single judge alive on that stage,1,1
synthetic,she ate half her burger and saved the rest for lunch tomorrow,0,1
synthetic,she ate with that delivery i can't believe she's only nineteen,1,1
synthetic,she ate the sushi we ordered from the new place down the street,0,1
synthetic,i'm telling you she ate that look better than the original girlies,1,1
synthetic,she ate her snack quietly while the other kids ran around the playground,0,1
synthetic,she ate the gown she ate the heels she ate the entire concept,1,1
synthetic,she ate a small portion of rice because she was saving room for dessert,0,1
synthetic,okay queen she ate with that rebrand the visuals are stunning,1,1
synthetic,she ate the chocolate bar i left on the counter without asking,0,1
synthetic,the harmonies in the bridge were divine she ate and i bowed,1,1
synthetic,she ate at the diner across from the train station like every morning,0,1
synthetic,she ate every camera angle in that magazine spread no notes,1,1
synthetic,she ate a peanut butter sandwich and drank a glass of milk,0,1
synthetic,she ate the rap verse and the men in the comments are crying,1,1
synthetic,she ate her vegetables first before touching the mashed potatoes,0,1
synthetic,she ate that interview such a natural in front of the camera,1,1
synthetic,she ate the soup with a piece of crusty bread on the side,0,1
synthetic,literally she ate that wig and serve simply wasn't enough this time,1,1
synthetic,she ate part of the cake at the birthday party and took a slice home,0,1
synthetic,she ate the choreo down to the smallest finger flick incredible,1,1
synthetic,she ate a quick snack between her therapy session and her art class,0,1
synthetic,she ate the role of the villain so well the movie became iconic,1,1
synthetic,she ate her dinner cold because she got home really late from work,0,1
synthetic,the way she ate that finale we will be talking about it for years,1,1
synthetic,she ate the popcorn during the movie and kept stealing mine too,0,1
synthetic,she ate the entire genre with that album i won't be taking questions,1,1
synthetic,she ate breakfast in bed because it was her birthday weekend,0,1
synthetic,she ate the photoshoot she ate the editorial she ate the cover,1,1
synthetic,she ate a couple of crackers while she waited for the doctor,0,1
synthetic,the styling team really pulled through and she ate as expected,1,1
synthetic,she ate everything on her plate except the brussels sprouts again,0,1
synthetic,she ate that opening monologue with no help from anyone,1,1
synthetic,she ate a slice of toast with avocado before her morning run,0,1
synthetic,she ate so hard that the trending page couldn't even keep up,1,1
synthetic,she ate dinner alone last night because everyone else was busy,0,1
synthetic,ma'am she ate i don't know what else you want me to say,1,1
synthetic,she ate ramen for the third night in a row to save money,0,1
synthetic,she ate that bridge and the producers should be paying her extra,1,1
synthetic,she ate her ice cream slowly so it wouldn't give her brain freeze,0,1
synthetic,everyone on the show was good but she ate them all alive,1,1
synthetic,she ate a granola bar in the car on the way to practice,0,1
synthetic,she ate the choreo and the vocals on that comeback stage,1,1
synthetic,she ate the fries before the burger even arrived at the table,0,1
